target,n_scored,QLIKE rv_hat,QLIKE tv_hat,DM t (tv - rv),DM lag,mean rv_hat / mean y,mean tv_hat / mean y
"r^2, the terminal variance",866.0,1.4350164530701028,1.438109636865109,0.2531785841814274,14.0,0.7528409736060994,1.0714670961495443
"RV, reference",866.0,0.10999130240054672,0.1376034695527779,4.392341545390129,14.0,1.1143597048142604,1.5859919941181657
