frame,rule,fill,n,mean,t,Sharpe,pct_buy,n_flat,days_differ_from_T0,hit_rate,mean_pts
all traded days,cell  sign(c * rv_hat - iv),mid,866.0,0.03285227252135382,0.8576553492043056,0.4626516602983518,58.660508083140876,0.0,164.0,0.48498845265588914,0.024137839623328994
all traded days,T0    sign(rv_hat - iv),mid,866.0,0.0947363520468904,2.480956577175688,1.3383216004229939,39.953810623556585,0.0,0.0,0.5438799076212472,0.2271478125012499
all traded days,always short,mid,866.0,0.014475039184953114,0.3777620924688714,0.203779128108568,0.0,0.0,346.0,0.6177829099307159,0.020286615688448414
all traded days,cell  sign(c * rv_hat - iv),crossed,866.0,-8.187398284716876e-06,-0.00021628640516381365,-0.00011667304884396335,58.660508083140876,0.0,164.0,0.48498845265588914,-0.20790603288877368
all traded days,T0    sign(rv_hat - iv),crossed,866.0,0.06136656537073233,1.6120260449056047,0.8695876808926679,39.953810623556585,0.0,0.0,0.5438799076212472,-0.004896060079680304
all traded days,always short,crossed,866.0,-0.020279857116367164,-0.5096893780366656,-0.2749456844219188,0.0,0.0,346.0,0.6177829099307159,-0.2117572679048873
days with c_t,cell  sign(c * rv_hat - iv),mid,866.0,0.03285227252135382,0.8576553492043056,0.4626516602983518,58.660508083140876,0.0,164.0,0.48498845265588914,0.024137839623328994
days with c_t,T0    sign(rv_hat - iv),mid,866.0,0.0947363520468904,2.480956577175688,1.3383216004229939,39.953810623556585,0.0,0.0,0.5438799076212472,0.2271478125012499
days with c_t,always short,mid,866.0,0.014475039184953114,0.3777620924688714,0.203779128108568,0.0,0.0,346.0,0.6177829099307159,0.020286615688448414
days with c_t,cell  sign(c * rv_hat - iv),crossed,866.0,-8.187398284716876e-06,-0.00021628640516381365,-0.00011667304884396335,58.660508083140876,0.0,164.0,0.48498845265588914,-0.20790603288877368
days with c_t,T0    sign(rv_hat - iv),crossed,866.0,0.06136656537073233,1.6120260449056047,0.8695876808926679,39.953810623556585,0.0,0.0,0.5438799076212472,-0.004896060079680304
days with c_t,always short,crossed,866.0,-0.020279857116367164,-0.5096893780366656,-0.2749456844219188,0.0,0.0,346.0,0.6177829099307159,-0.2117572679048873
