year,n,mean,min,max,full_sample_c
2020,158,1.4347404677835096,0.9442931157433425,1.812033061814942,1.4802059716230516
2021,158,1.1662473842146388,0.8648269429395029,1.4576088326032295,1.4802059716230516
2022,219,1.1719247037812268,1.07975326635759,1.3344192006987834,1.4802059716230516
2023,248,1.0783337477146369,0.9880456075648338,1.1692513626719574,1.4802059716230516
2024,83,1.161211017196757,0.9841923435147014,1.3266948473800722,1.4802059716230516
