era,k,n,q_a0,q_blk2,dq,dm
all,1,273371,0.1928342884212411,0.19789540358792518,0.005061115166684082,11.171929586106929
rth,1,63929,0.26292496245177777,0.2658969842291666,0.002972021777388857,3.0790807218847154
all,2,273371,0.19883057736677162,0.20609041302659906,0.0072598356598274376,14.571346430346455
rth,2,63918,0.2674053588807342,0.2725954144566825,0.00519005557594829,5.129392900266325
all,3,273371,0.20266533162019348,0.21087536220212197,0.00821003058192852,15.880550451213612
rth,3,63916,0.2758681145111987,0.28009725483519765,0.0042291403239989945,4.028176333057845
all,4,273371,0.2056759807039386,0.21524219055444002,0.009566209850501363,18.938288731742478
rth,4,63907,0.27821669638335567,0.2851259290204619,0.00690923263710616,6.518341986631411
all,5,273371,0.2080645265399976,0.21830472013768595,0.010240193597688333,19.447694119693335
rth,5,63904,0.2813074946505167,0.28709123103174683,0.005783736381230121,5.400024442203154
all,6,273371,0.20993602009382628,0.2210340838780637,0.011098063784237475,20.509312010274716
rth,6,63900,0.27685854782392844,0.2842616524199789,0.007403104596050473,7.070611409606048
all,7,273371,0.21120132377093204,0.22285966034288768,0.011658336571955622,20.935479619535872
rth,7,63902,0.26281757049172655,0.27189077085070507,0.009073200358978515,8.798872079678889
all,8,273371,0.21244923178338912,0.22452216041669004,0.01207292863330091,21.009745607509398
rth,8,63899,0.25286846643277483,0.2639483909471642,0.011079924514389388,10.40022877242642
all,9,273371,0.21363420231446825,0.22578789818819378,0.012153695873725496,20.810724966330845
rth,9,63898,0.23893211850659768,0.24914658823898272,0.010214469732385071,9.829637850206126
all,10,273371,0.21520526734699152,0.22744083596261816,0.012235568615626627,20.383379353981024
rth,10,63898,0.2293179524754639,0.24018995492604725,0.010872002450583326,10.46252412028479
all,11,273371,0.21601604146276113,0.22833380972267728,0.012317768259916166,20.193734380087683
rth,11,63896,0.2192615517661112,0.23160780388787908,0.012346252121767862,11.708297897137674
