entry,flatten,forecast,signal,form,direction,sample,n_days,n_active,mean_fraction,mean_pts,Sharpe_pts,Sharpe_units,hold_Sharpe_pts,flat_Sharpe_pts,G_on_active_pts,G_mid_on_active_pts,G_on_idle_pts,d_hold_mean,d_hold_t_hac,d_hold_ci_lo,d_hold_ci_hi,d_flat_mean,d_flat_t_hac,d_flat_ci_lo,d_flat_ci_hi,d_hold_costed_mean,d_hold_units_mean,placebo_p_sharpe,placebo_p_mean,placebo_q50_sharpe,passes
11:00,15:00,a0,stale,sign,rule,whole,865,252,0.29132947976878615,1.2588855452328225,2.88855504760762,3.25828832090948,3.3484567202594455,1.1540018418093854,-0.9210435574639971,-0.6133054575589411,-1.1924333145158856,-0.26832714044037836,-3.217901721496798,-0.4302238545884166,-0.11304836208194816,0.8450423373390032,5.764515146087087,0.5747288531842539,1.1484653151427242,-0.2373147537352244,-0.013296262999786411,0.2783608195902049,0.21639180409795103,2.775670169712984,False
11:00,15:00,a0,stale,sign,rule,era,489,216,0.44171779141104295,1.329914758449682,3.0130775221300268,3.0030152124014813,3.5157903705787863,1.7265022302998174,-0.7741241585104616,-0.5058371264697977,-1.1878048955212543,-0.34194441357517324,-2.705277910483534,-0.5888783424601426,-0.10158419454585332,0.6631303404443812,4.1402863087784,0.34549691703482976,0.9710649945829656,-0.2920852473219829,-0.01622232964170996,0.20239880059970014,0.16741629185407297,2.8007576287453206,False
11:00,15:00,a0,stale,sign,reverse,whole,865,613,0.7086705202312139,0.6821703483341977,1.7702809848958398,2.0409221218613554,3.3484567202594455,1.1540018418093854,-1.1924333145158856,-0.7453289307362779,-0.9210435574639971,-0.8450423373390032,-5.764515146087087,-1.1484653151427244,-0.574728853184254,0.26832714044037836,3.217901721496798,0.11304836208194813,0.43022385458841655,-0.7628551925907369,-0.0448418540785558,0.7301349325337332,0.7731134432783608,1.8954912693868509,False
11:00,15:00,a0,stale,sign,reverse,era,489,273,0.558282208588957,1.0087288315804739,2.3627555101056545,2.247600226497711,3.5157903705787863,1.7265022302998174,-1.1878048955212543,-0.8667426454925454,-0.7741241585104616,-0.6631303404443812,-4.1402863087784,-0.9710649945829658,-0.3454969170348299,0.34194441357517324,2.705277910483534,0.10158419454585324,0.5888783424601425,-0.5928037438007141,-0.032334458026711595,0.7966016991504248,0.8300849575212393,2.583033576090149,False
11:00,15:00,a0,stale,scaled,rule,whole,865,240,0.15021561153103874,1.3375554420504092,3.0120364479898627,3.404991368335698,3.3484567202594455,1.1540018418093854,-0.8748964660830669,-0.5784381293410928,-1.2049431142707665,-0.18965724362279174,-2.637089496584395,-0.3322638602663404,-0.05243670478283739,0.9237122341565899,6.155490291423275,0.6453877018755245,1.2404996680372224,-0.17303645412728108,-0.007043838948579636,0.7446276861569215,0.7061469265367316,3.0955698066391713,False
11:00,15:00,a0,stale,scaled,rule,era,489,216,0.23341346365883273,1.4203748473148219,3.125536967657699,3.093773048159313,3.5157903705787863,1.7265022302998174,-0.7741241585104616,-0.5058371264697977,-1.1878048955212543,-0.2514843247100333,-2.48761297346086,-0.46796044959336613,-0.05928339468629807,0.7535904293095212,4.351169999661755,0.4319836990932513,1.0950742504669129,-0.2240946618005086,-0.01001500761381141,0.616191904047976,0.5887056471764118,3.1778960182734415,False
11:00,15:00,a0,stale,scaled,reverse,whole,865,562,0.4132830559271872,0.9946871789083882,2.410347638895301,2.608640097770562,3.3484567202594455,1.1540018418093854,-1.118904774168147,-0.7604973258570925,-1.1031026904180414,-0.5325255067648128,-5.295468066292468,-0.7400319689513094,-0.3392868662650142,0.5808439710145689,4.4531973035313195,0.3508471848126886,0.8643697286442733,-0.48336441020148424,-0.02857469921042431,0.8430784607696152,0.8480759620189905,2.5853740588656944,False
11:00,15:00,a0,stale,scaled,reverse,era,489,273,0.3335563724456854,1.183586861406804,2.6856371912269035,2.4387232263597456,3.5157903705787863,1.7265022302998174,-1.1878048955212543,-0.8667426454925454,-0.7741241585104616,-0.48827231061805115,-3.5054916318301936,-0.7721818749202864,-0.2207522342374775,0.5168024434015033,3.6883674651581133,0.26352487297546473,0.7779644682347324,-0.44861258556178396,-0.024443161436107187,0.9445277361319341,0.9610194902548725,3.008107564175842,False
11:00,15:00,a0,stale,margin,rule,whole,865,71,0.08208092485549133,1.3675012541591187,3.0211281826295364,3.3550417791217213,3.3484567202594455,1.1540018418093854,-1.945780116333535,-1.5211321870030086,-1.038934773324287,-0.1597114315140821,-2.7150767541761636,-0.28387609195628605,-0.05266239800360658,0.9536580462652996,6.196946080814295,0.6641313537579332,1.2786243030753648,-0.15054818090057107,-0.006121427293770542,0.9650174912543729,0.9555222388805598,3.1964597392280294,False
11:00,15:00,a0,stale,margin,rule,era,489,62,0.12678936605316973,1.4332428777696464,3.064839636673699,2.984775055927444,3.5157903705787863,1.7265022302998174,-1.8819898046902772,-1.5045704262620678,-0.877747510128255,-0.23861629425520894,-2.8209364589953,-0.43074719660413047,-0.07780747794567365,0.7664584597643457,4.170984617660972,0.4261102430908,1.1205659984145642,-0.22350202393557075,-0.009584379092595718,0.9435282358820589,0.9395302348825587,3.31807323374391,False
11:00,15:00,a0,stale,margin,reverse,whole,865,211,0.24393063583815028,1.2108560859251531,2.8373583894137213,3.038149326589207,3.3484567202594455,1.1540018418093854,-1.2969121269292005,-0.8103007976717828,-1.0541531184971007,-0.31635659974804775,-3.3384318530007002,-0.5061533361362128,-0.13677619201850436,0.7970128780313339,6.0622836317036155,0.5647900952319858,1.0860542853034798,-0.2847809316716497,-0.014641700016351485,0.6086956521739131,0.7321339330334833,2.8849810869292325,False
11:00,15:00,a0,stale,margin,reverse,era,489,99,0.20245398773006135,1.3437991013678305,2.967320877442258,2.687306699372269,3.5157903705787863,1.7265022302998174,-1.6204179247604544,-1.1868320920559563,-0.8488722568314797,-0.32806007065702447,-2.5726205916982243,-0.584321857553804,-0.07841513922937393,0.6770146833625299,4.674179965050647,0.4225988788645101,0.9380356898490665,-0.30276004467373496,-0.016475108692576068,0.8650674662668666,0.9270364817591205,3.1858550085339035,False
11:00,15:00,a0,fresh,sign,rule,whole,865,200,0.23121387283236994,1.272868297144356,2.8655056858450974,3.1929731365268563,3.3484567202594455,1.1540018418093854,-1.1000394803872553,-0.7622894787444022,-1.11737849955145,-0.25434438852884517,-3.8756269523288567,-0.38082764682233655,-0.1328070520887753,0.8590250892505363,5.497770072851444,0.5611619679838554,1.1797078047609266,-0.2267909637211339,-0.012912958193058965,0.617191404297851,0.4852573713143428,2.9077129136026807,False
11:00,15:00,a0,fresh,sign,rule,era,489,161,0.3292433537832311,1.3385656442103842,2.914473830813643,2.7969536713211363,3.5157903705787863,1.7265022302998174,-1.0123014602563742,-0.7536058021567044,-1.0015274988240424,-0.33329352781447086,-3.8241266994544376,-0.48689910408724135,-0.17251328209945924,0.6717812262050836,3.629720090522765,0.2924636109741342,1.0823585681721857,-0.29238701953178,-0.017834270365610867,0.6281859070464768,0.5222388805597201,2.9862852197736465,False
