entry,flatten,signal,form,cells,passes,d_hold_positive,d_hold_ci_excl,median_d_hold,median_d_flat,median_placebo_p
11:00,15:00,fresh,margin,8,0,0,0,-0.07771444374363477,1.0356550340357469,0.9842578710644678
11:00,15:00,fresh,scaled,8,0,0,0,-0.1440928651466479,0.9692766126327338,0.920039980009995
11:00,15:00,fresh,sign,8,0,0,0,-0.2310632979106363,0.8823061798687453,0.5284857571214393
11:00,15:00,stale,margin,8,0,0,0,-0.17017980916624065,0.9431896686131409,0.9835082458770614
11:00,15:00,stale,scaled,8,0,0,0,-0.18755453835897137,0.9258149394204103,0.7161419290354822
11:00,15:00,stale,sign,8,0,0,0,-0.2587354993545548,0.8546339784248269,0.270864567716142
11:00,15:30,fresh,margin,8,0,2,0,-0.08296921144909644,0.7366632653636258,0.7948525737131434
11:00,15:30,fresh,scaled,8,0,0,0,-0.1090890128903183,0.7105434639224039,0.42503748125937035
11:00,15:30,fresh,sign,8,0,0,0,-0.22600041606430632,0.5936320607484158,0.3568215892053973
11:00,15:30,stale,margin,8,0,2,0,-0.01434263802676568,0.8052898387859565,0.6186906546726636
11:00,15:30,stale,scaled,8,0,2,0,-0.03233298600352398,0.7872994908091983,0.8015992003998
11:00,15:30,stale,sign,8,0,0,0,-0.07093949573991089,0.7486929810728113,0.5107446276861569
13:30,15:00,fresh,margin,8,0,0,0,-0.06852449745639297,0.805525192834758,0.7896051974012993
13:30,15:00,fresh,scaled,8,0,0,0,-0.1431603210412605,0.7308893692498905,0.9347826086956522
13:30,15:00,fresh,sign,8,0,0,0,-0.16213134391937267,0.7119183463717783,0.47351324337831086
13:30,15:00,stale,margin,8,0,0,0,-0.16446043215407297,0.709589258137078,0.9655172413793103
13:30,15:00,stale,scaled,8,0,0,0,-0.19877747316465433,0.6752722171264967,0.855072463768116
13:30,15:00,stale,sign,8,0,0,0,-0.2932952444288246,0.5807544458623264,0.6869065467266366
13:30,15:30,fresh,margin,8,0,2,0,-0.04791111067565757,0.41304840827070005,0.6089455272363818
13:30,15:30,fresh,scaled,8,0,2,0,-0.03179131328595546,0.42916820566040215,0.3473263368315842
13:30,15:30,fresh,sign,8,0,2,0,-0.008624823456266775,0.45233469549009087,0.12518740629685157
13:30,15:30,stale,margin,8,0,1,0,-0.011527015901830593,0.44943250304452703,0.6316841579210395
13:30,15:30,stale,scaled,8,0,2,0,-0.026956949491054493,0.43400256945530313,0.766616691654173
13:30,15:30,stale,sign,8,0,2,0,-0.04259399392762004,0.41836552501873747,0.5222388805597201
