features,weighting,n_days,buy_share,hit_vs_variance,hit_vs_payoff,long_on_top10,long_on_top20,long_on_top50,mean_mid,Sharpe_mid,Sharpe_crossed,d_crossed_vs_sign_s,ci_lo,ci_hi,passes,dropped_dummy_fits,fallback_days
-,(s) plain sign(s),614,0.4022801302931596,0.6579804560260586,0.5488599348534202,6.0,13.0,30.0,0.10946312121460647,1.5394186993352832,1.1816052790591631,0.0,0.0,0.0,False,0,0
F1 ridge,(u) unweighted 1{y > slice},614,0.019543973941368076,0.7149837133550488,0.6221498371335505,0.0,1.0,2.0,0.037433558160661635,0.5242655554780261,0.14517163358325144,-1.0364336454759118,-2.5393044533299842,0.5814243632404276,False,0,0
F1 ridge,(e) ES-weighted 1{y > slice},614,0.05537459283387622,0.7247557003257329,0.6221498371335505,0.0,1.0,2.0,0.040104437239445144,0.5617171770746214,0.18296253354317646,-0.9986427455159866,-2.5165758713844895,0.6397582653115729,False,0,0
F1 ridge,(p) payoff-weighted 1{R > 0},614,0.46579804560260585,0.5358306188925082,0.5537459283387622,4.0,8.0,21.0,0.061017697870163146,0.855341358242292,0.4936505901431055,-0.6879546889160576,-1.8602346645765597,0.43238318735688563,False,0,0
F2 four families,(u) unweighted 1{y > slice},614,0.03908794788273615,0.7182410423452769,0.6319218241042345,0.0,1.0,2.0,0.05299658715513128,0.7426368721301861,0.35785363705345175,-0.8237516420057114,-2.4052913306005173,0.832830748876617,False,0,0
F2 four families,(e) ES-weighted 1{y > slice},614,0.08957654723127036,0.7231270358306189,0.6237785016286646,0.0,1.0,4.0,0.05954725453787311,0.8346710127127144,0.4493123198549544,-0.7322929592042087,-2.30551901143931,0.9087367785310118,False,0,0
F2 four families,(p) payoff-weighted 1{R > 0},614,0.4820846905537459,0.5651465798045603,0.504885993485342,9.0,12.0,24.0,0.03786514142660876,0.5303166960859254,0.1674454509035291,-1.014159828155634,-2.7169968570044385,0.5807863879947046,False,0,0
"F3 four families + month-end, third Friday",(u) unweighted 1{y > slice},614,0.050488599348534204,0.7198697068403909,0.6335504885993485,1.0,2.0,5.0,0.07350950569824188,1.0311274682861593,0.6386213231152691,-0.542983955943894,-2.1083034526832787,1.1791873711085532,False,0,0
"F3 four families + month-end, third Friday",(e) ES-weighted 1{y > slice},614,0.11889250814332247,0.7231270358306189,0.6270358306188925,2.0,3.0,9.0,0.10984763948638405,1.5448775236559138,1.144095926011344,-0.037509353047819216,-1.779010098995724,1.8972701423521132,False,0,0
"F3 four families + month-end, third Friday",(p) payoff-weighted 1{R > 0},614,0.4771986970684039,0.5732899022801303,0.5260586319218241,9.0,14.0,28.0,0.11308104548712858,1.5908023706415548,1.2360738255223185,0.054468546463155354,-1.6180518269131445,1.8002264394261969,False,0,0
