forecast,c,mean_ES
baseline (HAR + calendar OLS),0.25,0.0009691543680972117
baseline (HAR + calendar OLS),0.2726269331663144,0.0010690725427912652
baseline (HAR + calendar OLS),0.29730177875068026,0.002502399378082204
baseline (HAR + calendar OLS),0.3242098886627524,0.004144673956486609
baseline (HAR + calendar OLS),0.3535533905932738,0.004784335412884094
baseline (HAR + calendar OLS),0.3855527063519852,0.007169531648521489
baseline (HAR + calendar OLS),0.42044820762685725,0.00856452764133459
baseline (HAR + calendar OLS),0.4585020216023356,0.013885864714821087
baseline (HAR + calendar OLS),0.5,0.0209577002596211
baseline (HAR + calendar OLS),0.5452538663326288,0.030182301103496408
baseline (HAR + calendar OLS),0.5946035575013605,0.0445630693113091
baseline (HAR + calendar OLS),0.6484197773255048,0.05590300159107888
baseline (HAR + calendar OLS),0.7071067811865476,0.07358424688886175
baseline (HAR + calendar OLS),0.7711054127039704,0.09391231281656501
baseline (HAR + calendar OLS),0.8408964152537145,0.10009881348768339
baseline (HAR + calendar OLS),0.9170040432046712,0.10401091520161425
baseline (HAR + calendar OLS),1.0,0.10180463039989256
baseline (HAR + calendar OLS),1.0905077326652577,0.09570676713475385
baseline (HAR + calendar OLS),1.189207115002721,0.08081457002809755
baseline (HAR + calendar OLS),1.2968395546510096,0.0673224794803887
baseline (HAR + calendar OLS),1.4142135623730951,0.05532346511402192
baseline (HAR + calendar OLS),1.5422108254079407,0.03971136043719435
baseline (HAR + calendar OLS),1.681792830507429,0.0243080918877134
baseline (HAR + calendar OLS),1.8340080864093424,0.01887108316525899
baseline (HAR + calendar OLS),2.0,0.011411430077759941
baseline (HAR + calendar OLS),2.1810154653305154,0.00897666796541048
baseline (HAR + calendar OLS),2.378414230005442,0.004889142997303674
baseline (HAR + calendar OLS),2.5936791093020193,0.0034150379443055306
baseline (HAR + calendar OLS),2.8284271247461903,0.0023537807352684006
baseline (HAR + calendar OLS),3.0844216508158815,0.0017161023253362412
baseline (HAR + calendar OLS),3.363585661014858,0.0010713817475095056
baseline (HAR + calendar OLS),3.668016172818685,0.0006383084416799179
baseline (HAR + calendar OLS),4.0,0.000254955292509808
block-diagonal ridge,0.25,0.00017169623889614502
block-diagonal ridge,0.2726269331663144,0.0007653867536349391
block-diagonal ridge,0.29730177875068026,0.0009888043230186485
block-diagonal ridge,0.3242098886627524,0.001947911415214329
block-diagonal ridge,0.3535533905932738,0.0030735393634513403
block-diagonal ridge,0.3855527063519852,0.00388880162642535
block-diagonal ridge,0.42044820762685725,0.007435574571094514
block-diagonal ridge,0.4585020216023356,0.011756943841609684
block-diagonal ridge,0.5,0.019227375053821886
block-diagonal ridge,0.5452538663326288,0.02717884021562656
block-diagonal ridge,0.5946035575013605,0.04152876308466949
block-diagonal ridge,0.6484197773255048,0.06005404068338414
block-diagonal ridge,0.7071067811865476,0.07230367939026683
block-diagonal ridge,0.7711054127039704,0.09036593239673789
block-diagonal ridge,0.8408964152537145,0.1083430985271461
block-diagonal ridge,0.9170040432046712,0.1104483133163306
block-diagonal ridge,1.0,0.10872526434321124
block-diagonal ridge,1.0905077326652577,0.10476678856317553
block-diagonal ridge,1.189207115002721,0.09780276870944707
block-diagonal ridge,1.2968395546510096,0.07087488410234086
block-diagonal ridge,1.4142135623730951,0.061023969587292934
block-diagonal ridge,1.5422108254079407,0.0524981603600032
block-diagonal ridge,1.681792830507429,0.03790891955300258
block-diagonal ridge,1.8340080864093424,0.02987977171322574
block-diagonal ridge,2.0,0.02229076903657878
block-diagonal ridge,2.1810154653305154,0.0129510841034892
block-diagonal ridge,2.378414230005442,0.006872579908933296
block-diagonal ridge,2.5936791093020193,0.0034150379443055306
block-diagonal ridge,2.8284271247461903,0.0023537807352684006
block-diagonal ridge,3.0844216508158815,0.0017161023253362412
block-diagonal ridge,3.363585661014858,0.0010713817475095056
block-diagonal ridge,3.668016172818685,0.0006383084416799179
block-diagonal ridge,4.0,0.000254955292509808
"block-diagonal ridge, without the FOMC columns",0.25,0.00017169623889614502
"block-diagonal ridge, without the FOMC columns",0.2726269331663144,0.0007653867536349391
"block-diagonal ridge, without the FOMC columns",0.29730177875068026,0.0009888043230186485
"block-diagonal ridge, without the FOMC columns",0.3242098886627524,0.001947911415214329
"block-diagonal ridge, without the FOMC columns",0.3535533905932738,0.0030735393634513403
"block-diagonal ridge, without the FOMC columns",0.3855527063519852,0.0040966262966424805
"block-diagonal ridge, without the FOMC columns",0.42044820762685725,0.006953645597543958
"block-diagonal ridge, without the FOMC columns",0.4585020216023356,0.011621510090297682
"block-diagonal ridge, without the FOMC columns",0.5,0.018220384740608365
"block-diagonal ridge, without the FOMC columns",0.5452538663326288,0.02700636103761122
"block-diagonal ridge, without the FOMC columns",0.5946035575013605,0.0422098391144819
"block-diagonal ridge, without the FOMC columns",0.6484197773255048,0.05454606325548442
"block-diagonal ridge, without the FOMC columns",0.7071067811865476,0.07134223859128529
"block-diagonal ridge, without the FOMC columns",0.7711054127039704,0.09081639635873366
"block-diagonal ridge, without the FOMC columns",0.8408964152537145,0.10878553612324446
"block-diagonal ridge, without the FOMC columns",0.9170040432046712,0.11265126167515417
"block-diagonal ridge, without the FOMC columns",1.0,0.11119305323605728
"block-diagonal ridge, without the FOMC columns",1.0905077326652577,0.10720491099423679
"block-diagonal ridge, without the FOMC columns",1.189207115002721,0.09841178381887229
"block-diagonal ridge, without the FOMC columns",1.2968395546510096,0.07509850226074932
"block-diagonal ridge, without the FOMC columns",1.4142135623730951,0.060638468152854605
"block-diagonal ridge, without the FOMC columns",1.5422108254079407,0.052662031880923034
"block-diagonal ridge, without the FOMC columns",1.681792830507429,0.03918392556177814
"block-diagonal ridge, without the FOMC columns",1.8340080864093424,0.029631976575188144
"block-diagonal ridge, without the FOMC columns",2.0,0.020017987522342053
"block-diagonal ridge, without the FOMC columns",2.1810154653305154,0.010725965552310264
"block-diagonal ridge, without the FOMC columns",2.378414230005442,0.006872579908933296
"block-diagonal ridge, without the FOMC columns",2.5936791093020193,0.0034150379443055306
"block-diagonal ridge, without the FOMC columns",2.8284271247461903,0.0023537807352684006
"block-diagonal ridge, without the FOMC columns",3.0844216508158815,0.0017161023253362412
"block-diagonal ridge, without the FOMC columns",3.363585661014858,0.0010713817475095056
"block-diagonal ridge, without the FOMC columns",3.668016172818685,0.0006383084416799179
"block-diagonal ridge, without the FOMC columns",4.0,0.000254955292509808
LightGBM,0.25,0.0009691543680972117
LightGBM,0.2726269331663144,0.0014710110172980748
LightGBM,0.29730177875068026,0.002502399378082204
LightGBM,0.3242098886627524,0.0027281983922433388
LightGBM,0.3535533905932738,0.003388782314573567
LightGBM,0.3855527063519852,0.004477034832778245
LightGBM,0.42044820762685725,0.007812840701692898
LightGBM,0.4585020216023356,0.013672485335296752
LightGBM,0.5,0.019851361030001582
LightGBM,0.5452538663326288,0.026102352311601306
LightGBM,0.5946035575013605,0.04026684278411868
LightGBM,0.6484197773255048,0.05307627825535998
LightGBM,0.7071067811865476,0.07401251273717535
LightGBM,0.7711054127039704,0.0840395512723504
LightGBM,0.8408964152537145,0.09181178990487537
LightGBM,0.9170040432046712,0.10001714640018833
LightGBM,1.0,0.09357525252923637
LightGBM,1.0905077326652577,0.08909367542392967
LightGBM,1.189207115002721,0.07805654605350526
LightGBM,1.2968395546510096,0.06628734122177057
LightGBM,1.4142135623730951,0.04941321584542433
LightGBM,1.5422108254079407,0.040765178151364864
LightGBM,1.681792830507429,0.026339038634473587
LightGBM,1.8340080864093424,0.017795248141957615
LightGBM,2.0,0.01436766143777223
LightGBM,2.1810154653305154,0.012135727933724623
LightGBM,2.378414230005442,0.007864657634773805
