weighting,c_star_first,c_star_median,c_star_last,c_star_min,c_star_max,share_slope_positive
(u) unweighted 1{y > slice},2.993341333481958,2.0946927710731202,1.5947620517211405,1.5665912809458291,2.993341333481958,1.0
(e) ES-weighted 1{y > slice},1.84296771352913,1.76923152592557,1.4014107760545367,1.3893601421743333,1.9153768510137297,1.0
(p) payoff-weighted 1{R > 0},0.40530591495721285,1.1026305722329628,1.0272814420465721,0.0023045373779889584,38.02694093557485,0.9348534201954397
