calendar,family,sample,sessions,flagged_days,long_mid_mean,long_mid_t,long_ask_mean,long_ask_t,hit,pts_per_contract_mid,pts_per_contract_ask,other_days_long_mid_mean,other_days_short_mid_t
FOMC day,primary,deck period (to 2024-04-30),866,32,0.13319284444059393,0.7682322525492958,0.09939377591222223,0.5855700610921095,0.53125,1.1727905441075563,0.8743530511856079,-0.020140953385830242,0.5133726222288527
FOMC day,primary,HOLDOUT 2024-05-01 .. 2025-12-31,413,14,0.3203188317448817,0.7699589457440664,0.3022381543324953,0.7356652305183182,0.35714285714285715,4.4424106904438565,4.247767840112958,-0.05855610817531881,1.057598384647507
FOMC day,primary,all sessions,1279,46,0.19014423188102933,1.101716866772127,0.16112902151839228,0.948789207306827,0.4782608695652174,2.167892327775126,1.9010445086852363,-0.03257213486272071,1.0175491619015853
month-end,primary,deck period (to 2024-04-30),866,52,0.4712437496435263,2.625628618998755,0.42959985682503926,2.4572719817834767,0.5384615384615384,3.1395188776346354,2.870768881761111,-0.045503758087403916,1.1697834998537417
month-end,primary,HOLDOUT 2024-05-01 .. 2025-12-31,413,18,0.4503297959627485,1.1938510185619677,0.43151864606641427,1.1577719023251682,0.4444444444444444,3.2629882958200245,3.1032660007476807,-0.06831736669583124,1.2404237323248517
month-end,primary,all sessions,1279,70,0.46586587583989775,2.850921964755667,0.43009325977282126,2.68897113411448,0.5142857142857142,3.1712681565965926,2.9305538552148,-0.052957335755169664,1.6671832648957536
FOMC day or month-end,primary,deck period (to 2024-04-30),866,83,0.3352728145943949,2.5554875396836576,0.2967665375440519,2.3190770816066184,0.5301204819277109,2.335351582751217,2.0543274908180695,-0.051549205252896795,1.2941642482910556
FOMC day or month-end,primary,HOLDOUT 2024-05-01 .. 2025-12-31,413,31,0.4261355424714813,1.5095407623706931,0.40717390996159947,1.4600350413087806,0.41935483870967744,4.28476563192183,4.110572053540137,-0.08400425480141305,1.530112895069238
FOMC day or month-end,primary,all sessions,1279,114,0.3599811002451816,2.9528804582959114,0.32678959495584115,2.7339017258629994,0.5,2.8654554031397166,2.6134817140144215,-0.062191118495414574,1.9283801667571856
quarter-end,SECONDARY,deck period (to 2024-04-30),866,17,0.11887669927279972,0.56419720917204,0.0912127555792119,0.44245458542565763,0.47058823529411764,1.0447065374430489,0.7741182832156911,-0.017145215535124873,0.4411488604720594
quarter-end,SECONDARY,HOLDOUT 2024-05-01 .. 2025-12-31,413,7,0.000851305782958984,0.0020487328830973124,-0.014498473663439815,-0.03554207219982976,0.2857142857142857,-1.1742605481828963,-1.3314034257616316,-0.046515720832523595,0.8327964934601046
quarter-end,SECONDARY,all sessions,1279,24,0.08445262617159616,0.4505294312424696,0.06038031371677179,0.32889929077747193,0.4166666666666667,0.39750780413548154,0.16000778476397196,-0.026646749519781344,0.8355273517966939
session before FOMC,SECONDARY,deck period (to 2024-04-30),866,18,-0.21878575723046906,-0.6270396501563409,-0.2314944901131247,-0.6737347527823587,0.16666666666666666,-1.9169514675935109,-2.071118109756046,-0.010138255273036524,0.26367798250691477
session before FOMC,SECONDARY,HOLDOUT 2024-05-01 .. 2025-12-31,413,13,-0.09376678039797524,-0.2891627917995183,-0.1163998335287125,-0.36824974710178293,0.3076923076923077,-1.1370117297539344,-1.2639347773331862,-0.04415113843087548,0.7858190747489207
session before FOMC,SECONDARY,all sessions,1279,31,-0.1663584443652297,-0.6918232669756041,-0.18322898896482281,-0.7762780751849561,0.22580645161290322,-1.5898799646285273,-1.7326218735787176,-0.0210398203877285,0.6632713019633572
session after FOMC,SECONDARY,deck period (to 2024-04-30),866,17,-0.17763138735245876,-0.8525693163630309,-0.20193408368512358,-1.005771429766864,0.35294117647058826,-1.5464786308653213,-1.7347139155163485,-0.01120806892425398,0.28836999414438136
session after FOMC,SECONDARY,HOLDOUT 2024-05-01 .. 2025-12-31,413,14,-0.08957952388216957,-0.31908846622397286,-0.10533463095646044,-0.3821392734248865,0.2857142857142857,0.5564243836062295,0.42071012939725605,-0.044173709732264387,0.7826522190657091
session after FOMC,SECONDARY,all sessions,1279,31,-0.13786602965619912,-0.8212204743305931,-0.15830852438830798,-0.9681793421027375,0.3225806451612903,-0.5967804952975242,-0.7612966049102045,-0.021747564663353446,0.6795780016686815
