sample,fomc_days,other_days,last_bar_RV_vs_prior_bar_fomc,last_bar_RV_vs_prior_bar_other,t_vs_prior_bar,last_bar_RV_vs_own_trailing_median_fomc,last_bar_RV_vs_own_trailing_median_other,t_vs_own_trailing_median,median_net_move_sq_vs_prior_bar_fomc,median_net_move_sq_vs_prior_bar_other,median_net_move_sq_vs_own_trailing_median_fomc,median_net_move_sq_vs_own_trailing_median_other
1998-2019 (before any option in the study),174,5266,0.8826841444726401,1.1377987258586515,-6.377998340758113,1.6334054308675277,1.0106771470021754,8.542415227847355,0.8128665240419469,0.5633092091242253,1.1386282199779982,0.45103220038706204
2020-2024,33,1055,0.7145099580663629,1.616128436831264,-8.615164957224815,1.9232006930724044,1.0698441232189222,3.6003488593221333,0.8043505016136693,0.7248638532829422,1.4253639914004563,0.4873241023532032
