calendar,family,year,sessions,flagged_days,long_mid_mean,long_mid_t,long_ask_mean,long_ask_t,hit,pts_per_contract_mid,pts_per_contract_ask,other_days_long_mid_mean,other_days_short_mid_t
FOMC day,primary,2020,158,6,0.12927745366979773,0.4629156622771395,0.07222966979345513,0.27334276599616164,0.6666666666666666,1.540047158797582,1.198380470275879,0.02628866513569749,-0.2868299521538399
FOMC day,primary,2021,158,8,-0.16581917566500293,-0.8819978972570041,-0.1970603966725375,-1.0895784619152478,0.5,-2.36821286380291,-2.6213378310203552,0.05154922550154468,-0.4634284870330281
FOMC day,primary,2022,219,8,0.11937790108101097,0.5007699821681173,0.09118979845551473,0.39274399028547746,0.5,0.9512574076652527,0.4950074553489685,-0.11015764501552246,1.9054899515475978
FOMC day,primary,2023,248,8,0.48985426306557023,0.848857463111907,0.46325210352871515,0.8162588839834495,0.5,5.184320032596588,5.006194978952408,-0.08196114204668942,1.1308820717094181
FOMC day,primary,2024,249,8,0.7219780377907654,1.0435759452561084,0.6966265947164828,1.0198012091369515,0.5,9.618066430091858,9.427441477775574,0.005929272431443482,-0.07340937185530291
FOMC day,primary,2025,247,8,-0.16901978320877328,-0.6651424631233777,-0.1816884786425108,-0.725776644890214,0.25,-2.0750854909420013,-2.2750855088233948,-0.04353439614263404,0.648128331563876
month-end,primary,2020,158,12,0.09041079736163903,0.3228295409199895,0.040371609981466015,0.1519382261381273,0.4166666666666667,1.51667886475722,1.000012199083964,0.02525076886510368,-0.2702603109107931
month-end,primary,2021,158,12,0.28016749824220616,1.0466064491758684,0.2381867104888572,0.9255091609075077,0.5833333333333334,2.1608561128377914,1.948356161514918,0.02084808521236445,-0.185061012993314
month-end,primary,2022,219,12,0.4956764079209413,1.7659628946015227,0.4606344795217628,1.6806246067627502,0.6666666666666666,5.014123598734538,4.72662357489268,-0.1364075206989297,2.4088055899761254
month-end,primary,2023,248,12,0.7730430605564522,1.4047560315423562,0.7304004740327247,1.3638476990196229,0.4166666666666667,2.770833358168602,2.658333341280619,-0.10605235895490815,1.5097067650426117
month-end,primary,2024,249,11,1.1799422560842472,2.1348102011217587,1.1499871667703012,2.102525152852209,0.6363636363636364,7.441770244728435,7.314497481692921,-0.024262965792532405,0.3040207036146239
month-end,primary,2025,247,11,-0.003666061555340287,-0.010312878144918514,-0.016222721697594967,-0.04618490862360658,0.36363636363636365,0.234490459615534,0.06176311319524592,-0.04964640790953806,0.744752846059073
FOMC day or month-end,primary,2020,158,18,0.10336634946435858,0.5074094380300199,0.050990963252129054,0.26396892970399255,0.5,1.5244682961040072,1.0661349561479356,0.020792482373473923,-0.2147693892867227
FOMC day or month-end,primary,2021,158,20,0.10177282867932251,0.5635531128668491,0.0640878676242993,0.3686587077423491,0.55,0.3492285221815109,0.12047856450080871,0.03166937569800889,-0.2667924890879856
FOMC day or month-end,primary,2022,219,20,0.34515700518496917,1.781664828926685,0.3128566070952636,1.6543293421533785,0.6,3.388977122306824,3.0339771270751954,-0.14669035172525896,2.5246761551729864
FOMC day or month-end,primary,2023,248,20,0.6597675415600993,1.6742773290375355,0.6235411258311208,1.6208431262224856,0.45,3.7362280279397964,3.5974779963493346,-0.12696136323632845,1.8191888222302606
FOMC day or month-end,primary,2024,249,17,1.084458151287256,2.3357399286462206,1.056377779013384,2.301192221850984,0.5882352941176471,9.632594238309299,9.484064838465523,-0.04840952419646266,0.6177111295660969
FOMC day or month-end,primary,2025,247,19,-0.07328868119889102,-0.3226715952883793,-0.08589251409545427,-0.3829143894976548,0.3157894736842105,-0.7379625721981651,-0.9221731487073397,-0.04545786842535438,0.6638027645029547
quarter-end,SECONDARY,2020,158,4,-0.17188985907488424,-0.7500335442011158,-0.2029681293872785,-0.9194321852859256,0.5,-3.956201136112213,-4.424951076507568,0.035448709473664526,-0.39026010786553506
quarter-end,SECONDARY,2021,158,4,0.5081391768827288,0.9539097560544479,0.46534730505055283,0.9003625726926248,0.75,5.997473135590553,5.772473096847534,0.028397881249225747,-0.26306417016918654
quarter-end,SECONDARY,2022,219,4,0.6327749749822698,1.0277022109977447,0.6019964070396966,0.9917621401040954,0.75,6.19243186712265,5.892431855201721,-0.11543878971886619,2.0568451429991668
quarter-end,SECONDARY,2023,248,4,-0.39488493833707305,-2.5917037395744282,-0.40551575269565476,-2.7039583855188534,0.0,-3.256176710128784,-3.387426793575287,-0.05808319767759265,0.7884783624962493
quarter-end,SECONDARY,2024,249,4,0.3851354811530866,0.5774910723508386,0.3637732035441676,0.55632470804687,0.25,2.980004906654358,2.855004906654358,0.023119334831394556,-0.2818395711783834
quarter-end,SECONDARY,2025,247,4,-0.4525590785765507,-2.061978921619746,-0.4603511512508529,-2.124079754940749,0.25,-5.572485238313675,-5.747485280036926,-0.04093268571791574,0.6166273635538265
session before FOMC,SECONDARY,2020,158,1,-0.8637503417246192,,-0.8689026402312957,,0.0,-9.889941453933716,-10.339941501617432,0.03589358066477337,-0.4028873977779068
session before FOMC,SECONDARY,2021,158,0,,,,,,,,0.04054323050577013,-0.3823756476028296
session before FOMC,SECONDARY,2022,219,6,-0.8452994654466967,-6.542192866258506,-0.848180584168095,-6.68832634962446,0.0,-7.982495069503784,-8.211661696434021,-0.0808283713471689,1.4129814596548071
session before FOMC,SECONDARY,2023,248,8,-0.26576155746642605,-0.5169578526643913,-0.2817899290113759,-0.561144646131684,0.125,0.2818969897925854,0.1850220188498497,-0.0567739480289562,0.7756161751146392
session before FOMC,SECONDARY,2024,249,8,0.7184353833825572,1.1524261183567162,0.6876690354940407,1.118162600700145,0.5,2.6936645470559597,2.5874145701527596,0.006046870918023023,-0.07436643934561016
session before FOMC,SECONDARY,2025,247,8,-0.35536940603079636,-1.0175232475248475,-0.37114317056636986,-1.0913153320368678,0.25,-1.9132324159145355,-2.0351073890924454,-0.0372967518640726,0.5595049722721618
session after FOMC,SECONDARY,2020,158,2,-1.0,,-1.0,,0.0,-8.187499940395355,-8.549999952316284,0.043407319375928226,-0.4857962802990408
session after FOMC,SECONDARY,2021,158,0,,,,,,,,0.04054323050577013,-0.3823756476028296
session after FOMC,SECONDARY,2022,219,5,0.25632710361870564,0.4538359565715776,0.2155319052418645,0.39723435027786663,0.6,-0.07696285247802734,-0.31196279525756837,-0.11013960470897516,1.9552241658143013
session after FOMC,SECONDARY,2023,248,8,-0.19459263209373273,-0.8618965641628688,-0.21714757470660306,-0.9951198141503905,0.375,-0.8363098613917828,-0.9738098904490471,-0.05914624554137933,0.7925222225218014
session after FOMC,SECONDARY,2024,249,8,-0.42425055658248756,-1.6194707301460862,-0.43528244678966577,-1.6921058587147486,0.125,-1.5287597626447678,-1.6600097119808197,0.04397835440233986,-0.5271488283503649
session after FOMC,SECONDARY,2025,247,8,0.17440788399675772,0.42552250253688667,0.15427704871541031,0.38344005256172986,0.375,2.14752197265625,2.0162719935178757,-0.055029882911020025,0.8291458255687495
