rule,forecasts,passes,dSharpe_crossed_positive,interval_excludes_zero,median_dSharpe_crossed,median_p_random,median_p_shifted
FOMC days forced flat,8,0,6,0,0.06376659164023174,0.21789105447276363,0.2061200923787529
FOMC days forced long,8,0,6,0,0.10348355051976998,0.13993003498250875,0.1397228637413395
month-ends and FOMC days forced long,8,8,8,8,0.7057633942227153,0.0007496251874062968,0.0011547344110854503
month-ends forced flat,8,4,8,4,0.3231076160264965,0.005997001499250375,0.007505773672055427
month-ends forced long,8,8,8,8,0.6414053495457777,0.0004997501249375312,0.0011547344110854503
