forecast,rule,days_overridden,positions_changed,buy_share,mean_mid,Sharpe_mid,Sharpe_crossed,MaxDD_mid,MaxDD_crossed,dSharpe_mid,dSharpe_mid_ci_lo,dSharpe_mid_ci_hi,p_random_days_mid,p_shifted_calendar_mid,dSharpe_crossed,dSharpe_crossed_ci_lo,dSharpe_crossed_ci_hi,p_random_days_crossed,p_shifted_calendar_crossed,passes
a0,sign(s),0,0,0.3302540415704388,0.06858918296538287,0.9673095454705917,0.49093226316152744,-16.60742152654813,-27.358398273753906,,,,,,,,,,,
a0,month-ends forced long,52,44,0.3810623556581986,0.12034098977897008,1.703756752397307,1.2286540512220203,-16.050890067305282,-20.110341270610515,0.7364472069267153,0.2405725797727498,1.268834215594948,0.0004997501249375312,0.0011547344110854503,0.7377217880604929,0.2421123197361452,1.2666375895454325,0.0004997501249375312,0.0011547344110854503,True
a0,month-ends forced flat,52,52,0.3210161662817552,0.09204459836763788,1.361872226026052,0.9006771349624666,-15.202122447975135,-22.364320266624055,0.3945626805554604,0.08961216589855932,0.7219888629225913,0.0014992503748125937,0.0023094688221709007,0.40974487180093916,0.10714559463651689,0.7266466871828966,0.0014992503748125937,0.0023094688221709007,True
a0,FOMC days forced long,32,21,0.35450346420323325,0.0751953734116891,1.0608744914403057,0.5850150017303997,-16.89152314223287,-29.620607639623074,0.09356494596971399,-0.20306919432177975,0.42983657591284524,0.18840579710144928,0.18822170900692842,0.09408273856887223,-0.2014511187197589,0.42795773902996337,0.19090454772613694,0.18937644341801385,False
a0,FOMC days forced flat,32,32,0.31755196304849886,0.0702736977866287,1.0051931551033546,0.5404603988866676,-15.500603936585874,-27.818491315950922,0.03788360963276294,-0.13713788482690037,0.24359421699578915,0.2888555722138931,0.28983833718244806,0.0495281357251402,-0.12252480964416905,0.2508906151660837,0.2813593203398301,0.27829099307159355,False
a0,month-ends and FOMC days forced long,83,65,0.4053117782909931,0.12694718022527632,1.7984556816301174,1.3247024798242857,-14.268012463138616,-22.566510719196632,0.8311461361595257,0.2721347757293085,1.4053218004511372,0.0014992503748125937,0.0011547344110854503,0.8337702166627583,0.2728170699820988,1.4079931893078823,0.0014992503748125937,0.0011547344110854503,True
blk2,sign(s),0,0,0.3995381062355658,0.0947363520468904,1.3383216004229939,0.8695877009703311,-17.702163982122265,-22.18054106390029,,,,,,,,,,,
blk2,month-ends forced long,52,43,0.4491916859122402,0.14074926283514946,1.9969329535870863,1.5352446879988975,-16.873516094567712,-21.33215081629666,0.6586113531640925,0.14405178726883025,1.202600420569261,0.0004997501249375312,0.0011547344110854503,0.6656569870285663,0.14918567043819386,1.2114270039685808,0.0004997501249375312,0.0011547344110854503,True
blk2,month-ends forced flat,52,52,0.3891454965357968,0.11245287142381727,1.6668565273482001,1.21710560924674,-15.515072114283905,-19.64607043232329,0.32853492692520625,-0.006600678412697163,0.686355678097931,0.0024987506246876563,0.004618937644341801,0.34751790827640894,0.01585312978875151,0.7041733453569992,0.0024987506246876563,0.004618937644341801,True
blk2,FOMC days forced long,32,21,0.4237875288683603,0.1037243854407663,1.4663310112220702,0.999202246634033,-17.702163982122265,-21.344244558528082,0.12800941079907635,-0.16346945637571042,0.4750391328562795,0.10194902548725637,0.10046189376443418,0.1296145456637019,-0.1623430389338004,0.4781447825946905,0.10344827586206896,0.10046189376443418,False
blk2,FOMC days forced flat,32,32,0.38683602771362585,0.09880270981570591,1.4160502186725081,0.9597811390902931,-18.788415876075874,-22.24497886435938,0.07772861824951427,-0.09564887566876575,0.2912575800583802,0.15592203898050974,0.14665127020785218,0.09019343811996194,-0.0815848374761543,0.30374310418597356,0.15092453773113443,0.14549653579676675,False
blk2,month-ends and FOMC days forced long,83,64,0.47344110854503463,0.14973729622902537,2.126675438050204,1.6675171391475336,-16.873516094567712,-21.088013498392847,0.7883538376272103,0.2279623809580001,1.3831842744600547,0.0004997501249375312,0.0011547344110854503,0.7979294381772025,0.23405040326486376,1.3914635700517106,0.0004997501249375312,0.0011547344110854503,True
blk2_inc,sign(s),0,0,0.40993071593533487,0.08998148079318882,1.2707081191811798,0.8046134630083878,-20.400249999767354,-25.18133680626002,,,,,,,,,,,
blk2_inc,month-ends forced long,52,43,0.45958429561200925,0.13599439158144788,1.9284570135950114,1.4708665360047701,-19.571602112212805,-24.33294655865639,0.6577488944138317,0.1452009211262335,1.206852507862648,0.0004997501249375312,0.0011547344110854503,0.6662530729963824,0.15149107611436605,1.2167596527767242,0.0004997501249375312,0.0011547344110854503,True
blk2_inc,month-ends forced flat,52,52,0.3995381062355658,0.10769800017011572,1.5956476146021026,1.149554606905898,-17.76221018875851,-22.646866174683026,0.3249394954209228,-0.004814683638868711,0.6800596514656734,0.00399800099950025,0.004618937644341801,0.3449411438975102,0.018623075375422085,0.6925664812204207,0.00399800099950025,0.004618937644341801,True
blk2_inc,FOMC days forced long,32,24,0.4376443418013857,0.09769677952241179,1.3804547620804541,0.9163234108025267,-19.702163982122265,-23.389861752992974,0.10974664289927438,-0.19935850338429378,0.467795877647895,0.127936031984008,0.11893764434180139,0.1117099477941389,-0.1989299888912974,0.46894443950099124,0.127936031984008,0.11778290993071594,False
blk2_inc,FOMC days forced flat,32,32,0.4006928406466513,0.0927751038973514,1.3290359147853477,0.8757497403888412,-20.788415876075874,-25.09606036990381,0.0583277956041679,-0.11847706050437769,0.26921684485083786,0.21239380309845077,0.1951501154734411,0.07113627738045347,-0.10695987595702615,0.28116834578801947,0.20189905047476261,0.1859122401847575,False
blk2_inc,month-ends and FOMC days forced long,83,67,0.48729792147806006,0.14370969031067085,2.039622043411203,1.584937019322639,-18.873516094567712,-22.541471505389342,0.7689139242300234,0.20746068901772471,1.3573465296574996,0.0004997501249375312,0.0011547344110854503,0.7803235563142513,0.21239017990953896,1.365514505293216,0.0004997501249375312,0.0011547344110854503,True
lgbm,sign(s),0,0,0.3348729792147806,0.10323802553228009,1.4593971219265764,0.9818045863151208,-17.952168348093153,-20.201922895964103,,,,,,,,,,,
lgbm,month-ends forced long,52,44,0.3856812933025404,0.1443413619762541,2.04873630443993,1.5766462657778488,-13.761163057566005,-18.655184689028744,0.5893391825133536,0.11164806005841958,1.14387674915081,0.0004997501249375312,0.0011547344110854503,0.594841679462728,0.11496679274059311,1.14409059304182,0.0004997501249375312,0.0011547344110854503,True
lgbm,month-ends forced flat,52,52,0.325635103926097,0.1160449705649219,1.7207176945385174,1.2610716464392633,-12.239493249991554,-16.661533341876122,0.26132057261194097,-0.05333993527950839,0.6223120889629309,0.0079960019990005,0.010392609699769052,0.2792670601241425,-0.03901308545035288,0.632769106892664,0.0079960019990005,0.011547344110854504,False
lgbm,FOMC days forced long,32,19,0.3568129330254042,0.09934835071501529,1.403972670094222,0.9276394682790929,-14.691764577901566,-17.858889674855725,-0.05542445183235434,-0.2776511914739977,0.19024711458003163,0.46276861569215394,0.45958429561200925,-0.05416511803602786,-0.2744605095150232,0.19142646737308983,0.4642678660669665,0.4630484988452656,False
lgbm,FOMC days forced flat,32,32,0.31986143187066973,0.0944266750899549,1.3528657699510769,0.887401719498396,-14.775963856725681,-17.66608320215375,-0.10653135197549957,-0.2692672000670487,0.05503234311466328,0.7781109445277361,0.7956120092378753,-0.09440286681672483,-0.2603138145949781,0.06879785100983492,0.7626186906546727,0.7782909930715936,False
lgbm,month-ends and FOMC days forced long,83,63,0.407621247113164,0.14045168715898929,1.9926443151995306,1.522016091306198,-11.978285453399339,-16.8637096357617,0.5332471932729541,0.02024073762590243,1.137381664590419,0.00399800099950025,0.0023094688221709007,0.5402115049910772,0.02518517792671528,1.1378847880927236,0.00399800099950025,0.0023094688221709007,True
xgb,sign(s),0,0,0.32217090069284066,0.10594724952672167,1.4980323951467007,1.0215326073475821,-13.221938145615525,-15.157216567704218,,,,,,,,,,,
xgb,month-ends forced long,52,46,0.37528868360277134,0.15525197210772176,2.206486312507825,1.735342674363118,-13.10081928303112,-15.253793503145605,0.7084539173611242,0.18783724340716237,1.2471152467362652,0.0004997501249375312,0.0011547344110854503,0.7138100670155358,0.18939964199924486,1.2454936349131618,0.0004997501249375312,0.0011547344110854503,True
xgb,month-ends forced flat,52,52,0.31524249422632794,0.12695558069638957,1.8846841483540497,1.4259566773795205,-10.877103415799548,-12.990617385321972,0.386651753207349,0.06859283843381452,0.7207155923146489,0.0009995002498750624,0.0023094688221709007,0.40442407003193837,0.08601535617228791,0.7259005445104721,0.0009995002498750624,0.0023094688221709007,True
xgb,FOMC days forced long,32,17,0.3418013856812933,0.10469716421918786,1.4802021344366882,1.0048047756242817,-10.653909339538103,-12.492688501930628,-0.01783026071001248,-0.23158580510545607,0.2149644560237301,0.36431784107946025,0.35450346420323325,-0.01672783172330039,-0.22924932742044918,0.21388001222383357,0.3663168415792104,0.3625866050808314,False
xgb,FOMC days forced flat,32,32,0.30484988452655887,0.09977548859412746,1.4301049057608275,0.9655822309053642,-11.369791557051741,-12.851865097112295,-0.06792748938587323,-0.22665398785911936,0.09590366430572218,0.6381809095452274,0.6501154734411085,-0.0559503764422179,-0.21491914366018683,0.10655262602321879,0.6306846576711644,0.6327944572748267,False
xgb,month-ends and FOMC days forced long,83,63,0.394919168591224,0.15400188680018795,2.1883803108404964,1.7186686213138624,-11.317941678864452,-13.462318449878559,0.6903479156937957,0.14659413700168927,1.2698202754145056,0.0014992503748125937,0.0011547344110854503,0.6971360139662803,0.1504099863859463,1.2801241628258635,0.0014992503748125937,0.0011547344110854503,True
lasso_t,sign(s),0,0,0.37066974595842955,0.09998942085870799,1.4131037944414562,0.9346206653459997,-17.574271248383287,-22.917448430030376,,,,,,,,,,,
lasso_t,month-ends forced long,52,44,0.4214780600461894,0.14279559139740897,2.026436211635914,1.5517743774089887,-16.74562336082874,-22.06905818242675,0.6133324171944579,0.14119473895786366,1.166242690818704,0.0004997501249375312,0.0023094688221709007,0.617153712062989,0.14398262516054983,1.1698927415736753,0.0004997501249375312,0.0023094688221709007,True
