forecast,rule,2020,2021,2022,2023,2024
a0,sign(s),-0.45852556802501354,-0.28567793633985505,1.0919562357831984,0.9845561420787405,1.2458530285957772
a0,month-ends forced long,-0.27736407266349866,0.23226760470782845,2.1346411914698833,1.9210645186787927,2.388918490177189
a0,month-ends forced flat,-0.32931652872057987,0.017000163651586218,1.7223027784237575,1.5314267364934293,1.7942585471075085
a0,FOMC days forced long,-0.3327869932772638,-0.5478088447886437,1.1303197077164262,1.516756548978379,0.9577333220348552
a0,FOMC days forced flat,-0.3740488712841357,-0.4308493531145978,1.0784158952758995,1.3495386443783288,0.9798320171897822
a0,month-ends and FOMC days forced long,-0.15125297943236665,-0.030550789977714446,2.1745072422086196,2.4705797833105145,2.093439658003588
blk2,sign(s),0.5582200863669812,0.4394724336618723,-0.3321432976319781,1.8559736864309555,1.8022210294896517
blk2,month-ends forced long,0.7446716923838642,0.723652875912266,0.6849259315938021,2.7219728809922783,2.9714649627778345
blk2,month-ends forced flat,0.7181599113049458,0.5155476908381983,0.22099117485364525,2.3839526481093767,2.3964057370351406
blk2,FOMC days forced long,0.6811105924327213,0.17593652449229608,-0.11446663337302514,2.4072285960777804,1.5093677355484187
blk2,FOMC days forced flat,0.6449685598244289,0.2962928005466787,-0.1782552529684371,2.2642572936677032,1.535315689240387
blk2,month-ends and FOMC days forced long,0.8682232136029843,0.4591931895719268,0.9058982437848867,3.2949689201691923,2.6686863392566806
blk2_inc,sign(s),-0.5294848676456845,0.5977749661774575,0.23759316822290763,1.6697753685291665,2.1540875695867787
blk2_inc,month-ends forced long,-0.3467701767969732,0.8848341523106245,1.265304801509359,2.5310909847262066,3.3370590185741573
blk2_inc,month-ends forced flat,-0.40108709848382756,0.6777636348978041,0.8218065378400754,2.1797724624100465,2.7756353826456066
blk2_inc,FOMC days forced long,-0.4025936155293457,0.396480289272688,0.4568909035671609,2.102433909395129,1.858963506342599
blk2_inc,FOMC days forced flat,-0.444666148321425,0.5187637679294383,0.3984808426615736,1.9505755038244093,1.8872913504802034
blk2_inc,month-ends and FOMC days forced long,-0.21951472809193698,0.6827411674965169,1.4895337568152343,2.9801405856384418,3.0303855135617828
lgbm,sign(s),0.5161912282358232,1.5454834064593748,0.909489687878685,0.7059893912953974,1.5775210174284502
lgbm,month-ends forced long,0.5660433603178516,2.0781583441130125,1.9463917292891748,1.641338234381558,1.6010810447456345
lgbm,month-ends forced flat,0.5351942196422805,1.8884079782551386,1.5282596770540744,1.2305973736959732,0.9718885833878615
lgbm,FOMC days forced long,0.45630712339507196,1.2827209993983932,0.9476407629902951,0.8360660273831299,1.287121157063893
lgbm,FOMC days forced flat,0.41938408576134584,1.4094256477901577,0.894098547392954,0.6481753628242817,1.3114452936300842
lgbm,month-ends and FOMC days forced long,0.5060231500339473,1.8116363949293077,1.98594247259265,1.7750506114582285,1.3105424520191504
xgb,sign(s),0.4800997268272009,1.6456355467914257,0.8334887146814706,1.3858636073734298,0.18831509226783807
xgb,month-ends forced long,0.482368866960933,2.1798588280728337,1.8687820853287125,2.3390244707891474,1.3105424520191506
xgb,month-ends forced flat,0.44947040228432455,1.9914570504928104,1.4479922268276424,1.9763061278365723,0.6675938283756354
xgb,FOMC days forced long,0.42028553970916965,1.382444478037436,0.895949903062012,1.5176823359945208,0.18831509226783807
xgb,FOMC days forced flat,0.38322026124975506,1.5097444764348793,0.8419188323015144,1.3499687617846798,0.20557591554683322
