signal,quintile,days,big_moves,big_share_down,mean_return_annual,vol_annual
RV21,1,2345,3,1.0,0.02598860760200972,0.10646740306701966
RV21,2,1374,5,0.8,0.0675561002152717,0.14152982684301132
RV21,3,831,6,0.8333333333333334,0.03986137694001696,0.17479984082927238
RV21,4,806,14,0.7142857142857143,0.13695353284723571,0.21311505201810463
RV21,5,963,97,0.4845360824742268,0.1825553457432736,0.3575669543132941
RV5,1,2342,2,1.0,0.018777382491966674,0.09927152185411542
RV5,2,1349,2,1.0,0.16083537192782532,0.136267004357414
RV5,3,923,9,0.6666666666666666,-0.0318405794020544,0.1800872182522814
RV5,4,797,9,0.5555555555555556,0.03146272700789295,0.21149294247941608
RV5,5,923,103,0.5242718446601942,0.24089017267954507,0.3694589709666408
HAR,1,2358,2,1.0,0.011359209682837577,0.09871640570831516
HAR,2,1233,1,0.0,0.10866278743506072,0.13293993737170282
HAR,3,895,5,1.0,0.10463847562995285,0.16927707717901477
HAR,4,676,10,0.5,0.09542383318446392,0.2171020122326183
HAR,5,903,105,0.5333333333333333,0.1285229510862548,0.3768481939463339
VIX,1,959,0,,0.05662982952878578,0.08214810130577302
VIX,2,919,0,,0.12039873925257359,0.11359147920037505
VIX,3,712,3,1.0,0.10959400701847156,0.15251783516407694
VIX,4,774,6,1.0,0.00332806124054459,0.19154875565539536
VIX,5,833,88,0.5568181818181818,0.1668730914482291,0.3641532654592932
TS,1,982,1,1.0,0.037803855774753696,0.09129190603868068
TS,2,594,0,,0.0623980286203869,0.11293430624323736
TS,3,532,1,1.0,0.248504077239089,0.13178077546696582
TS,4,610,9,0.7777777777777778,0.04489910818098375,0.1866068046713042
TS,5,669,31,0.6451612903225806,0.29978481258615497,0.2863794015098405
DD,1,1566,1,1.0,-0.011844653451969408,0.0898413904336805
DD,2,1332,4,1.0,0.08072474342948564,0.1253588878111218
DD,3,1069,2,1.0,0.15108043577250863,0.15279119823135856
DD,4,1155,23,0.6521739130434783,0.08908891999233462,0.21554386183508437
DD,5,1215,95,0.49473684210526314,0.09478249284171349,0.32432162730932396
