sample_of,from,part,rule,sessions,half,zero,premium_given_up,worst_day,one_in_200,worst_20
RV21,1999-01-07,first half,RV21 (live brake),3170,248,109,0.17129437757587815,-0.06508374140541849,-0.023003075741525547,-0.1660806444170854
RV21,2011-09-14,second half,RV21 (live brake),3171,70,32,0.07134908367654955,-0.06997371965884239,-0.022116786276327082,-0.19485641428571998
RV21,1999-01-07,whole,RV21 (live brake),6341,318,141,0.12909587964566943,-0.06997371965884239,-0.022755267879743267,-0.19485641428571995
RV5,1999-01-15,first half,RV21 (live brake),3167,250,109,0.17190623573630479,-0.06508374140541849,-0.02300698375771242,-0.1660806444170854
RV5,2011-09-20,second half,RV21 (live brake),3167,68,32,0.07086420225290922,-0.06997371965884239,-0.0221299985927298,-0.19485641428571998
RV5,1999-01-15,whole,RV21 (live brake),6334,318,141,0.12929411292155912,-0.06997371965884239,-0.02276424633131168,-0.19485641428571995
RV5,1999-01-15,first half,RV5 brake,3167,248,108,0.16064415259461745,-0.037270786517748684,-0.021201153821072394,-0.14938803240219342
RV5,2011-09-20,second half,RV5 brake,3167,130,32,0.07988142989512283,-0.06997371965884239,-0.018055734746346783,-0.09071778123614044
RV5,1999-01-15,whole,RV5 brake,6334,378,140,0.12658435648917135,-0.06997371965884239,-0.020639922831817564,-0.14938803240219342
HAR,2000-02-11,first half,RV21 (live brake),3032,265,109,0.18483582785845498,-0.06508374140541849,-0.024064437154998626,-0.1660806444170854
HAR,2012-04-02,second half,RV21 (live brake),3033,53,32,0.06948543987351014,-0.06997371965884239,-0.02188330791561285,-0.19485641428571998
HAR,2000-02-11,whole,RV21 (live brake),6065,318,141,0.13644068145009072,-0.06997371965884239,-0.022953778988719985,-0.19485641428571995
HAR,2000-02-11,first half,HAR brake,3032,248,147,0.18829745075956447,-0.037270786517748684,-0.019574099126060222,-0.1494675984022178
HAR,2012-04-02,second half,HAR brake,3033,100,31,0.0741302068003926,-0.06997371965884239,-0.016299107289441235,-0.09309324985469612
HAR,2000-02-11,whole,HAR brake,6065,348,178,0.14039869131053095,-0.06997371965884239,-0.017804155469274323,-0.1494675984022178
VIX,2007-05-25,first half,RV21 (live brake),2098,164,86,0.21434288233071516,-0.06508374140541849,-0.021911586114031118,-0.16608064441708542
VIX,2015-10-02,second half,RV21 (live brake),2099,53,32,0.0940926179871423,-0.06997371965884239,-0.02424272195465857,-0.19485641428571998
VIX,2007-05-25,whole,RV21 (live brake),4197,217,118,0.16055360810483493,-0.06997371965884239,-0.023179488267170097,-0.19485641428571998
VIX,2007-05-25,first half,VIX brake,2098,140,88,0.16875666123808883,-0.032541870702709245,-0.02257756227019048,-0.10348110326299802
VIX,2015-10-02,second half,VIX brake,2099,117,20,0.09575746799200227,-0.06997371965884239,-0.019156967648514225,-0.11488113777205847
VIX,2007-05-25,whole,VIX brake,4197,257,108,0.13610331411061002,-0.06997371965884239,-0.021630335513711366,-0.11488113777205847
TS,2010-08-16,first half,RV21 (live brake),1693,40,0,0.031202701956044944,-0.06508374140541849,-0.013464224368575039,-0.11979269747445319
TS,2017-05-10,second half,RV21 (live brake),1694,53,32,0.11115990733803208,-0.06997371965884239,-0.025279606166299314,-0.19485641428571998
TS,2010-08-16,whole,RV21 (live brake),3387,93,32,0.0746058865925904,-0.06997371965884239,-0.022063937010716215,-0.19485641428571998
TS,2010-08-16,first half,TS brake,1693,108,35,0.07853628963894695,-0.03129042224076256,-0.012110109377511663,-0.08114667922965223
TS,2017-05-10,second half,TS brake,1694,126,50,0.12726446272479994,-0.06997371965884239,-0.019351935969846787,-0.09157935400823358
TS,2010-08-16,whole,TS brake,3387,234,85,0.10498741287847028,-0.06997371965884239,-0.0158737745519229,-0.09157935400823358
DD,1999-01-12,first half,RV21 (live brake),3168,250,109,0.17188441848955446,-0.06508374140541849,-0.02300568108565013,-0.1660806444170854
DD,2011-09-16,second half,RV21 (live brake),3169,68,32,0.07076917440751329,-0.06997371965884239,-0.022123392434528443,-0.19485641428571998
DD,1999-01-12,whole,RV21 (live brake),6337,318,141,0.12921145780920135,-0.06997371965884239,-0.02276039842349665,-0.19485641428571998
DD,1999-01-12,first half,DD brake,3168,364,244,0.2398179437831824,-0.06508374140541849,-0.0208056338221333,-0.1645843027777682
DD,2011-09-16,second half,DD brake,3169,67,0,0.02868100399405388,-0.06997371965884239,-0.022970893395019464,-0.38339297183957743
DD,1999-01-12,whole,DD brake,6337,431,244,0.1507132948097663,-0.06997371965884239,-0.021959522994171872,-0.38339297183957743
