book,sample,ann_growth,ann_vol,Sharpe,max_drawdown,worst_20,worst_day
buy and hold + insurance (replay tails),1998-2024,0.16604671668873472,0.21894128872353924,0.8120228680139242,-0.7973913425581084,-0.4349588039883022,-0.11984055240393414
VM volatility-managed + insurance (replay tails),1998-2024,0.16099258159044583,0.17506073370805517,0.9410515677361931,-0.7971681019401182,-0.3013494403534905,-0.08421836292819943
MA200 trend + insurance (replay tails),1998-2024,0.14669107966617068,0.15094396501020585,0.9831774567238083,-0.7329156378195606,-0.3212604305097143,-0.08421836292819943
BRK brake on the S&P + insurance (replay tails),1998-2024,0.1649678373449377,0.18799848044017567,0.9071425326675038,-0.8236292185568136,-0.2847603852027408,-0.08709021325962812
TSI term-structure + insurance (replay tails),1998-2024,0.15365134414618664,0.2036946516684008,0.8042546033359164,-0.7973913425581084,-0.35268851087270775,-0.09034977808622592
buy and hold alone,tape 2020-01..2024-04,0.10826768505515783,0.22326331171810262,0.5726774567107504,-0.3392496000265325,-0.309439016740319,-0.11984055240393414
buy and hold + insurance (realized),tape 2020-01..2024-04,0.1899594631693089,0.23176539057627443,0.8671006653277159,-0.3329113235630171,-0.30549149983869617,-0.11984055240393414
VM volatility-managed alone,tape 2020-01..2024-04,0.08576327607110357,0.1380406304657853,0.6653092521234338,-0.21529083342512667,-0.15064578685063204,-0.03824953204708205
VM volatility-managed + insurance (realized),tape 2020-01..2024-04,0.16576132894259676,0.1516710372517431,1.0875231714882085,-0.19419467033829263,-0.14307850471164585,-0.03924662922949878
MA200 trend alone,tape 2020-01..2024-04,0.06608049350888834,0.1265220046285299,0.5693649408362519,-0.19670080830884773,-0.17403899126388134,-0.058944059274438035
MA200 trend + insurance (realized),tape 2020-01..2024-04,0.14486905509814818,0.13980113515493414,1.0382122602655217,-0.20449761785872145,-0.16694582053758722,-0.058944059274438035
BRK brake on the S&P alone,tape 2020-01..2024-04,0.11101941627258394,0.171922163940126,0.6985931559896393,-0.25525438516433097,-0.13589646268839708,-0.058944059274438035
BRK brake on the S&P + insurance (realized),tape 2020-01..2024-04,0.19301999268519965,0.18234581938317518,1.0595784788604317,-0.23316960012038723,-0.12659881128343053,-0.058944059274438035
TSI term-structure alone,tape 2020-01..2024-04,0.11289947796634303,0.16584537758793844,0.7281824695198695,-0.2991885005027767,-0.14519764801458726,-0.058944059274438035
TSI term-structure + insurance (realized),tape 2020-01..2024-04,0.19477048400965358,0.17792980602928496,1.0895968459360565,-0.2702105082900468,-0.13796698681849945,-0.058944059274438035
