window,replay_leg_return,realized_leg_return,replay_leg_max_drawdown,realized_leg_max_drawdown
2020 covid,-0.17657088403810628,0.008465456334203036,-0.18002540123283406,-0.02654508740460748
2022,-0.13972526328374668,0.09877137435668759,-0.16386135220347486,-0.04730965089735584
tape 2020-01..2024-04,0.3365990740663869,0.36254393715472855,-0.2161656461804089,-0.061837221571497514
