rule,part,mean_weight,ann_growth,ann_vol,Sharpe,max_drawdown,worst_20,worst_day,dSharpe_lo,dSharpe_hi
buy and hold,whole,1.0,0.06515072541914324,0.19491438707780426,0.42147987338341025,-0.5677538774277283,-0.309439016740319,-0.11984055240393414,0.0,0.0
buy and hold,to 2011-03-17,1.0,0.02132746349129966,0.21419456210057078,0.20560804043522612,-0.5677538774277283,-0.2816010179905727,-0.09034977808622592,,
buy and hold,from 2011-03-18,1.0,0.11085436201098697,0.17350483576483566,0.6931498920868139,-0.3392496000265325,-0.309439016740319,-0.11984055240393414,,
VM volatility-managed,whole,0.9175992472703051,0.06026455958205257,0.145377221845211,0.47537251722144563,-0.48908356225977867,-0.15064578685063174,-0.06801408216529653,-0.06730618167573196,0.1849071732104311
VM volatility-managed,to 2011-03-17,0.9169178739842485,0.028224191064417203,0.16196012542949412,0.25290879625441093,-0.48908356225977867,-0.1394771136257796,-0.06801408216529653,,
VM volatility-managed,from 2011-03-18,0.9182806205563617,0.09330333411237213,0.12664168895377495,0.7679582626408997,-0.21529083342512656,-0.15064578685063212,-0.04097922480422794,,
MA200 trend,whole,0.7224582701062215,0.04678442619393586,0.11852048212460913,0.44525520543583147,-0.28281011691931424,-0.17403899126388134,-0.06801408216529653,-0.27080197929779254,0.347000304514771
MA200 trend,to 2011-03-17,0.629742033383915,0.03211717609783182,0.1225509927437431,0.3193637465210342,-0.28281011691931424,-0.1394771136257796,-0.06801408216529653,,
MA200 trend,from 2011-03-18,0.8151745068285281,0.061660110206618546,0.11436018698300579,0.5806686820199707,-0.19670080830884784,-0.17403899126388134,-0.058944059274438035,,
BRK brake on the S&P,whole,0.9553110773899848,0.06410529313700097,0.159651609206076,0.4692002545220646,-0.5659985390755402,-0.16882534648589115,-0.06801408216529653,-0.11970924429816483,0.23478020174666075
BRK brake on the S&P,to 2011-03-17,0.9344461305007588,0.024447706411430792,0.16936419365637406,0.22736010673424176,-0.5659985390755402,-0.16882534648589115,-0.06801408216529653,,
BRK brake on the S&P,from 2011-03-18,0.9761760242792109,0.10529807211792352,0.1492992317293405,0.7455530005928972,-0.2552543851643311,-0.15159647346877128,-0.06663446415643753,,
TSI term-structure,whole,0.958877086494689,0.05363581192719313,0.17847843440018957,0.3820602724277923,-0.5677538774277283,-0.2816010179905727,-0.09034977808622592,-0.16093494899944416,0.11112195746575906
TSI term-structure,to 2011-03-17,0.992412746585736,0.016145978589668486,0.2127987035794303,0.1816600406605937,-0.5677538774277283,-0.2816010179905727,-0.09034977808622592,,
TSI term-structure,from 2011-03-18,0.9253414264036419,0.09250880047399779,0.1357518370067799,0.7198577901321737,-0.29918850050277646,-0.14519764801458726,-0.058944059274438035,,
