run_start,run_return,worst_day_in_run,pct_RV21_at_start,pct_RV5_at_start,pct_HAR_at_start,pct_VIX_at_start,pct_TS_at_start,pct_DD_at_start,pct_RV21_eve_of_worst,pct_VIX_eve_of_worst
2020-02-24,-0.309439016740319,2020-03-16,0.3026458861906488,0.30778962588107717,0.44509878419452886,0.5639315743693825,0.8889730958696476,0.35747832369942195,0.9902403759262606,0.9896073903002309
2008-09-15,-0.2816010179905727,2008-09-29,0.7461276917264829,0.9511645379413974,0.9431675720852486,0.8929188255613126,,0.8724202626641651,0.9894617990214528,0.9949066213921901
2009-02-09,-0.22112589418333456,2009-02-10,0.9686817188638019,0.9434987323433539,0.9486356340288925,0.8923303834808259,,0.9790159189580319,0.9683290862759374,0.8910162002945509
2002-06-24,-0.19354186425209843,2002-07-19,0.5961538461538461,0.7055103884372177,0.7446300715990454,,,0.8936936936936937,0.9549143372407575,
2008-10-24,-0.17142194824549833,2008-11-20,1.0,0.9962839093273876,0.9987613542526838,0.9967105263157895,,0.9985152190051967,0.9914656771799629,0.9968102073365231
2001-08-20,-0.16882534648589115,2001-09-17,0.09706546275395034,0.13429522752497225,0.061708860759493674,,,0.9823008849557522,0.4450610432852386,
2011-07-25,-0.1646741215878452,2011-08-08,0.3260998810939358,0.32169280852323173,0.28135048231511256,0.2924382716049383,0.6503067484662577,0.2643406268480189,0.7335506816834617,0.8637059724349158
2002-09-12,-0.14602344469832312,2002-09-27,0.8647469458987783,0.8337639965546942,0.7443946188340808,,,0.9020618556701031,0.8513396715643907,
1998-08-04,-0.1394771136257796,1998-08-31,,,,,,,,
2001-02-16,-0.1327292557714505,2001-03-12,0.22105263157894736,0.17935483870967742,0.14031620553359683,,,0.9395886889460154,0.6296774193548387,
