,buy and hold,VM volatility-managed,MA200 trend,BRK brake on the S&P,TSI term-structure
2000-02 dot-com,-0.4914694789846549,-0.47946654578253534,-0.2114985386376529,-0.5312249849902668,-0.4914694789846549
2007-09 financial crisis,-0.5677538774277285,-0.37887472310854997,-0.08686839516834566,-0.325689292500841,-0.5677538774277285
2011 downgrade,-0.1938824207235842,-0.15644057696276803,-0.08034550766008952,-0.18786939311944328,-0.08984537554739902
2015-16,-0.1416075044464049,-0.1404985937556953,-0.1286828916339059,-0.1416075044464049,-0.14880002568484285
2018 Q4,-0.17542604548750274,-0.1294076233385455,-0.14541464768071977,-0.17542604548750274,-0.13428322731475284
2020 covid,-0.3392496000265327,-0.16026686232781073,-0.17403899126388123,-0.12983617805541336,-0.04732809071881272
2022,-0.25425096619230436,-0.21529083342512723,-0.14156845059685008,-0.2552543851643311,-0.29918850050277734
