brake,sample,half,zero,days,ann_return,ann_vol,Sharpe,max_drawdown,worst_day,worst_20,worst_day_date
RV21 brake (live),deck 2020-01..2024-04,35,21,866,0.09184687299624278,0.060179606033370046,1.5262126000843708,-0.06320651382256867,-0.02370338287801858,-0.04118408612349661,2022-09-21
RV21 brake (live),HOLDOUT 2024-05..2025-12,6,18,413,0.10118868132001312,0.052084312988462014,1.942786138744481,-0.026609428443029742,-0.01451722718356591,-0.023502779023695325,2025-04-04
RV21 brake (live),all,41,39,1279,0.0948634225175228,0.05767014984670657,1.6449310912088826,-0.06320651382256867,-0.02370338287801858,-0.04118408612349661,2022-09-21
RV5 brake,deck 2020-01..2024-04,63,19,866,0.10030531525158742,0.056825990562884884,1.7651309595841953,-0.0448982341584607,-0.02370338287801858,-0.03273594089452639,2022-09-21
RV5 brake,HOLDOUT 2024-05..2025-12,19,8,413,0.07915550491830875,0.04748834335426801,1.6668407303198682,-0.026609428443029742,-0.01451722718356591,-0.023502779023695325,2025-04-04
RV5 brake,all,82,27,1279,0.09347586125030198,0.053972601514151085,1.731913204624638,-0.0448982341584607,-0.02370338287801858,-0.03273594089452639,2022-09-21
