event,signal,days,events,AUC,AUC_lo,AUC_hi,top_share_of_days,top_share_of_events,top_share_of_loss,lift,lift_lo,lift_hi,FORECASTS
E1 S&P crash day,RV21,6319,63,0.8687025534851622,0.7855524367398149,0.9232670716336557,0.1523975312549454,0.6984126984126984,0.7411199039431292,4.863070273122153,3.597944470697442,6.29345097083273,True
E1 S&P crash day,RV5,6334,63,0.9003576554206438,0.8405142978146507,0.9397379594260534,0.14572150299968425,0.7936507936507936,0.8304564870869796,5.698928915719316,4.442769432236614,7.161456305540009,True
E1 S&P crash day,HAR,6065,62,0.9095398537290494,0.8486605784931993,0.9462094139464748,0.14888705688375928,0.8387096774193549,0.8768523204382106,5.889379095745014,4.745296303960064,7.316211961626364,True
E1 S&P crash day,VIX,4197,53,0.9090296495956873,0.8555518657344857,0.9436436776006996,0.19847510126280676,0.8867924528301887,0.911818685269355,4.59412127500058,3.597246857549488,5.9783718556170315,True
E1 S&P crash day,TS,3387,25,0.8716597263533611,0.7459495577040964,0.9435387997337457,0.1975199291408326,0.68,0.7404670811950533,3.748822128561503,1.8496248235225339,4.999087816793817,True
E1 S&P crash day,DD,6337,63,0.841317910651669,0.7608719936238287,0.8952281342651159,0.19173110304560517,0.6825396825396826,0.7288900495236892,3.801626538133019,2.65567154204156,4.894566982445532,True
E1f first shock,RV21,6319,21,0.6652830074551256,0.5530956409997534,0.77000432647428,0.1523975312549454,0.19047619047619047,0.21223880861048636,1.3926656610692245,0.2911432632483045,2.7465995341125713,False
E1f first shock,RV5,6334,21,0.7533509839861812,0.6501792575516631,0.8447216142603642,0.14572150299968425,0.42857142857142855,0.45037993304342466,3.0906895946880297,1.5274053503166816,4.707524343292991,True
E1f first shock,HAR,6065,20,0.7798263027295286,0.6685911479069881,0.8657333925494888,0.14888705688375928,0.5,0.5554211594167325,3.7304865247646544,2.1638675625435098,5.440962356910334,True
E1f first shock,VIX,4197,14,0.8071957924934258,0.7298139939578226,0.8810860998328158,0.19847510126280676,0.6428571428571429,0.6551481295676939,3.30090840311598,1.9560657262474959,4.955943480086847,True
E1f first shock,TS,3387,11,0.800840155105558,0.646544263190226,0.9170787728126844,0.1975199291408326,0.5454545454545454,0.5371216810006475,2.7193290486535022,1.175723759943232,4.546349925103807,True
E1f first shock,DD,6337,21,0.6830121535631352,0.5736872723620862,0.7855598553980052,0.19173110304560517,0.3333333333333333,0.34755321141863443,1.8127116878682192,0.8256232923184466,2.904163576759278,False
E2 insurance crash day,RV21,6319,62,0.8969773208844803,0.8485583624278067,0.9348300809617944,0.1523975312549454,0.6935483870967742,0.7372605405012642,4.837745955791784,3.538328492110739,6.271443506758277,True
E2 insurance crash day,RV5,6334,62,0.9404290446017116,0.9083913486707268,0.9622340005475354,0.14572150299968425,0.8548387096774194,0.8815016061183495,6.049221206016929,4.767945759685659,7.698555013848019,True
E2 insurance crash day,HAR,6065,62,0.9385737238907428,0.9063278498099513,0.9624242188653321,0.14888705688375928,0.8870967741935484,0.9027476734204114,6.0633052483884775,4.8518392437680955,7.740179787167597,True
E2 insurance crash day,VIX,4197,53,0.9433734610621403,0.9082428088132037,0.9658475087497571,0.19847510126280676,0.9433962264150944,0.9620207100082735,4.847059927856812,3.8548573853913166,6.316502009758702,True
E2 insurance crash day,TS,3387,23,0.9381882334694721,0.8755309686182812,0.9752072709690729,0.1975199291408326,0.8695652173913043,0.9104276156291597,4.6092949688131,3.5621473701852553,5.859076158674314,True
E2 insurance crash day,DD,6337,62,0.8762292764426166,0.817215261605032,0.9205129597594026,0.19173110304560517,0.7096774193548387,0.7839682560287198,4.088894517246088,3.0916456236045136,5.162835779395447,True
E3 20-session run start,RV21,6300,65,0.7594102769724261,0.5822014509754947,0.9034015055970801,0.15285714285714286,0.49230769230769234,0.465808078465194,3.0473425693984653,1.0727724165155654,5.397296605971091,True
E3 20-session run start,RV5,6315,65,0.78712,0.596141606154523,0.9367409001533331,0.14615993665874902,0.6307692307692307,0.6069644375907073,4.152741520460798,1.7733944012003522,6.649071442693327,True
E3 20-session run start,HAR,6046,65,0.7972772754749012,0.6312316611560156,0.939262360572032,0.14935494541845848,0.6461538461538462,0.6278450784858657,4.203711344989529,2.1164589483364327,6.5417838640256685,True
E3 20-session run start,VIX,4197,54,0.8044313925318028,0.611110667805954,0.948757087401134,0.19847510126280676,0.7037037037037037,0.6867504190843101,3.460133864221908,1.6710915113844358,5.39524618320795,True
E3 20-session run start,TS,3387,24,0.834101496679552,0.7150261330372772,0.9731471980478106,0.1975199291408326,0.5416666666666666,0.508159879745301,2.572701812701546,1.035837163698688,4.878167645665627,True
E3 20-session run start,DD,6318,65,0.7515051236944728,0.5591841958601471,0.9234841632624715,0.19230769230769232,0.6615384615384615,0.6305599357690431,3.278911665999024,1.4210452600604275,5.3886837554847915,True
