book,sample,family,rule,n_stopped,mean_at_stop,mean_counterfactual_1530,mean_difference,sum_difference,n_helped,mean_helped_at_stop,mean_helped_counterfactual,sum_helped,n_hurt,mean_hurt_at_stop,mean_hurt_counterfactual,sum_hurt,n_tied
crossed,whole,reference,always stop at 15:00 (the exit-clock ladder rung),865,0.029493946659587923,0.04590784013473822,-0.016413893475150293,-14.198017856005002,251,-0.00764336267447314,-0.10374022632952716,24.120312777418558,614,0.04467548516585718,0.10708318978055355,-38.318330633423564,0
crossed,whole,move_stop,buy back when |S_t - S_11:00| / S_11:00 >= 0.50 m_11,657,-0.06328311792471147,-0.026229814444065726,-0.03705330348064575,-24.34402038678426,207,-0.06646609328247167,-0.2543443820042136,38.89080576540058,450,-0.06181894926014179,0.0787028866336023,-63.23482615218484,0
crossed,whole,move_stop,buy back when |S_t - S_11:00| / S_11:00 >= 0.75 m_11,394,-0.16838196198339986,-0.13374022656988263,-0.03464173541351725,-13.648843752925796,118,-0.17581106899272866,-0.31043607868258016,15.885751143402468,276,-0.165205749566368,-0.05819634776807718,-29.534594896328265,0
crossed,whole,move_stop,buy back when |S_t - S_11:00| / S_11:00 >= 1.00 m_11,234,-0.2728472255762621,-0.2350966125154385,-0.03775061306082361,-8.833643456232725,60,-0.3452080026944805,-0.4464178979463209,6.072593715110426,174,-0.2478952334665316,-0.1622272037461687,-14.90623717134315,0
crossed,whole,move_stop,buy back when |S_t - S_11:00| / S_11:00 >= 1.25 m_11,129,-0.34754211733800644,-0.3403021258742992,-0.007239991463707173,-0.9339588988182252,38,-0.4537134250600873,-0.5350862119249498,3.0921659008647713,91,-0.30320684598153314,-0.258963716314687,-4.0261247996829965,0
crossed,whole,move_stop,buy back when |S_t - S_11:00| / S_11:00 >= 1.50 m_11,89,-0.4422126910318087,-0.4369389697912656,-0.005273721240543135,-0.469361190408339,32,-0.517235641575414,-0.5910175119380264,2.3610198516035985,57,-0.4000945433582058,-0.35043873560361044,-2.830381042011937,0
crossed,whole,move_stop,buy back when |S_t - S_11:00| / S_11:00 >= 2.00 m_11,30,-0.7126226486203471,-0.7113992378267227,-0.0012234107936242105,-0.03670232380872632,14,-0.7726814982779766,-0.8390796938253826,0.9295747376636854,16,-0.6600711551699211,-0.5996788388278953,-0.9662770614724118,0
crossed,whole,move_stop_timed,buy back when |S_t - S_11:00| / S_11:00 >= 0.50 m_11 sqrt(hours elapsed / 5),797,-0.02470603294552399,0.02106501911485237,-0.045771052060376356,-36.479528492119954,260,-0.025959105970623057,-0.24648210059590633,57.33597860257365,537,-0.024099330922198552,0.15060366180535004,-93.8155070946936,0
crossed,whole,move_stop_timed,buy back when |S_t - S_11:00| / S_11:00 >= 0.75 m_11 sqrt(hours elapsed / 5),634,-0.07699889694171251,-0.03324410773468575,-0.04375478920702677,-27.740536357254975,206,-0.0717224858236805,-0.27311237750355455,41.48631768605405,428,-0.07953847799384943,0.08220650808864828,-69.22685404330902,0
crossed,whole,move_stop_timed,buy back when |S_t - S_11:00| / S_11:00 >= 1.00 m_11 sqrt(hours elapsed / 5),451,-0.14950923077602232,-0.10893431461088225,-0.040574916165140064,-18.299287190478168,154,-0.1452146660445839,-0.32072757699832843,27.028988286876654,297,-0.15173604211824965,0.0008844140344601929,-45.32827547735482,0
crossed,whole,move_stop_timed,buy back when |S_t - S_11:00| / S_11:00 >= 1.25 m_11 sqrt(hours elapsed / 5),314,-0.2220698070688564,-0.17170158121926532,-0.0503682258495911,-15.815622916771606,98,-0.23723408955351258,-0.3872867977063829,14.705165398981295,216,-0.2151897159415587,-0.07388977003529529,-30.520788315752903,0
crossed,whole,move_stop_timed,buy back when |S_t - S_11:00| / S_11:00 >= 1.50 m_11 sqrt(hours elapsed / 5),214,-0.2984647229700794,-0.24772317988860806,-0.050741543081471344,-10.858690219434868,62,-0.34796255111701696,-0.48520922890995893,8.5092940231624,152,-0.2782748193838286,-0.15085387041937284,-19.367984242597267,0
crossed,whole,move_stop_timed,buy back when |S_t - S_11:00| / S_11:00 >= 2.00 m_11 sqrt(hours elapsed / 5),101,-0.4499527043155761,-0.42059426160630703,-0.02935844270926897,-2.965202713636166,34,-0.47652754590948326,-0.5809038306996799,3.5487936828666884,67,-0.43646696380523503,-0.33924313699175956,-6.513996396502853,0
crossed,whole,loss_stop,buy back when the mark-to-market day loss exceeds 0.25 entry premia,142,-0.48866177052469667,-0.4329310446048141,-0.05573072591988268,-7.91376308062334,45,-0.48902620640602906,-0.6914750763451394,9.110199147259966,97,-0.48849270233232606,-0.31298793709641576,-17.02396222788331,0
crossed,whole,loss_stop,buy back when the mark-to-market day loss exceeds 0.50 entry premia,52,-0.7681207440289859,-0.7424352724190674,-0.025685471609918756,-1.3356445237157752,17,-0.7537539819780769,-1.0506402191725592,5.047066032306201,35,-0.7750988855965706,-0.5927357268530855,-6.382710556021976,0
crossed,whole,loss_stop,buy back when the mark-to-market day loss exceeds 0.75 entry premia,21,-1.060506689416032,-1.0653281013889098,0.004821411972877961,0.10124965143043718,8,-1.1126453422816691,-1.3796155832897044,2.1357619280642806,13,-1.0284213645756397,-0.8719204202191903,-2.034512276633844,0
crossed,whole,loss_stop,buy back when the mark-to-market day loss exceeds 1.00 entry premia,9,-1.3877776640405783,-1.378867500467572,-0.00891016357300641,-0.08019147215705769,4,-1.4667727623723985,-1.6294881911782586,0.6508617152234404,5,-1.3245815853751224,-1.1783709478990225,-0.7310531873804981,0
crossed,whole,loss_stop,buy back when the mark-to-market day loss exceeds 1.50 entry premia,3,-1.8142892867708376,-1.8585312382624009,0.04424195149156337,0.1327258544746901,2,-1.8368451210464412,-1.9140579014440369,0.15442556079519099,1,-1.76917761821963,-1.747477911899129,-0.02169970632050089,0
crossed,whole,signal_cross,buy back when the window-matched signal of blk2 turns positive at a stamp,695,-0.01282437904834013,0.02708966084970915,-0.03991403989804927,-27.740257729144243,244,-0.005314083440582925,-0.2144904338409172,51.039029497681554,451,-0.016887598844998127,0.15778931296614557,-78.7792872268258,0
crossed,daily_era,reference,always stop at 15:00 (the exit-clock ladder rung),489,0.036060613016007145,0.053293323690799435,-0.017232710674792286,-8.426795519973428,132,0.0005711097047328432,-0.10001374610138185,13.27720096640714,357,0.049182782307570755,0.10997829067278243,-21.703996486380568,0
crossed,daily_era,move_stop,buy back when |S_t - S_11:00| / S_11:00 >= 0.50 m_11,387,-0.04572083172506228,-0.01345025753816807,-0.03227057418689421,-12.48871221032806,126,-0.0456040654511851,-0.23730462050720144,24.154269937058057,261,-0.04577720165038229,0.09461736596412389,-36.64298214738612,0
crossed,daily_era,move_stop,buy back when |S_t - S_11:00| / S_11:00 >= 0.75 m_11,238,-0.159557966632093,-0.12156278969880957,-0.03799517693328345,-9.04285211012146,67,-0.2090566503573157,-0.33748284256699895,8.604554878048772,171,-0.14016374552338004,-0.03696253506624419,-17.647406988170232,0
crossed,daily_era,move_stop,buy back when |S_t - S_11:00| / S_11:00 >= 1.00 m_11,148,-0.24829340183881585,-0.22024674526704993,-0.028046656571765968,-4.150905172621363,42,-0.37840730950755763,-0.4667314589401465,3.7096142761687325,106,-0.19673883464931438,-0.12258299079280408,-7.860519448790095,0
crossed,daily_era,move_stop,buy back when |S_t - S_11:00| / S_11:00 >= 1.25 m_11,85,-0.33030288151035336,-0.3303631713825631,6.0289872209746395e-05,0.005124639137828443,27,-0.4786667663142476,-0.5481082210697741,1.8749192783992183,58,-0.26123693513612684,-0.22899909652817182,-1.86979463926139,0
crossed,daily_era,move_stop,buy back when |S_t - S_11:00| / S_11:00 >= 1.50 m_11,61,-0.4252086880519492,-0.42252360469732053,-0.002685083354628654,-0.1637900846323479,24,-0.5533434221306749,-0.5983320260459393,1.0797264939663431,37,-0.3420942659468299,-0.3084857097684869,-1.2435165785986912,0
crossed,daily_era,move_stop,buy back when |S_t - S_11:00| / S_11:00 >= 2.00 m_11,18,-0.7449106448266947,-0.7448993800212613,-1.1264805433181597e-05,-0.00020276649779726874,8,-0.865895767546333,-0.8977930613888891,0.2551783507404489,10,-0.6481225466509839,-0.6225844349271593,-0.2553811172382462,0
crossed,daily_era,move_stop_timed,buy back when |S_t - S_11:00| / S_11:00 >= 0.50 m_11 sqrt(hours elapsed / 5),452,-0.015264838087183001,0.029760993417509526,-0.04502583150469253,-20.351675840121025,152,-0.014924039865548163,-0.23811887670478377,33.925615199563815,300,-0.01543750918614465,0.16548679427947144,-54.27729103968484,0
crossed,daily_era,move_stop_timed,buy back when |S_t - S_11:00| / S_11:00 >= 0.75 m_11 sqrt(hours elapsed / 5),364,-0.07110844669337316,-0.02424337937079331,-0.046865067322579834,-17.05888450541906,119,-0.07047091337149744,-0.266930028560432,23.37863470748322,245,-0.07141810573542709,0.0936329930927455,-40.43751921290229,0
crossed,daily_era,move_stop_timed,buy back when |S_t - S_11:00| / S_11:00 >= 1.00 m_11 sqrt(hours elapsed / 5),269,-0.14195172864086497,-0.09596638692561317,-0.045985341715251815,-12.370056921402739,91,-0.1509861703465922,-0.3125630273620463,14.703493988406322,178,-0.13733299720703815,0.014765603409866698,-27.07355090980906,0
crossed,daily_era,move_stop_timed,buy back when |S_t - S_11:00| / S_11:00 >= 1.25 m_11 sqrt(hours elapsed / 5),193,-0.21585761989700214,-0.1558852987934186,-0.05997232110358353,-11.574657972991622,60,-0.2808161798802521,-0.396219900198183,6.924223219075853,133,-0.18655300637072397,-0.047463674099539936,-18.498881192067476,0
crossed,daily_era,move_stop_timed,buy back when |S_t - S_11:00| / S_11:00 >= 1.50 m_11 sqrt(hours elapsed / 5),133,-0.28524983839063833,-0.23254344131747082,-0.052706397073167544,-7.009950810731283,40,-0.38173075511613863,-0.4907673148551478,4.3614623895603675,93,-0.2437526699065522,-0.12147940968836243,-11.371413200291652,0
crossed,daily_era,move_stop_timed,buy back when |S_t - S_11:00| / S_11:00 >= 2.00 m_11 sqrt(hours elapsed / 5),66,-0.4240405574034708,-0.3990733924159737,-0.02496716498749717,-1.6478328891748133,25,-0.48322611771196056,-0.5635526219527008,2.008162606018505,41,-0.3879518011178063,-0.29878117928382303,-3.6559954951933182,0
crossed,daily_era,loss_stop,buy back when the mark-to-market day loss exceeds 0.25 entry premia,78,-0.4932600282464726,-0.4391355083889809,-0.05412451985749167,-4.2217125488843505,23,-0.5141581868453062,-0.7430167292275508,5.263746474791626,55,-0.48452079828696043,-0.31205790694739716,-9.485459023675977,0
crossed,daily_era,loss_stop,buy back when the mark-to-market day loss exceeds 0.50 entry premia,29,-0.774163400558333,-0.7715991956328465,-0.0025642049254863877,-0.07436194283910524,11,-0.7753236757545717,-1.1004886696754654,3.5768149331298336,18,-0.7734543434939648,-0.5706111837179128,-3.6511768759689387,0
crossed,daily_era,loss_stop,buy back when the mark-to-market day loss exceeds 0.75 entry premia,13,-1.135033714512103,-1.1606349987957671,0.025601284283664347,0.3328166956876365,5,-1.2698257333843368,-1.5106179999253502,1.2039613327050676,8,-1.050788702716957,-0.9418956230897779,-0.871144637017431,0
crossed,daily_era,loss_stop,buy back when the mark-to-market day loss exceeds 1.00 entry premia,7,-1.4247595692076362,-1.502405698652974,0.07764612944533744,0.5435229061173621,4,-1.4667727623723985,-1.6294881911782586,0.6508617152234404,3,-1.3687419783212873,-1.3329623752859276,-0.10733880910607829,0
crossed,daily_era,loss_stop,buy back when the mark-to-market day loss exceeds 1.50 entry premia,3,-1.8142892867708376,-1.8585312382624009,0.04424195149156337,0.1327258544746901,2,-1.8368451210464412,-1.9140579014440369,0.15442556079519099,1,-1.76917761821963,-1.747477911899129,-0.02169970632050089,0
crossed,daily_era,signal_cross,buy back when the window-matched signal of blk2 turns positive at a stamp,432,0.005442353487510666,0.047139184091895533,-0.04169683060438486,-18.013030821094258,151,0.019726566000808864,-0.20102189485446842,33.33301758914688,281,-0.002233504482268794,0.18049264644385624,-51.34604841024114,0
mid,whole,reference,always stop at 15:00 (the exit-clock ladder rung),865,0.06513946172213046,0.08487953095628267,-0.019740069234152204,-17.075159887541655,237,0.03820426830476411,-0.05217811807193046,21.420625571276616,628,0.07530449490670982,0.13660351633794912,-38.49578545881826,0
