book,sample,family,param,rule,n_trend_days,n_stopped,frac_stopped,mean_rule,mean_book,mean_difference,Sharpe_rule,Sharpe_book,worst_rule,worst_book
crossed,whole,reference,,"never stop (the book of record, buy back at 15:30)",289,0,0.0,-0.03720762561642831,-0.03720762561642831,0.0,-1.6960726358632812,-1.6960726358632812,-2.2028675866604797,-2.2028675866604797
crossed,whole,reference,,always stop at 15:00 (the exit-clock ladder rung),289,289,1.0,-0.033305690734323774,-0.03720762561642831,0.003901934882104546,-1.5748967726716792,-1.6960726358632812,-2.1209475361859194,-2.2028675866604797
crossed,whole,move_stop,0.5,buy back when |S_t - S_11:00| / S_11:00 >= 0.50 m_11,289,276,0.9550173010380623,-0.025597332707861166,-0.03720762561642831,0.011610292908567153,-1.742934081120406,-1.6960726358632812,-1.3022020886906793,-2.2028675866604797
crossed,whole,move_stop,0.75,buy back when |S_t - S_11:00| / S_11:00 >= 0.75 m_11,289,212,0.7335640138408305,-0.04122235836760004,-0.03720762561642831,-0.004014732751171724,-2.0700690512095723,-1.6960726358632812,-2.095626948838982,-2.2028675866604797
crossed,whole,move_stop,1.0,buy back when |S_t - S_11:00| / S_11:00 >= 1.00 m_11,289,149,0.5155709342560554,-0.04609518604061249,-0.03720762561642831,-0.008887560424184182,-2.112245416196211,-1.6960726358632812,-2.095626948838982,-2.2028675866604797
crossed,whole,move_stop,1.25,buy back when |S_t - S_11:00| / S_11:00 >= 1.25 m_11,289,99,0.34256055363321797,-0.04087372369821677,-0.03720762561642831,-0.0036660980817884476,-1.8735955311942514,-1.6960726358632812,-2.095626948838982,-2.2028675866604797
crossed,whole,move_stop,1.5,buy back when |S_t - S_11:00| / S_11:00 >= 1.50 m_11,289,72,0.2491349480968858,-0.03863476135548449,-0.03720762561642831,-0.0014271357390561801,-1.7718279990988466,-1.6960726358632812,-2.095626948838982,-2.2028675866604797
crossed,whole,move_stop,2.0,buy back when |S_t - S_11:00| / S_11:00 >= 2.00 m_11,289,26,0.08996539792387544,-0.037344033817039594,-0.03720762561642831,-0.0001364082006112748,-1.7057111967841037,-1.6960726358632812,-2.095626948838982,-2.2028675866604797
crossed,whole,move_stop_timed,0.5,buy back when |S_t - S_11:00| / S_11:00 >= 0.50 m_11 sqrt(hours elapsed / 5),289,285,0.986159169550173,-0.022534244551323006,-0.03720762561642831,0.014673381065105306,-1.7209334303670378,-1.6960726358632812,-1.3022020886906793,-2.2028675866604797
crossed,whole,move_stop_timed,0.75,buy back when |S_t - S_11:00| / S_11:00 >= 0.75 m_11 sqrt(hours elapsed / 5),289,256,0.8858131487889274,-0.030443914325577956,-0.03720762561642831,0.006763711290850358,-1.941901183042792,-1.6960726358632812,-1.76917761821963,-2.2028675866604797
crossed,whole,move_stop_timed,1.0,buy back when |S_t - S_11:00| / S_11:00 >= 1.00 m_11 sqrt(hours elapsed / 5),289,205,0.7093425605536332,-0.03741036282645119,-0.03720762561642831,-0.00020273721002287619,-1.9820425463622173,-1.6960726358632812,-2.095626948838982,-2.2028675866604797
