book,sample,family,param,rule,n_days,n_stopped,frac_stopped,mean_stop_clock_et,mean_hours_held,mean_calendar,sd,Sharpe_ann,t,MaxDD,worst_day,worst_date,mean_stopped_under_rule,mean_stopped_under_book,saved_per_stopped_day,mean_not_stopped
crossed,whole,reference,,"never stop (the book of record, buy back at 15:30)",865,0,0.0,,,0.04590784013473822,0.3235290821279116,2.252546709416487,4.1733190592707805,-6.070172381929874,-2.2028675866604797,2024-04-04,,,,0.04590784013473822
crossed,whole,reference,,always stop at 15:00 (the exit-clock ladder rung),865,865,1.0,15.0,4.0,0.029493946659587923,0.29987709783322564,1.5613125898624975,2.892661697763635,-7.235412938585284,-2.1209475361859194,2024-04-04,0.029493946659587923,0.04590784013473822,-0.016413893475150293,
crossed,whole,move_stop,0.5,buy back when |S_t - S_11:00| / S_11:00 >= 0.50 m_11,865,657,0.7595375722543353,13.070776255707763,2.0707762557077625,0.017764463965045434,0.2643693150799745,1.0666976342166001,1.9762829106919495,-8.088710375764835,-1.4184922085628389,2021-11-22,-0.06328311792471147,-0.026229814444065726,-0.03705330348064575,0.2737657202225949
crossed,whole,move_stop,0.75,buy back when |S_t - S_11:00| / S_11:00 >= 0.75 m_11,865,394,0.4554913294797688,13.384517766497462,2.3845177664974617,0.030128830015748856,0.3140413436157722,1.5229852973601836,2.821652284453138,-7.775223384618437,-2.095626948838982,2024-04-04,-0.16838196198339986,-0.13374022656988263,-0.03464173541351725,0.19618668998955904
crossed,whole,move_stop,1.0,buy back when |S_t - S_11:00| / S_11:00 >= 1.00 m_11,865,234,0.2705202312138728,13.649572649572649,2.6495726495726495,0.03569553556105877,0.3288236032563938,1.7232615130037066,3.1927063204781025,-7.13660982991974,-2.095626948838982,2024-04-04,-0.2728472255762621,-0.2350966125154385,-0.03775061306082361,0.15011551354225225
crossed,whole,move_stop,1.25,buy back when |S_t - S_11:00| / S_11:00 >= 1.25 m_11,865,129,0.14913294797687862,13.837209302325581,2.8372093023255816,0.044828118864428126,0.32251851099793777,2.2064604085725494,4.08793444243719,-6.736569628801396,-2.095626948838982,2024-04-04,-0.34754211733800644,-0.3403021258742992,-0.007239991463707173,0.11359953254664834
crossed,whole,move_stop,1.5,buy back when |S_t - S_11:00| / S_11:00 >= 1.50 m_11,865,89,0.10289017341040463,14.02808988764045,3.0280898876404496,0.045365226041780594,0.32292345309931614,2.230097042345235,4.131726304247729,-6.453792452289775,-2.095626948838982,2024-04-04,-0.4422126910318087,-0.4369389697912656,-0.005273721240543135,0.10128588921130308
crossed,whole,move_stop,2.0,buy back when |S_t - S_11:00| / S_11:00 >= 2.00 m_11,865,30,0.03468208092485549,14.3,3.3,0.04586540970258939,0.3231719333237447,2.2529518564022752,4.174069679726519,-6.693245029227329,-2.095626948838982,2024-04-04,-0.7126226486203471,-0.7113992378267227,-0.0012234107936242105,0.0731164776662877
crossed,whole,move_stop_timed,0.5,buy back when |S_t - S_11:00| / S_11:00 >= 0.50 m_11 sqrt(hours elapsed / 5),865,797,0.9213872832369943,12.48870765370138,1.4887076537013801,0.0037349748259290173,0.21460573688745194,0.2762782026002604,0.5118637867764437,-8.153641887503312,-1.4184922085628389,2021-11-22,-0.02470603294552399,0.02106501911485237,-0.045771052060376356,0.3370803159119298
crossed,whole,move_stop_timed,0.75,buy back when |S_t - S_11:00| / S_11:00 >= 0.75 m_11 sqrt(hours elapsed / 5),865,634,0.7329479768786127,12.591482649842272,1.5914826498422714,0.013837855906697786,0.2612286439139011,0.8409076016840349,1.5579591342204635,-7.180816949655909,-1.76917761821963,2023-12-20,-0.07699889694171251,-0.03324410773468575,-0.04375478920702677,0.26314738536943433
crossed,whole,move_stop_timed,1.0,buy back when |S_t - S_11:00| / S_11:00 >= 1.00 m_11 sqrt(hours elapsed / 5),865,451,0.5213872832369942,12.660753880266075,1.6607538802660753,0.02475259482782704,0.2982483726462722,1.3174766313775401,2.440904027821936,-7.088185604753736,-2.095626948838982,2024-04-04,-0.14950923077602232,-0.10893431461088225,-0.040574916165140064,0.21458854494216537
crossed,whole,move_stop_timed,1.25,buy back when |S_t - S_11:00| / S_11:00 >= 1.25 m_11 sqrt(hours elapsed / 5),865,314,0.3630057803468208,12.76592356687898,1.765923566878981,0.02762388300552249,0.3193570312169373,1.3731200669054786,2.5439952574249864,-6.184996989898025,-2.095626948838982,2024-04-04,-0.2220698070688564,-0.17170158121926532,-0.0503682258495911,0.16991756482649342
crossed,whole,move_stop_timed,1.5,buy back when |S_t - S_11:00| / S_11:00 >= 1.50 m_11 sqrt(hours elapsed / 5),865,214,0.24739884393063583,12.794392523364486,1.794392523364486,0.03335444103712565,0.32465031586474663,1.630940463472091,3.021662055792475,-7.369420160960994,-2.095626948838982,2024-04-04,-0.2984647229700794,-0.24772317988860806,-0.050741543081471344,0.14243170846806555
crossed,whole,move_stop_timed,2.0,buy back when |S_t - S_11:00| / S_11:00 >= 2.00 m_11 sqrt(hours elapsed / 5),865,101,0.11676300578034682,12.965346534653465,1.9653465346534653,0.04247986011897386,0.32507905686113087,2.0744088534431935,3.843281015485414,-7.018227096026566,-2.095626948838982,2024-04-04,-0.4499527043155761,-0.42059426160630703,-0.02935844270926897,0.10757892950102824
crossed,whole,loss_stop,0.25,buy back when the mark-to-market day loss exceeds 0.25 entry premia,865,142,0.16416184971098266,13.200704225352112,2.2007042253521125,0.03675898108199447,0.3185333174371442,1.8319299815839816,3.3940376354612702,-7.3286187669912,-1.76917761821963,2023-12-20,-0.48866177052469667,-0.4329310446048141,-0.05573072591988268,0.13995365152203618
crossed,whole,loss_stop,0.5,buy back when the mark-to-market day loss exceeds 0.50 entry premia,865,52,0.06011560693641618,13.23076923076923,2.230769230769231,0.04436374241945986,0.31691431005715637,2.222217664746955,4.117128091225717,-7.255707848032834,-1.76917761821963,2023-12-20,-0.7681207440289859,-0.7424352724190674,-0.025685471609918756,0.0963307698429767
crossed,whole,loss_stop,0.75,buy back when the mark-to-market day loss exceeds 0.75 entry premia,865,21,0.024277456647398842,13.5,2.5,0.04602489175488901,0.32049525744913887,2.2796671377534103,4.223565387127568,-6.586021271002519,-2.095626948838982,2024-04-04,-1.060506689416032,-1.0653281013889098,0.004821411972877961,0.07355707564658254
crossed,whole,loss_stop,1.0,buy back when the mark-to-market day loss exceeds 1.00 entry premia,865,9,0.010404624277456647,13.555555555555555,2.5555555555555554,0.0458151332305104,0.3228666720372726,2.252609996188675,4.173436311397658,-6.287803062546375,-2.095626948838982,2024-04-04,-1.3877776640405783,-1.378867500467572,-0.00891016357300641,0.06088795469714568
crossed,whole,loss_stop,1.5,buy back when the mark-to-market day loss exceeds 1.50 entry premia,865,3,0.003468208092485549,14.666666666666666,3.6666666666666665,0.04606128042892861,0.32254734127572926,2.2669545363880217,4.2000126051367195,-6.070172381929874,-2.095626948838982,2024-04-04,-1.8142892867708376,-1.8585312382624009,0.04424195149156337,0.05253581836581875
crossed,whole,signal_cross,0.0,buy back when the window-matched signal of blk2 turns positive at a stamp,865,695,0.8034682080924855,12.592805755395684,1.5928057553956834,0.01383817802012059,0.24126909935759,0.9104948226763664,1.686884174680208,-9.920838502712364,-2.2028675866604797,2024-04-04,-0.01282437904834013,0.02708966084970915,-0.03991403989804927,0.12284098485882768
crossed,daily_era,reference,,"never stop (the book of record, buy back at 15:30)",489,0,0.0,,,0.053293323690799435,0.33663382173958073,2.5131321677178398,3.5008176369177386,-2.4206059081086444,-2.2028675866604797,2024-04-04,,,,0.053293323690799435
crossed,daily_era,reference,,always stop at 15:00 (the exit-clock ladder rung),489,489,1.0,15.0,4.0,0.036060613016007145,0.32033549494196395,1.7870154698063474,2.4893299900832315,-3.3298175083629666,-2.1209475361859194,2024-04-04,0.036060613016007145,0.053293323690799435,-0.017232710674792286,
crossed,daily_era,move_stop,0.5,buy back when |S_t - S_11:00| / S_11:00 >= 0.50 m_11,489,387,0.7914110429447853,13.0968992248062,2.0968992248062017,0.02775403491712242,0.26011423430132163,1.6938005980306163,2.3594807639552475,-3.435126010816699,-1.3022020886906793,2022-10-13,-0.04572083172506228,-0.01345025753816807,-0.03227057418689421,0.30652632305952915
crossed,daily_era,move_stop,0.75,buy back when |S_t - S_11:00| / S_11:00 >= 0.75 m_11,489,238,0.4867075664621677,13.384453781512605,2.384453781512605,0.034800783588301555,0.32440658481341256,1.7029411198502367,2.3722136000582594,-3.343575785305675,-2.095626948838982,2024-04-04,-0.159557966632093,-0.12156278969880957,-0.03799517693328345,0.2190931443550502
