book,sample,day_set,block,family,param,rule,n_placebo,sharpe_rule,placebo_mean,placebo_sd,placebo_q05,placebo_q50,placebo_q95,pct_rank,p_value
crossed,whole,full,fixed_rule,move_stop,0.5,buy back when |S_t - S_11:00| / S_11:00 >= 0.50 m_11,2000,1.0666976342166001,0.7865332161654462,0.29981069234816055,0.30604258423725195,0.7860582814358084,1.2834548322478099,0.8255,0.17491254372813594
crossed,whole,full,fixed_rule,move_stop,0.75,buy back when |S_t - S_11:00| / S_11:00 >= 0.75 m_11,2000,1.5229852973601836,1.5029421372376095,0.2648620570167669,1.0849745018586674,1.492294595313208,1.9570463710904735,0.547,0.45327336331834084
crossed,whole,full,fixed_rule,move_stop,1.0,buy back when |S_t - S_11:00| / S_11:00 >= 1.00 m_11,2000,1.7232615130037066,1.8704055653075746,0.19736751679943101,1.5733149571700085,1.8567144757004925,2.21335942282589,0.238,0.7621189405297352
crossed,whole,full,fixed_rule,move_stop,1.25,buy back when |S_t - S_11:00| / S_11:00 >= 1.25 m_11,2000,2.2064604085725494,2.0638630130732816,0.14755213487594038,1.842055406304733,2.0498076950862893,2.335195645538264,0.828,0.1724137931034483
crossed,whole,full,fixed_rule,move_stop,1.5,buy back when |S_t - S_11:00| / S_11:00 >= 1.50 m_11,2000,2.230097042345235,2.120985339565691,0.10900305989311602,1.957813523790019,2.115187268221782,2.3175114775535035,0.8515,0.1489255372313843
crossed,whole,full,fixed_rule,move_stop,2.0,buy back when |S_t - S_11:00| / S_11:00 >= 2.00 m_11,2000,2.2529518564022752,2.21619854676333,0.055829283394879865,2.1355154424310943,2.2106696313845307,2.316001973220852,0.7755,0.22488755622188905
crossed,whole,full,fixed_rule,move_stop_timed,0.5,buy back when |S_t - S_11:00| / S_11:00 >= 0.50 m_11 sqrt(hours elapsed / 5),2000,0.2762782026002604,-0.057882494696661596,0.26751780921430185,-0.5110016643369153,-0.05783016264040587,0.38153412931678876,0.891,0.10944527736131934
crossed,whole,full,fixed_rule,move_stop_timed,0.75,buy back when |S_t - S_11:00| / S_11:00 >= 0.75 m_11 sqrt(hours elapsed / 5),2000,0.8409076016840349,0.5750880905855288,0.32358424589972135,0.06514129618186795,0.5707253784867556,1.1043863124018172,0.7925,0.20789605197401298
crossed,whole,full,fixed_rule,move_stop_timed,1.0,buy back when |S_t - S_11:00| / S_11:00 >= 1.00 m_11 sqrt(hours elapsed / 5),2000,1.3174766313775401,1.1542970051886647,0.3037289206922569,0.6741644820285808,1.1429502692129594,1.6870091374172904,0.714,0.2863568215892054
crossed,whole,full,fixed_rule,move_stop_timed,1.25,buy back when |S_t - S_11:00| / S_11:00 >= 1.25 m_11 sqrt(hours elapsed / 5),2000,1.3731200669054786,1.5811660079473135,0.2637848497477969,1.1639562865426478,1.5706446419445474,2.0361086320275783,0.215,0.7851074462768616
crossed,whole,full,fixed_rule,move_stop_timed,1.5,buy back when |S_t - S_11:00| / S_11:00 >= 1.50 m_11 sqrt(hours elapsed / 5),2000,1.630940463472091,1.8295682689241153,0.23224883826191606,1.4650379136575267,1.8197477952774537,2.2193413064519767,0.2,0.8000999500249875
crossed,whole,full,fixed_rule,move_stop_timed,2.0,buy back when |S_t - S_11:00| / S_11:00 >= 2.00 m_11 sqrt(hours elapsed / 5),2000,2.0744088534431935,2.058794324222895,0.14927718323853753,1.82957080148345,2.0472155641706524,2.3185185200772898,0.569,0.4312843578210895
crossed,whole,full,fixed_rule,loss_stop,0.25,buy back when the mark-to-market day loss exceeds 0.25 entry premia,2000,1.8319299815839816,1.9759565742306968,0.17370664101122288,1.7041149442765915,1.9709323616084653,2.268561830921267,0.2125,0.7876061969015492
crossed,whole,full,fixed_rule,loss_stop,0.5,buy back when the mark-to-market day loss exceeds 0.50 entry premia,2000,2.222217664746955,2.171051797339318,0.10799013274489773,2.0144126977715437,2.1609041154606823,2.3712840287818806,0.721,0.27936031984008
crossed,whole,full,fixed_rule,loss_stop,0.75,buy back when the mark-to-market day loss exceeds 0.75 entry premia,2000,2.2796671377534103,2.211928342932187,0.05880365632603948,2.128579311970622,2.204890976869156,2.3203862615354085,0.881,0.11944027986006997
crossed,whole,full,fixed_rule,loss_stop,1.0,buy back when the mark-to-market day loss exceeds 1.00 entry premia,2000,2.252609996188675,2.2323926021241736,0.03697379359258817,2.1802799001710977,2.228381278640801,2.2935445961963543,0.729,0.27136431784107945
crossed,whole,full,fixed_rule,loss_stop,1.5,buy back when the mark-to-market day loss exceeds 1.50 entry premia,2000,2.2669545363880217,2.2524502649912703,0.009000042737244113,2.237466912791027,2.2548886023303,2.2669545363880217,0.9095,0.09095452273863068
crossed,whole,full,fixed_rule,signal_cross,0.0,buy back when the window-matched signal of blk2 turns positive at a stamp,2000,0.9104948226763664,0.3054374967002764,0.30092920497689735,-0.1846346728338713,0.29875594256934934,0.8001224084146403,0.9795,0.020989505247376312
crossed,whole,oos,fixed_rule,move_stop,0.5,buy back when |S_t - S_11:00| / S_11:00 >= 0.50 m_11,2000,1.0506940681577583,0.8310801271800728,0.3123793233474981,0.3087106334647269,0.8295947315347193,1.3732749192126472,0.764,0.23638180909545228
crossed,whole,oos,fixed_rule,move_stop,0.75,buy back when |S_t - S_11:00| / S_11:00 >= 0.75 m_11,2000,1.430788672855991,1.5113881205859347,0.28182565900955914,1.0805272623193753,1.490200743092076,1.9986082528862603,0.4105,0.5897051474262869
crossed,whole,oos,fixed_rule,move_stop,1.0,buy back when |S_t - S_11:00| / S_11:00 >= 1.00 m_11,2000,1.6565555281847621,1.8703342282106301,0.21293654290402178,1.5421192741964993,1.8561374221373073,2.244155990393861,0.16,0.84007996001999
crossed,whole,oos,fixed_rule,move_stop,1.25,buy back when |S_t - S_11:00| / S_11:00 >= 1.25 m_11,2000,2.1862249836563383,2.046658277710492,0.1518676327044656,1.8189623999205413,2.0315150464674097,2.3168305954267256,0.8255,0.17491254372813594
crossed,whole,oos,fixed_rule,move_stop,1.5,buy back when |S_t - S_11:00| / S_11:00 >= 1.50 m_11,2000,2.2080183509364857,2.111354226970584,0.11293512851654994,1.9438734436970517,2.1020814166362314,2.306671983179772,0.8135,0.18690654672663667
crossed,whole,oos,fixed_rule,move_stop,2.0,buy back when |S_t - S_11:00| / S_11:00 >= 2.00 m_11,2000,2.2404177866347528,2.213305047613016,0.06464898180959032,2.126054668939798,2.2056144956184514,2.3271096699818976,0.7225,0.27786106946526734
