book,sample,day_set,block,family,rule,n_placebo,sharpe_rule,placebo_mean,placebo_sd,placebo_q05,placebo_q50,placebo_q95,pct_rank,p_value
exit_crossed_quoted,whole,full,fixed_rule,forecast,"sit out when s_matched(11:00) > 0, baseline (HAR + calendar OLS)",2000,2.5359611172466088,1.676259672922513,0.3899771340147169,1.060216954840869,1.6581535833390673,2.3461986470816814,0.9825,0.017991004497751123
exit_crossed_quoted,whole,full,fixed_rule,forecast,"sit out when s_matched(11:00) > 0, block-diagonal ridge",2000,2.2276167658971744,1.71106863500391,0.37858105550367854,1.1049158194140365,1.6944641648042837,2.350642289473445,0.9065,0.09395302348825588
exit_crossed_quoted,whole,full,fixed_rule,forecast,"sit out when s_matched(11:00) > 0, block-diagonal ridge, without the FOMC columns",2000,2.1471875414400126,1.6588007652242602,0.3820150223021815,1.036075207670341,1.650154863844374,2.279665983393937,0.902,0.09845077461269365
exit_crossed_quoted,whole,full,fixed_rule,forecast,"sit out when s_matched(11:00) > 0, LightGBM",2000,2.1601439112651155,1.6978395656493417,0.3849014405461284,1.088946765264193,1.6825787938320569,2.3516519920000527,0.879,0.12143928035982009
exit_crossed_quoted,whole,full,fixed_rule,forecast,"sit out when s_matched(11:00) > 0, XGBoost",2000,2.3533681174148318,1.694239811017623,0.4002056254803237,1.0559121855618347,1.690812027909847,2.392560757759843,0.942,0.05847076461769116
exit_crossed_quoted,whole,full,fixed_rule,forecast,"sit out when s_matched(11:00) > 0, lasso (causally tuned)",2000,2.199507291360411,1.671080082144808,0.3941045906685356,1.0617029765828432,1.6655480320736742,2.3526404212498684,0.907,0.09345327336331834
exit_crossed_quoted,whole,full,fixed_rule,forecast,"sit out when s_matched(11:00) > 0, lasso (fixed 1e-4)",2000,2.2917053720704597,1.685897973466144,0.39019649792495864,1.0481538232082304,1.6733836896997962,2.3493060158328194,0.9295,0.07096451774112944
exit_crossed_quoted,whole,full,fixed_rule,forecast,"sit out when s_matched(11:00) > 0, elastic net (causally tuned)",2000,2.237211803524461,1.6754678634854285,0.3927859067893078,1.0501974781183743,1.6585668790617971,2.3530006913605526,0.9155,0.08495752123938032
exit_crossed_quoted,whole,full,fixed_rule,implied_level,sit out when the 11:00 implied slice <= its expanding 10% quantile,2000,2.3401286574022273,2.159578957024719,0.18253139432833365,1.8825588908686408,2.14883749499262,2.4735168172369195,0.8435,0.15692153923038482
exit_crossed_quoted,whole,full,fixed_rule,implied_level,sit out when the 11:00 implied slice <= its expanding 20% quantile,2000,1.8602481001011233,2.0049056001403236,0.3000667016922469,1.5132950155717868,1.9981656834775143,2.510332101423738,0.3225,0.6776611694152923
