block,book,sample,family,rule,n_days,n_traded,n_satout,frac_satout,mean_traded,mean_calendar,sd,Sharpe_ann,t,MaxDD,worst_day,worst_date,mean_satout,Sharpe_always_sell,delta_Sharpe,beats_always_sell,modal_pick,modal_pick_share
walk_forward_selected,exit_crossed_quoted,whole,forecast,"forecast: threshold chosen on an expanding window, 5-day embargo",797,550,247,0.3099121706398996,0.047436898021445593,0.032735625987195836,0.2732791215391517,1.90157941564669,3.3817644769743973,-8.057971345109216,-2.202867888740946,2024-04-04,0.044098919926056156,2.2508624400833943,-0.3492830244367042,False,always sell (no skip),0.28732747804265996
walk_forward_selected,exit_crossed_quoted,daily_era,forecast,"forecast: threshold chosen on an expanding window, 5-day embargo",489,289,200,0.40899795501022496,0.06983374537516404,0.04127188632601719,0.2627135949019052,2.4938598415040043,3.473971098410735,-2.202867888740947,-2.202867888740946,2024-04-04,0.029392420363671484,2.5131322639023277,-0.019272422398323386,False,"sit out when s_matched(11:00) > 0, baseline (HAR + calendar OLS)",0.3537832310838446
walk_forward_selected,exit_crossed_quoted,whole,implied_level,"implied_level: threshold chosen on an expanding window, 5-day embargo",797,717,80,0.10037641154328733,0.043785111037457504,0.03939011871249314,0.307966301025411,2.0304128967273494,3.6108816446186207,-5.48871199441525,-2.202867888740946,2024-04-04,0.06986003149592393,2.2508624400833943,-0.22044954335604494,False,sit out when the 11:00 implied slice <= its expanding 10% quantile,0.7904642409033877
walk_forward_selected,exit_crossed_quoted,daily_era,implied_level,"implied_level: threshold chosen on an expanding window, 5-day embargo",489,476,13,0.026584867075664622,0.051530758653643816,0.05016082028452854,0.3347054707273776,2.3790418915494227,3.3140285735411603,-2.420605843818212,-2.202867888740946,2024-04-04,0.11783041284786523,2.5131322639023277,-0.134090372352905,False,sit out when the 11:00 implied slice <= its expanding 10% quantile,0.8282208588957055
walk_forward_selected,exit_crossed_quoted,whole,realized_regime,"realized_regime: threshold chosen on an expanding window, 5-day embargo",797,792,5,0.006273525721455458,0.045611995750613366,0.04532584772206498,0.32690893499219875,2.2009968195937346,3.914247702299835,-6.372747424987491,-2.202867888740946,2024-04-04,0.17160529980903208,2.2508624400833943,-0.0498656204896597,False,always sell (no skip),0.944792973651192
walk_forward_selected,exit_crossed_quoted,daily_era,realized_regime,"realized_regime: threshold chosen on an expanding window, 5-day embargo",489,489,0,0.0,0.05329332614755972,0.05329332614755972,0.3366338243741053,2.5131322639023277,3.50081777090367,-2.420605843818212,-2.202867888740946,2024-04-04,,2.5131322639023277,0.0,False,always sell (no skip),0.9734151329243353
walk_forward_selected,exit_crossed_quoted,whole,calendar,"calendar: threshold chosen on an expanding window, 5-day embargo",797,762,35,0.043914680050188205,0.04686180818104169,0.044803886868197966,0.3229322803116123,2.2024421152559857,3.9168180127949457,-5.981165966666193,-2.202867888740946,2024-04-04,0.03640083713077638,2.2508624400833943,-0.048420324827408656,False,sit out on month-end sessions,0.6951066499372648
walk_forward_selected,exit_crossed_quoted,daily_era,calendar,"calendar: threshold chosen on an expanding window, 5-day embargo",489,477,12,0.024539877300613498,0.05186407890627408,0.050591340773604776,0.3344013761612479,2.4016427393361623,3.3455117750844217,-2.6596623356339006,-2.202867888740946,2024-04-04,0.11010590398866417,2.5131322639023277,-0.11148952456616534,False,sit out on month-end sessions,0.5030674846625767
fixed_rule_oos,exit_crossed_quoted,whole,baseline,always sell (no skip),797,797,0,0.0,0.04640241798435502,0.04640241798435502,0.32725924791954636,2.2508624400833943,4.0029286075550425,-6.070173137912464,-2.202867888740946,2024-04-04,,2.2508624400833943,0.0,False,always sell (no skip),1.0
fixed_rule_oos,exit_crossed_quoted,whole,forecast,"sit out when s_matched(11:00) > 0, baseline (HAR + calendar OLS)",797,453,344,0.4316185696361355,0.06788578817597243,0.038585021384837534,0.24035610675313343,2.548378045278643,4.5320296783366,-3.4901864165812384,-2.202867888740946,2024-04-04,0.0181118171215565,2.2508624400833943,0.2975156051952488,True,"sit out when s_matched(11:00) > 0, baseline (HAR + calendar OLS)",1.0
fixed_rule_oos,exit_crossed_quoted,whole,forecast,"sit out when s_matched(11:00) > 0, block-diagonal ridge",797,457,340,0.42659974905897113,0.06018731810232066,0.0345114233033382,0.24852018799372266,2.2044561656412025,3.9203997953865755,-4.430277194364791,-2.202867888740946,2024-04-04,0.027873890472854136,2.2508624400833943,-0.04640627444219181,False,"sit out when s_matched(11:00) > 0, block-diagonal ridge",1.0
fixed_rule_oos,exit_crossed_quoted,whole,forecast,"sit out when s_matched(11:00) > 0, block-diagonal ridge, without the FOMC columns",797,446,351,0.44040150564617314,0.05893633974705676,0.032980686985178566,0.24567748393650404,2.1310547739099928,3.7898629284670986,-4.028427914006483,-2.202867888740946,2024-04-04,0.030476124234597238,2.2508624400833943,-0.11980766617340155,False,"sit out when s_matched(11:00) > 0, block-diagonal ridge, without the FOMC columns",1.0
fixed_rule_oos,exit_crossed_quoted,whole,forecast,"sit out when s_matched(11:00) > 0, LightGBM",797,455,342,0.42910915934755334,0.05908532981838117,0.0337312736102427,0.24877776070726026,2.152392427469267,3.8278097626802783,-4.127294881071044,-2.202867888740946,2024-04-04,0.029528953409846535,2.2508624400833943,-0.09847001261412736,False,"sit out when s_matched(11:00) > 0, LightGBM",1.0
fixed_rule_oos,exit_crossed_quoted,whole,forecast,"sit out when s_matched(11:00) > 0, XGBoost",797,452,345,0.4328732747804266,0.06422393364092913,0.03642310916649932,0.24663854911542699,2.3443169571650717,4.169127906663532,-4.13789552107106,-2.202867888740946,2024-04-04,0.023053649645886916,2.2508624400833943,0.0934545170816774,True,"sit out when s_matched(11:00) > 0, XGBoost",1.0
fixed_rule_oos,exit_crossed_quoted,whole,forecast,"sit out when s_matched(11:00) > 0, lasso (causally tuned)",797,444,353,0.44291091593475534,0.06517458015079337,0.03630804716054236,0.24771858775742803,2.3267223726771658,4.137837737912895,-4.1138417584691735,-2.202867888740946,2024-04-04,0.02279097321976966,2.2508624400833943,0.07585993259377144,True,"sit out when s_matched(11:00) > 0, lasso (causally tuned)",1.0
fixed_rule_oos,exit_crossed_quoted,whole,forecast,"sit out when s_matched(11:00) > 0, lasso (fixed 1e-4)",797,461,336,0.4215809284818068,0.062059400932140484,0.03589634106614399,0.248519488263809,2.2929258087966873,4.077734006123218,-3.849557866288401,-2.202867888740946,2024-04-04,0.024920664594685074,2.2508624400833943,0.04206336871329297,True,"sit out when s_matched(11:00) > 0, lasso (fixed 1e-4)",1.0
fixed_rule_oos,exit_crossed_quoted,whole,forecast,"sit out when s_matched(11:00) > 0, elastic net (causally tuned)",797,449,348,0.4366373902132999,0.06569026305717178,0.03700743803346315,0.24888434302067486,2.360433199802604,4.197788995653799,-4.139387108438835,-2.202867888740946,2024-04-04,0.021516663853048328,2.2508624400833943,0.10957075971920949,True,"sit out when s_matched(11:00) > 0, elastic net (causally tuned)",1.0
fixed_rule_oos,exit_crossed_quoted,whole,implied_level,sit out when the 11:00 implied slice <= its expanding 10% quantile,797,722,75,0.09410288582183186,0.04728658694820843,0.04283678265571705,0.2902215380507749,2.3430819359793484,4.1669315478158175,-5.488711994415247,-1.6252481512331667,2023-07-27,0.03789081809232621,2.2508624400833943,0.09221949589595413,True,sit out when the 11:00 implied slice <= its expanding 10% quantile,1.0
fixed_rule_oos,exit_crossed_quoted,whole,implied_level,sit out when the 11:00 implied slice <= its expanding 20% quantile,797,582,215,0.2697616060225847,0.0397001269262526,0.02899055692732624,0.25293747210486045,1.8194647877361818,3.2357320107924425,-5.488711994415249,-1.3786732363414276,2020-07-13,0.06454536401140434,2.2508624400833943,-0.4313976523472125,False,sit out when the 11:00 implied slice <= its expanding 20% quantile,1.0
fixed_rule_oos,exit_crossed_quoted,whole,implied_level,sit out when the 11:00 implied slice <= its expanding 30% quantile,797,483,314,0.39397741530740277,0.03544351945959957,0.021479573273508894,0.22834166632635433,1.4932782981868353,2.6556427049498974,-5.488711994415253,-1.3138002133730429,2022-11-08,0.06325957718007758,2.2508624400833943,-0.757584141896559,False,sit out when the 11:00 implied slice <= its expanding 30% quantile,1.0
fixed_rule_oos,exit_crossed_quoted,whole,realized_regime,sit out when prior-session RV / 11:00 slice > its expanding 70% quantile,797,567,230,0.28858218318695106,0.039682285238733336,0.02823068473069235,0.26572785431140516,1.6864932281645557,2.9992556938386836,-5.201210551452705,-1.7474778279777554,2023-12-20,0.06296900610073541,2.2508624400833943,-0.5643692119188386,False,sit out when prior-session RV / 11:00 slice > its expanding 70% quantile,1.0
fixed_rule_oos,exit_crossed_quoted,whole,realized_regime,sit out when prior-session RV / 11:00 slice > its expanding 80% quantile,797,650,147,0.18444165621079048,0.04222870131820931,0.034439969707448,0.28556887095127415,1.9144858759213883,3.404717296363017,-6.340101227759889,-1.7474778279777554,2023-12-20,0.06485762773261834,2.2508624400833943,-0.336376564162006,False,sit out when prior-session RV / 11:00 slice > its expanding 80% quantile,1.0
fixed_rule_oos,exit_crossed_quoted,whole,realized_regime,sit out when prior-session RV / 11:00 slice > its expanding 90% quantile,797,725,72,0.0903387703889586,0.04737224717969869,0.043092696618922906,0.3002608425136111,2.2782702723880277,4.051670633744446,-5.520828834602561,-1.7474778279777554,2023-12-20,0.03663677678124159,2.2508624400833943,0.027407832304633395,True,sit out when prior-session RV / 11:00 slice > its expanding 90% quantile,1.0
fixed_rule_oos,exit_crossed_quoted,whole,calendar,sit out on FOMC statement days,797,767,30,0.037641154328732745,0.046390498284241896,0.04464430637893793,0.3224578223245996,2.1978266419242023,3.908609865594037,-5.517559255504564,-2.202867888740946,2024-04-04,0.04670716498391369,2.2508624400833943,-0.053035798159192016,False,sit out on FOMC statement days,1.0
fixed_rule_oos,exit_crossed_quoted,whole,calendar,sit out on month-end sessions,797,750,47,0.05897114178168131,0.047651434397325526,0.04484137490338036,0.3208695403307964,2.2184553819271455,3.945295969562495,-5.981165966666193,-2.202867888740946,2024-04-04,0.02647130501142143,2.2508624400833943,-0.03240705815624878,False,sit out on month-end sessions,1.0
fixed_rule_oos,exit_crossed_quoted,daily_era,baseline,always sell (no skip),489,489,0,0.0,0.05329332614755972,0.05329332614755972,0.3366338243741053,2.5131322639023277,3.50081777090367,-2.420605843818212,-2.202867888740946,2024-04-04,,2.5131322639023277,0.0,False,always sell (no skip),1.0
fixed_rule_oos,exit_crossed_quoted,daily_era,forecast,"sit out when s_matched(11:00) > 0, baseline (HAR + calendar OLS)",489,271,218,0.4458077709611452,0.08484345821325678,0.04701958522656971,0.24192897222970491,3.0852558446152614,4.297791502561878,-2.202867888740947,-2.202867888740946,2024-04-04,0.014072749130110637,2.5131322639023277,0.5721235807129337,True,"sit out when s_matched(11:00) > 0, baseline (HAR + calendar OLS)",1.0
fixed_rule_oos,exit_crossed_quoted,daily_era,forecast,"sit out when s_matched(11:00) > 0, block-diagonal ridge",489,287,202,0.4130879345603272,0.06964782499480059,0.04087714882107929,0.2612751126899463,2.4836067003663262,3.4596883727388947,-2.202867888740947,-2.202867888740946,2024-04-04,0.03005698372598482,2.5131322639023277,-0.029525563536001442,False,"sit out when s_matched(11:00) > 0, block-diagonal ridge",1.0
fixed_rule_oos,exit_crossed_quoted,daily_era,forecast,"sit out when s_matched(11:00) > 0, block-diagonal ridge, without the FOMC columns",489,277,212,0.4335378323108384,0.06574454584835442,0.03724179795499832,0.2585038080721544,2.2869884161629837,3.1857971839182815,-2.202867888740947,-2.202867888740946,2024-04-04,0.037024515500766644,2.5131322639023277,-0.22614384773934404,False,"sit out when s_matched(11:00) > 0, block-diagonal ridge, without the FOMC columns",1.0
fixed_rule_oos,exit_crossed_quoted,daily_era,forecast,"sit out when s_matched(11:00) > 0, LightGBM",489,280,209,0.4274028629856851,0.0686467860767377,0.03930695317277414,0.2546141824890023,2.4506825631045976,3.413824728205298,-2.202867888740947,-2.202867888740946,2024-04-04,0.032724097534306947,2.5131322639023277,-0.062449700797730046,False,"sit out when s_matched(11:00) > 0, LightGBM",1.0
fixed_rule_oos,exit_crossed_quoted,daily_era,forecast,"sit out when s_matched(11:00) > 0, XGBoost",489,279,210,0.4294478527607362,0.07880434993106201,0.044961991064961765,0.2501173259468537,2.8536586905652563,3.975174406663385,-2.202867888740947,-2.202867888740946,2024-04-04,0.019400108835192397,2.5131322639023277,0.34052642666292865,True,"sit out when s_matched(11:00) > 0, XGBoost",1.0
fixed_rule_oos,exit_crossed_quoted,daily_era,forecast,"sit out when s_matched(11:00) > 0, lasso (causally tuned)",489,273,216,0.44171779141104295,0.07386049701825409,0.041235001402828965,0.2591485056543677,2.525908272119251,3.518614875039194,-2.202867888740947,-2.202867888740946,2024-04-04,0.027298707408209923,2.5131322639023277,0.012776008216923262,True,"sit out when s_matched(11:00) > 0, lasso (causally tuned)",1.0
fixed_rule_oos,exit_crossed_quoted,daily_era,forecast,"sit out when s_matched(11:00) > 0, lasso (fixed 1e-4)",489,291,198,0.4049079754601227,0.07194120666016585,0.0428116383192398,0.2623823548794988,2.5901653698619658,3.608125639321489,-2.202867888740947,-2.202867888740946,2024-04-04,0.025886592666911335,2.5131322639023277,0.07703310595963808,True,"sit out when s_matched(11:00) > 0, lasso (fixed 1e-4)",1.0
fixed_rule_oos,exit_crossed_quoted,daily_era,forecast,"sit out when s_matched(11:00) > 0, elastic net (causally tuned)",489,277,212,0.4335378323108384,0.07545668487973545,0.042743357283612934,0.26013402357206167,2.6083852935391296,3.6335061708238294,-2.202867888740947,-2.202867888740946,2024-04-04,0.02433459799278295,2.5131322639023277,0.09525302963680193,True,"sit out when s_matched(11:00) > 0, elastic net (causally tuned)",1.0
fixed_rule_oos,exit_crossed_quoted,daily_era,implied_level,sit out when the 11:00 implied slice <= its expanding 10% quantile,489,455,34,0.06952965235173825,0.052266115531225774,0.04863207068856386,0.3026212048846495,2.5510776384575897,3.5536760479926706,-2.6445800816815783,-1.6252481512331667,2023-07-27,0.06703982116026402,2.5131322639023277,0.037945374555262035,True,sit out when the 11:00 implied slice <= its expanding 10% quantile,1.0
fixed_rule_oos,exit_crossed_quoted,daily_era,implied_level,sit out when the 11:00 implied slice <= its expanding 20% quantile,489,374,115,0.23517382413087934,0.04963940866449954,0.03796551910127367,0.26576131650518603,2.267763945295232,3.159017308375423,-2.846747265970583,-1.3138002133730429,2022-11-08,0.06517650126638153,2.5131322639023277,-0.24536831860709585,False,sit out when the 11:00 implied slice <= its expanding 20% quantile,1.0
fixed_rule_oos,exit_crossed_quoted,daily_era,implied_level,sit out when the 11:00 implied slice <= its expanding 30% quantile,489,307,182,0.3721881390593047,0.04523257360501496,0.028397546210101418,0.24228345039682872,1.86061850266707,2.5918597331979534,-2.3679077507650512,-1.3138002133730429,2022-11-08,0.06689030983196215,2.5131322639023277,-0.6525137612352576,False,sit out when the 11:00 implied slice <= its expanding 30% quantile,1.0
fixed_rule_oos,exit_crossed_quoted,daily_era,realized_regime,sit out when prior-session RV / 11:00 slice > its expanding 70% quantile,489,348,141,0.2883435582822086,0.04346224215960578,0.030930184604382023,0.2754308247780569,1.7826670606194204,2.4832726136468968,-3.3700464595426785,-1.7474778279777554,2023-12-20,0.07755727811782905,2.5131322639023277,-0.7304652032829073,False,sit out when prior-session RV / 11:00 slice > its expanding 70% quantile,1.0
fixed_rule_oos,exit_crossed_quoted,daily_era,realized_regime,sit out when prior-session RV / 11:00 slice > its expanding 80% quantile,489,399,90,0.18404907975460122,0.046661206662124755,0.038073254515721425,0.290937408617796,2.0774027691392085,2.8938423321319005,-4.08350504031262,-1.7474778279777554,2023-12-20,0.0826957225329881,2.5131322639023277,-0.4357294947631192,False,sit out when prior-session RV / 11:00 slice > its expanding 80% quantile,1.0
fixed_rule_oos,exit_crossed_quoted,daily_era,realized_regime,sit out when prior-session RV / 11:00 slice > its expanding 90% quantile,489,449,40,0.081799591002045,0.05418856928146535,0.04975596647725551,0.301701612667149,2.6179889270738097,3.646884126065727,-3.355631772303025,-1.7474778279777554,2023-12-20,0.04324422196946909,2.5131322639023277,0.10485666317148201,True,sit out when prior-session RV / 11:00 slice > its expanding 90% quantile,1.0
