tag,rule,days,buys,mean_size_buys,Sharpe_mid,Sharpe_crossed,mean_crossed,top20_share,top20_kept_from_sign,max_dd_crossed,worst_crossed,dSharpe_crossed,ci_lo,ci_hi,placebo_p,supported
sub_live_ridge,"sign(s), size 1",614,250,1.0,1.5107770799023794,1.15154330196654,0.08145683967219576,1.24510982969161,20,15.626431035412072,-5.608638948514649,0.0,0.0,0.0,,
sub_live_ridge,"(i) rank of s, trailing 252",614,246,0.9224062241539133,1.7650209980628404,1.4090529494421966,0.09787902032530095,1.0786365644798874,11,18.067684933655656,-5.608638948514649,0.25750964747565663,-0.018017648364288354,0.05263164803440756,0.06,False
sub_live_ridge,(ii) top trailing quintile x2,614,250,0.9566666666666668,1.470499251273147,1.1056156308305651,0.07542276677478935,1.260455879348161,14,16.473730120277825,-5.608638948514649,-0.045927671135974846,-0.022301261008274845,0.009006525245872646,0.54,False
sub_live_ridge,"(iii) Kelly by s-quintile, expanding",614,163,1.702828114809745,1.380854013120753,1.0802913504231604,0.09168686382347657,1.5532679523280195,11,18.107232873773548,-5.608638948514649,-0.0712519515433796,-0.05276520943829276,0.07179320142083961,0.91,False
sub_live_ridge,(iv) month-end x2,614,250,0.9736363636363636,1.573370419462057,1.2212465516925326,0.08730780202762778,1.2122125506344994,20,15.275484313205466,-5.608638948514649,0.06970324972599262,-0.004350979788258267,0.02020653687738332,0.075,False
blk2,"sign(s), size 1",614,247,1.0,1.5394186993352832,1.1816052790591631,0.0834648823680268,1.2232244880038343,20,14.609724581115376,-5.608638948514649,0.0,0.0,0.0,,
blk2,"(i) rank of s, trailing 252",614,244,0.9480955310103933,1.678457907336381,1.3208727186013993,0.09154756678093647,1.1619061918964573,10,14.201399941849282,-5.608638948514649,0.1392674395422362,-0.026197951808847153,0.039133008755989754,0.025,False
blk2,(ii) top trailing quintile x2,614,247,0.9750337381916331,1.6857425616417476,1.3263794015388688,0.09274149871837074,1.1179485004653855,14,14.437011378778163,-5.608638948514649,0.14477412247970567,-0.00886511640060123,0.027431309840879395,0.03,False
blk2,"(iii) Kelly by s-quintile, expanding",614,143,2.2313922695423667,0.9300940192495106,0.7021280786928743,0.08248178370801068,2.445258664059557,10,36.00363951999344,-5.608638948514649,-0.4794772003662888,-0.08028954623341751,0.08641817871496751,0.815,False
blk2,(iv) month-end x2,614,247,0.9700036805299964,1.5972353539377522,1.2385758737495993,0.08645276581794077,1.1639045252124258,20,14.272707589257994,-5.608638948514649,0.056970594690436194,-0.003650195862174143,0.011537107646823357,0.16,False
