tag,sample,grading,rho_hit,rho_mean_crossed,hit_Q1,hit_Q5,mean_crossed_Q1,mean_crossed_Q5
sub_live_ridge,all,s,0.20519567041703082,0.09999999999999999,0.24285714285714285,0.3142857142857143,-0.2518005263738656,-0.07211631597969391
sub_live_ridge,all,s_over_iv,0.3,0.3,0.3,0.37142857142857144,-0.18909480676837548,-0.053444750527707204
sub_live_ridge,all,trailing_qlike_63,0.8720815992723809,0.7,0.3492063492063492,0.49206349206349204,-0.10930303269869993,0.3567787408136786
sub_live_ridge,2020-21,s,0.10259783520851541,-0.09999999999999999,0.3333333333333333,0.3333333333333333,0.02405555290661777,-0.009578941289178541
sub_live_ridge,2020-21,s_over_iv,-0.09999999999999999,-0.19999999999999998,0.375,0.2916666666666667,0.033781579667736115,-0.09515779988575834
sub_live_ridge,2020-21,trailing_qlike_63,0.3,0.09999999999999999,0.2222222222222222,0.35294117647058826,-0.41966461140356504,0.022139371201566452
sub_live_ridge,2022-24,s,0.0,0.0,0.15217391304347827,0.3695652173913043,-0.43243092071960837,-0.03677744062356582
sub_live_ridge,2022-24,s_over_iv,0.6,0.6,0.2608695652173913,0.43478260869565216,-0.30537813882199893,0.024152998736706274
sub_live_ridge,2022-24,trailing_qlike_63,0.6668859288553501,0.7999999999999999,0.391304347826087,0.5,-0.03275316418544842,0.31286638813709433
blk2,all,s,0.31622776601683794,0.09999999999999999,0.32857142857142857,0.37681159420289856,-0.16248938458479634,-0.08062308754979162
blk2,all,s_over_iv,0.41039134083406165,0.09999999999999999,0.34285714285714286,0.4057971014492754,-0.16631916722137288,-0.004060614319255495
blk2,all,trailing_qlike_63,0.7999999999999999,0.6,0.3870967741935484,0.4918032786885246,-0.06204846524991029,0.381694494183867
blk2,2020-21,s,-0.3,0.0,0.30434782608695654,0.2608695652173913,-0.2564590292224747,-0.24982719877349724
blk2,2020-21,s_over_iv,-0.46169025843831935,-0.19999999999999998,0.5217391304347826,0.13043478260869565,0.21691419197400014,-0.4741237709515611
blk2,2020-21,trailing_qlike_63,0.6668859288553501,-0.09999999999999999,0.3333333333333333,0.4666666666666667,0.4736506656354544,0.23297100900797502
blk2,2022-24,s,0.8999999999999998,0.49999999999999994,0.3617021276595745,0.44680851063829785,-0.06967986966445452,0.028376047535634906
blk2,2022-24,s_over_iv,0.8999999999999998,0.7,0.2978723404255319,0.5319148936170213,-0.20428220907903435,0.19132806155562554
blk2,2022-24,trailing_qlike_63,0.3,0.39999999999999997,0.3829787234042553,0.5106382978723404,-0.08766726483836741,0.3272232557521923
