rule,note,n_days,n_daily_zero,Sharpe mid,mean/day,Sharpe crossed,bars short/day
hybrid (all daytime AS + sign close),notebook,866,0,2.9722952533758056,0.24267302845513614,-1.0955209315284669,11.591224018475751
"hybrid, 15:30 q=0 on events (days kept)",weight 0,866,0,3.421658649288995,0.26554043443988185,-0.8356460433640552,11.517321016166282
IS AS>1 daytime AS + sign close,IN-SAMPLE clocks,866,0,2.788351441856517,0.21221964770961335,0.33007603224861987,5.595842956120093
IS AS>1 + 15:30 q=0 events,IN-SAMPLE + weight 0,866,0,3.275346778394003,0.23508705369435906,0.6957684138634648,5.521939953810624
IS AS>1.5 daytime AS + sign close,IN-SAMPLE clocks,866,0,2.512219309019729,0.18530023900699424,0.5465782918364884,3.595842956120092
IS AS>1.5 + 15:30 q=0 events,IN-SAMPLE + weight 0,866,0,3.0101717412552293,0.20816764499173995,0.9430029929742485,3.5219399538106235
causal trail AS Sharpe>0 + sign close,F_t,866,5,2.6368287406972093,0.21475247750801404,-0.7994107796983523,10.093533487297922
"causal trail AS Sharpe>0 + sign close, events q=0",F_t + weight 0,866,11,3.06892187208727,0.23761988349275978,-0.5208121763319064,10.019630484988452
causal trail AS Sharpe>1 + sign close,F_t,866,5,2.293961704694785,0.17659057326311775,-0.026311935955030907,5.234411085450346
"causal trail AS Sharpe>1 + sign close, events q=0",F_t + weight 0,866,11,2.7413439931276664,0.1994579792478635,0.31298976894827163,5.160508083140877
