hhmm,w_V0,w_share
10:00,0.1297666976984184,0.15029609030248947
10:30,0.1064493404934257,0.1281185499840457
11:00,0.09672098359515031,0.11779080927503151
11:30,0.09306841457241408,0.11185667874551083
12:00,0.09121447749305159,0.1084511171521752
12:30,0.09426238609401988,0.10782227595199508
13:00,0.11156426139284872,0.12668999130803338
13:30,0.1356136027341791,0.15010332688390443
14:00,0.21501833495005668,0.22423506665504994
14:30,0.28362743050519323,0.2876561425537102
15:00,0.4493608114963472,0.4547772118257117
15:30,1.0,1.0
