w,rule,Sharpe mid,Sharpe crossed,pct long
V0,sign(s),2.012747679651259,-2.299827792015441,51.71849427168576
V0,hybrid,2.9722952533758056,-1.0955209315284669,51.71849427168576
mean of shares,sign(s),2.3440366485198543,-1.9048656762985574,38.731106190430346
mean of shares,hybrid,2.9722952533758056,-1.0955209315284669,38.731106190430346
