clock,V0,mean of shares
10:00,0.9081611990508824,0.7845032606457756
10:30,0.9213462533417263,0.7627377630867146
11:00,1.0155690214667747,0.8313533284688512
11:30,1.0127624236363877,0.840993241725728
12:00,1.0070705766455017,0.8420123427635547
12:30,0.9286840908696659,0.8086670892756989
13:00,0.9183708049100593,0.8075427578886816
13:30,0.857330871057527,0.7725853679868301
14:00,0.8663305191802593,0.8271813319767249
14:30,0.8648120170343477,0.8484353054734124
15:00,0.7385316950380805,0.7283109587594154
15:30,0.8222451868261096,0.8222451868261096
