kind,threshold_pct,count,per_year_sessions_with_returns,per_year_sessions_1993_2024
any single 30-min bar,0.5,3066,117.18974670104657,96.44638621894894
any single 30-min bar,1.0,476,18.19384195358714,14.973411559106228
any single 30-min bar,2.0,62,2.3697861368117703,1.9503183123205592
any single 30-min bar,3.0,13,0.4968906415895647,0.40893771064785917
any single 30-min bar,5.0,1,0.03822235704535113,0.031456746972912245
last bar (16:00 stamp),0.5,605,23.124526012437435,19.031331918611908
last bar (16:00 stamp),1.0,137,5.236462915213105,4.3095743352889775
last bar (16:00 stamp),2.0,28,1.0702259972698318,0.8807889152415428
last bar (16:00 stamp),3.0,9,0.3440012134081602,0.2831107227562102
11:00 -> close,2.0,178,6.803579554072502,5.599300961178379
11:00 -> close,3.0,52,1.9875625663582588,1.6357508425914367
11:00 -> close,5.0,13,0.4968906415895647,0.40893771064785917
11:00 -> close,7.000000000000001,2,0.07644471409070226,0.06291349394582449
11:00 -> close,10.0,1,0.03822235704535113,0.031456746972912245
