day_role,date,placement,jump_pct,K_c,K_p,S_1100,iv_hourly_1100,entry_premium_pts,premium_over_spot_pct,S_settle_stressed,r_hold_units,r_mark_units,r_hold_base_units,r_mark_base_units,d_hold_units,d_mark_units,hold_dollars,mark_dollars,X_source,S_1530,S_settle_actual,r_hold_actual,r_hold_stressed,residual
representative (median premium),2021-06-16,last bar,1.0,4245.0,4240.0,4244.60986328125,0.0026721300091594458,17.90000009536743,0.4217113155725937,4274.723901367188,-2.4405330418860096,-0.004099129626511169,-0.04211148773548339,-0.004099129626511169,-2.3984215541505263,0.0,-4368.554168250694,-7.33744207054734,,,,,,
representative (median premium),2021-06-16,last bar,-1.0,4245.0,4240.0,4244.60986328125,0.0026721300091594458,17.90000009536743,0.4217113155725937,4190.075903320312,-0.8342311524451086,-0.004099129626511169,-0.04211148773548339,-0.004099129626511169,-0.7921196647096252,0.0,-1493.2737708325926,-7.33744207054734,,,,,,
representative (median premium),2021-06-16,last bar,2.0,4245.0,4240.0,4244.60986328125,0.0026721300091594458,17.90000009536743,0.4217113155725937,4317.047900390625,-6.172404455901537,-0.004099129626511169,-0.04211148773548339,-0.004099129626511169,-6.130292968166054,0.0,-11048.604034928389,-7.33744207054734,,,,,,
representative (median premium),2021-06-16,last bar,-2.0,4245.0,4240.0,4244.60986328125,0.0026721300091594458,17.90000009536743,0.4217113155725937,4147.751904296875,-1.8312981516076372,-0.004099129626511169,-0.04211148773548339,-0.004099129626511169,-1.7891866638721539,0.0,-3278.023708842291,-7.33744207054734,,,,,,
representative (median premium),2021-06-16,last bar,3.0,4245.0,4240.0,4244.60986328125,0.0026721300091594458,17.90000009536743,0.4217113155725937,4359.371899414063,-9.904275869917145,-0.004099129626511169,-0.04211148773548339,-0.004099129626511169,-9.86216438218166,0.0,-17728.653901606223,-7.33744207054734,,,,,,
representative (median premium),2021-06-16,last bar,-3.0,4245.0,4240.0,4244.60986328125,0.0026721300091594458,17.90000009536743,0.4217113155725937,4105.427905273437,-2.8283651507701872,-0.004099129626511169,-0.04211148773548339,-0.004099129626511169,-2.786253663034704,0.0,-5062.773646852027,-7.33744207054734,,,,,,
representative (median premium),2021-06-16,last bar,5.0,4245.0,4240.0,4244.60986328125,0.0026721300091594458,17.90000009536743,0.4217113155725937,4444.0198974609375,-17.36801869794828,-0.004099129626511169,-0.04211148773548339,-0.004099129626511169,-17.325907210212797,0.0,-31088.753634961755,-7.33744207054734,,,,,,
representative (median premium),2021-06-16,last bar,-5.0,4245.0,4240.0,4244.60986328125,0.0026721300091594458,17.90000009536743,0.4217113155725937,4020.7799072265625,-4.822499149095266,-0.004099129626511169,-0.04211148773548339,-0.004099129626511169,-4.780387661359782,0.0,-8632.273522871461,-7.33744207054734,,,,,,
representative (median premium),2021-06-16,mid-day bar,1.0,4245.0,4240.0,4244.60986328125,0.0026721300091594458,17.90000009536743,0.4217113155725937,4265.937197265625,-1.1295343402469502,-1.1370394400712487,-0.04211148773548339,-0.004099129626511169,-1.0874228525114669,-1.1329403104447375,-2021.8664798141199,-2035.3006085711881,,,,,,
representative (median premium),2021-06-16,mid-day bar,-1.0,4245.0,4240.0,4244.60986328125,0.0026721300091594458,17.90000009536743,0.4217113155725937,4181.463193359375,-1.4426831501929493,-1.442674530083081,-0.04211148773548339,-0.004099129626511169,-1.400571662457466,-1.4385754004565698,-2582.4028526038783,-2582.3874226071316,,,,,,
