book,jump_pct,placement,pnl_units,loss_units,mean_daily_units,x_mean_daily,x_worst_day,x_maxdd,capital_per_unit_premium,premium_fraction_of_capital,daily_mean_on_capital,annual_mean_on_capital
hold through cash-settle,2.0,mid-day bar,-3.788355792015667,3.788355792015667,0.10280158963047406,36.85114019766736,1.648556479918322,1.0899695076414837,75.76711584031334,0.013198337945284846,0.001356810121255487,0.3419161505563827
exit at 15:30,2.0,mid-day bar,-3.7883557941592905,3.7883557941592905,0.09377239530941775,40.39947771046026,1.6485564808511501,1.089969508258238,75.76711588318581,0.013198337937816627,0.0012376397625322262,0.31188522015812103
hold through cash-settle,-2.0,mid-day bar,-3.42168212607211,3.42168212607211,0.10280158963047406,33.284330897717965,1.4889932600959754,0.9844717304855138,68.4336425214422,0.01461269579047574,0.001502208356047443,0.3785565057239556
exit at 15:30,-2.0,mid-day bar,-3.421682126072102,3.421682126072102,0.09377239530941775,36.489226011361744,1.4889932600959719,0.9844717304855115,68.43364252144204,0.014612695790475774,0.001370267486200759,0.3453074065225913
hold through cash-settle,3.0,mid-day bar,-6.495448227147843,6.495448227147843,0.10280158963047406,63.18431699836634,2.8265859525145336,1.868842551952629,129.90896454295685,0.007697698180554207,0.0007913356094565805,0.19941657358305828
exit at 15:30,3.0,mid-day bar,-6.495448227147843,6.495448227147843,0.09377239530941775,69.26823406520674,2.8265859525145336,1.868842551952629,129.90896454295685,0.007697698180554207,0.0007218315967595149,0.18190156238339775
hold through cash-settle,-3.0,mid-day bar,-5.447803435319965,5.447803435319965,0.10280158963047406,52.99337738747419,2.3706885381638103,1.567418678213403,108.95606870639931,0.009178011026578706,0.0009435141231783101,0.23776555904093416
exit at 15:30,-3.0,mid-day bar,-5.447803435319965,5.447803435319965,0.09377239530941775,58.09602513985085,2.3706885381638103,1.567418678213403,108.95606870639931,0.009178011026578706,0.0008606440781385335,0.21688230769091044
