segment,estimator,train_win,deck_days,pct_buy,Sharpe_mid,Sharpe_crossed,ridge_Sharpe_mid_same_days
bar1600,reclasso,500,866,34.64203233256351,1.025937826208432,0.5510320724775457,1.3383216004229939
bar1600,reclasso,2000,866,38.33718244803695,1.5083517631673151,1.034508064504262,1.3383216004229939
bar1600,reclasticnet,500,866,34.06466512702079,0.8861701921215375,0.4097494694926402,1.3383216004229939
bar1600,reclasticnet,2000,866,37.87528868360277,1.4361218237423177,0.9604532104650703,1.3383216004229939
bar1600,ridge,500,866,37.06697459584296,0.5520923494845301,0.07947404255012328,1.3383216004229939
bar1600,ridge,2000,866,40.069284064665126,0.9882668003212316,0.5138145343213903,1.3383216004229939
blk_close,reclasso,500,866,100.0,-0.203779128108568,-0.6756025534681229,1.3383216004229939
blk_close,reclasso,2000,866,39.95381062355658,1.558465875988149,1.0917025774348939,1.3383216004229939
blk_close,reclasticnet,500,866,34.8729792147806,0.9823052928663798,0.5065386653370576,1.3383216004229939
blk_close,reclasticnet,2000,866,40.069284064665126,1.7014055745285936,1.2365116232927156,1.3383216004229939
blk_close,ridge,500,866,34.75750577367205,0.6915428575957184,0.21594021072155548,1.3383216004229939
blk_close,ridge,2000,866,39.838337182448036,1.39155227972383,0.9216308566348124,1.3383216004229939
none,reclasso,500,866,100.0,-0.203779128108568,-0.6756025534681229,1.3383216004229939
none,reclasso,2000,866,40.531177829099306,1.185585357812883,0.7145545554835155,1.3383216004229939
none,reclasticnet,500,866,30.71593533487298,1.0257787155675793,0.549161005346263,1.3383216004229939
none,reclasticnet,2000,866,40.64665127020785,1.275070303207804,0.8044877987558876,1.3383216004229939
none,ridge,500,866,30.369515011547342,0.8595916241333739,0.38320992668403275,1.3383216004229939
none,ridge,2000,866,39.722863741339495,1.4124707824187683,0.9419536273068968,1.3383216004229939
