deck,set,n,hit,mean_R,kelly_f
sub_live_ridge,bottom tercile of trailing QLIKE_63,105,0.3047619047619048,-0.08479672441079701,0.0
sub_live_ridge,top tercile of trailing QLIKE_63,105,0.47619047619047616,0.2738526445621919,0.21281203416043828
blk2,bottom tercile of trailing QLIKE_63,102,0.39215686274509803,0.07874910892537913,0.04241787812636291
blk2,top tercile of trailing QLIKE_63,102,0.47058823529411764,0.27552680518992745,0.22759065044164745
