deck,price,sample,n_buys,hit,mean_R,kelly_f,half_kelly,ann_growth_at_f,ann_growth_at_half,ann_growth_at_live,live_over_kelly,kelly_pess_1se,kelly_pess_2se,buys_per_year,kelly_ci_lo,kelly_ci_hi
sub_live_ridge,crossed,all,348,0.39655172413793105,0.09139377013221663,0.06556141941365846,0.03278070970682923,0.3346805461722182,0.24571389758681317,0.24303279339465633,1.525287293874039,0.01460873563730963,0.0,101.26558891454965,0.0,0.15318811586487882
sub_live_ridge,crossed,2020-21,119,0.3865546218487395,0.1427535693997971,0.07981148053569895,0.039905740267849474,0.642590180485344,0.46418442403403004,0.598621383521053,1.2529525743513918,0.000826572376615587,0.0,94.89873417721519,,
sub_live_ridge,crossed,2022-24,229,0.4017467248908297,0.0647046168010285,0.05539853437283798,0.02769926718641899,0.20128316872278518,0.14869417270012408,0.07573675629527754,1.8051019062524192,0.0,0.0,104.92363636363638,,
sub_live_ridge,mid,all,348,0.4109195402298851,0.12995247294191162,0.09159445681237204,0.04579722840618602,0.7573941965644222,0.5386250796342178,0.7499287571921691,1.091769125339609,0.03706665086934207,0.0,101.26558891454965,0.0,0.18594323836454427
sub_live_ridge,mid,2020-21,119,0.40336134453781514,0.20088409446100716,0.11094350260679961,0.055471751303399805,1.5759010645187481,1.0771222503608069,1.5555306244458071,0.9013596799301982,0.022606650757872666,0.0,94.89873417721519,,
sub_live_ridge,mid,2022-24,229,0.4148471615720524,0.09309280935775287,0.07818941128164561,0.039094705640822805,0.44578179379544536,0.32242155216108825,0.4077651443840604,1.278945554913959,0.013023042373346208,0.0,104.92363636363638,,
blk2,crossed,all,346,0.3988439306358382,0.06316882914354027,0.04406958879238895,0.022034794396194476,0.14471504361360243,0.10792893891052557,-0.056132015392831414,2.269138486204131,0.0,0.0,100.68360277136259,0.0,0.13138891207036216
blk2,crossed,2020-21,114,0.38596491228070173,0.11407581287416987,0.06307960619488515,0.03153980309744257,0.35503684632233234,0.2621231223536187,0.2410286365893144,1.5852984194455637,0.0,0.0,90.9113924050633,,
blk2,crossed,2022-24,232,0.4051724137931034,0.038154190586248145,0.03135985515652953,0.015679927578264766,0.06464840674632599,0.04834287181044683,-0.1934807778855956,3.1887902383751507,0.0,0.0,106.29818181818183,,
blk2,mid,all,346,0.407514450867052,0.10044262563358049,0.06901203171624108,0.03450601585812054,0.39174678477257996,0.28641458228489824,0.31155451337096096,1.4490226923208567,0.01810904285192537,0.0,100.68360277136259,0.0,0.14784342078168114
blk2,mid,2020-21,114,0.40350877192982454,0.17021305891015545,0.09358703929077064,0.04679351964538532,0.9236262339639187,0.6560504377812788,0.9185873721547124,1.0685240259530446,0.008777975036317867,0.0,90.9113924050633,,
blk2,mid,2022-24,232,0.40948275862068967,0.0661588782476773,0.053278412167247234,0.026639206083623617,0.20037154312029481,0.14805322734257365,0.05408145997729563,1.87693281260125,0.0,0.0,106.29818181818183,,
