sample,weight_rule,hhmm,n_days_with_weight,median,mean,share_at_1,share_at_0
whole,C1_inverse_qlike,10:00,802,0.5037531225879801,0.5114982684588943,0.0,0.0
whole,C1_inverse_qlike,10:30,803,0.5500790929804086,0.5455907230138848,0.0,0.0
whole,C1_inverse_qlike,11:00,803,0.5326418441952957,0.521112721613019,0.0,0.0
whole,C1_inverse_qlike,11:30,803,0.556959787401343,0.5479775031126729,0.0,0.0
whole,C1_inverse_qlike,12:00,803,0.5767424258923508,0.5737096353648553,0.0,0.0
whole,C1_inverse_qlike,12:30,803,0.5660074115739461,0.5562027821736671,0.0,0.0
whole,C1_inverse_qlike,13:00,803,0.591303763883844,0.5870263034177065,0.0,0.0
whole,C1_inverse_qlike,13:30,803,0.5667478714971609,0.5802313119591542,0.0,0.0
whole,C1_inverse_qlike,14:00,801,0.3481882555237378,0.36203129451515526,0.0,0.0
whole,C1_inverse_qlike,14:30,802,0.5505366665727837,0.5384063308128189,0.0,0.0
whole,C1_inverse_qlike,15:00,799,0.6318991536241448,0.6246245742994642,0.0,0.0
whole,C1_inverse_qlike,15:30,798,0.4905821606109601,0.47989289778045774,0.0,0.0
daily_era,C1_inverse_qlike,10:00,489,0.49326522684186525,0.49786000697298516,0.0,0.0
daily_era,C1_inverse_qlike,10:30,489,0.5614894746615138,0.5574497695115901,0.0,0.0
daily_era,C1_inverse_qlike,11:00,489,0.5445565704642201,0.5423763303386823,0.0,0.0
daily_era,C1_inverse_qlike,11:30,489,0.5623562926195497,0.5622841479236591,0.0,0.0
daily_era,C1_inverse_qlike,12:00,489,0.5806011359208394,0.5825111339904294,0.0,0.0
daily_era,C1_inverse_qlike,12:30,489,0.5402326308048493,0.5507132163791768,0.0,0.0
daily_era,C1_inverse_qlike,13:00,489,0.5963475961349183,0.5928844312744476,0.0,0.0
daily_era,C1_inverse_qlike,13:30,489,0.5647271766001459,0.577516859580672,0.0,0.0
daily_era,C1_inverse_qlike,14:00,489,0.30525552566249314,0.3138329199717785,0.0,0.0
daily_era,C1_inverse_qlike,14:30,489,0.497741896150593,0.5126243183802109,0.0,0.0
daily_era,C1_inverse_qlike,15:00,489,0.608378245543468,0.6095160665204459,0.0,0.0
daily_era,C1_inverse_qlike,15:30,489,0.4974578965349336,0.49602659987620756,0.0,0.0
whole,C2_log_fit_weight,10:00,802,0.6013199040115993,0.5400744475012895,0.0,0.0
whole,C2_log_fit_weight,10:30,803,0.7311943675916416,0.7128878283094241,0.0,0.0
whole,C2_log_fit_weight,11:00,803,0.7411158245738553,0.6608799973717819,0.0,0.0
whole,C2_log_fit_weight,11:30,803,0.7839129784858365,0.7782902944959559,0.0,0.0
whole,C2_log_fit_weight,12:00,803,0.9388562265262189,0.9025929092715845,0.0896637608966376,0.0
whole,C2_log_fit_weight,12:30,803,0.8188115834040437,0.8051289261035306,0.0,0.0
whole,C2_log_fit_weight,13:00,803,0.9293773921843421,0.8642850174548248,0.21046077210460773,0.0
whole,C2_log_fit_weight,13:30,803,0.8147297559107305,0.7848477621312415,0.0,0.0
whole,C2_log_fit_weight,14:00,801,0.0692020149351747,0.11002416726168038,0.0,0.0
whole,C2_log_fit_weight,14:30,802,0.39482119626305806,0.4347409461539149,0.0,0.0
whole,C2_log_fit_weight,15:00,799,0.5832872343372897,0.5663190617037224,0.0,0.0
whole,C2_log_fit_weight,15:30,798,0.2590119230750719,0.2584952389833891,0.0,0.0
daily_era,C2_log_fit_weight,10:00,489,0.6526274195883136,0.6376942026350005,0.0,0.0
