sample,family,param,rule,causal,n_days,n_days_toggled,toggles_per_day,flat_runs_per_day,frac_bars_flat,mean,sd,Sharpe_ann,t,MaxDD,worst_day,worst_date,cross_cost_per_day_prem,extra_cost_per_day_prem,n_flat_bars,mean_bar_without_toggle,mean_bar_with_toggle,mean_bar_saved,total_saved_prem
whole,reference,,never toggle (the book of record: short every bar to 15:30),True,865,0,0.0,0.0,0.0,0.04590784013473822,0.3235290821279116,2.252546709416487,4.1733190592707805,-6.070172381929874,-2.2028675866604797,2024-04-04,0.0,0.0,0,,,,0.0
whole,margin_ridge,0.0,flat on the bar when rv_hat_t - slice_t > 0.00 slice_t (ridge),True,865,713,2.3421965317919073,1.277456647398844,0.3911849710982659,-0.007335772626220291,0.27749748784385875,-0.41964985400692734,-0.7774900856111373,-10.549912379986306,-2.2028675866604797,2024-04-04,0.043169023674410154,0.03854140404077434,2707,0.004697972125215854,-0.012315594567886886,-0.01701356669310274,-46.05572503822911
whole,margin_ridge,0.25,flat on the bar when rv_hat_t - slice_t > 0.25 slice_t (ridge),True,865,519,1.7098265895953757,0.8855491329479769,0.1888728323699422,0.004963379148286494,0.31537467717548906,0.24983363293145694,0.4628696300063848,-7.932047424944232,-2.2028675866604797,2024-04-04,0.031438908279994106,0.03005458263406241,1307,0.00720714978945429,-0.019890752852688588,-0.027097902642142877,-35.41695875328074
whole,margin_ridge,0.5,flat on the bar when rv_hat_t - slice_t > 0.50 slice_t (ridge),True,865,311,0.892485549132948,0.4531791907514451,0.0810693641618497,0.022056072316447645,0.32227458569593254,1.0864315991066362,2.0128442532142996,-6.510003267103102,-2.2028675866604797,2024-04-04,0.016552747058882513,0.016237143167845056,561,0.011740909666016703,-0.025035880285536497,-0.0367767899515532,-20.631779162821346
whole,margin_ridge,1.0,flat on the bar when rv_hat_t - slice_t > 1.00 slice_t (ridge),True,865,100,0.2589595375722543,0.12947976878612716,0.018497109826589597,0.03873183402580741,0.32606967041895046,1.8856362909568019,3.493539929274633,-6.417359450707204,-2.2028675866604797,2024-04-04,0.005361890808701555,0.005361890808701555,128,0.012259451052330426,-0.036234652730678475,-0.048494103783008904,-6.207245284225137
whole,margin_comb,0.0,flat on the bar when f_comb_t - slice_t > 0.00 slice_t (C2_log_fit_weight),True,865,662,2.132947976878613,1.169942196531792,0.3690751445086705,0.0016954340383879029,0.27541588710352455,0.09772196245604867,0.1810505978510061,-10.549912379986306,-2.2028675866604797,2024-04-04,0.03473341400699164,0.030694022759220747,2554,0.004578465773929945,-0.010395587191357065,-0.01497405296528701,-38.24373127334302
whole,margin_comb,0.25,flat on the bar when f_comb_t - slice_t > 0.25 slice_t (C2_log_fit_weight),True,865,368,1.1052023121387282,0.5595375722543353,0.10823699421965317,0.021964191242611942,0.3195507560121292,1.0911278415077486,2.02154503523919,-7.082254710777654,-2.2028675866604797,2024-04-04,0.017167339803515633,0.01693155735911925,749,0.008098076336516786,-0.019553801222480842,-0.027651877558997628,-20.711256291689224
whole,margin_comb,0.5,flat on the bar when f_comb_t - slice_t > 0.50 slice_t (C2_log_fit_weight),True,865,169,0.4601156069364162,0.2300578034682081,0.03815028901734104,0.03516458676479492,0.3210024394446256,1.7389914861139237,3.2218494216214704,-6.048755643971127,-2.2028675866604797,2024-04-04,0.006927228506136207,0.006927228506136207,264,0.012503263284822482,-0.02269716915836295,-0.035200432443185437,-9.292914165000953
whole,margin_comb,1.0,flat on the bar when f_comb_t - slice_t > 1.00 slice_t (C2_log_fit_weight),True,865,33,0.09248554913294797,0.046242774566473986,0.0062138728323699426,0.04303480777702822,0.324141104467067,2.1075895194104257,3.9047552149333002,-6.270371417519884,-2.2028675866604797,2024-04-04,0.00127056034635523,0.00127056034635523,43,0.03223577418190388,-0.025558946502262186,-0.057794720684166065,-2.4851729894191403
whole,expected_gain,,flat when 0.5 Gamma_t S_t^2 (ridge - slice_t) exceeds twice the half-spread quoted at t (causal),True,865,297,0.8658959537572254,0.4578034682080925,0.08540462427745665,0.027941122019668134,0.31067285798578037,1.4277126240529758,2.645139512629798,-5.904989047482378,-2.2028675866604797,2024-04-04,0.010744103822153893,0.010156665944057366,591,0.011430956223225042,-0.014865509376666027,-0.02629646559989107,-15.541211169535622
whole,expected_gain,,flat when 0.5 Gamma_t S_t^2 (ridge - slice_t) exceeds the two REALISED half-spreads (ask_t - mid_t) + (mid_t+30 - bid_t+30) (NON-CAUSAL),False,865,290,0.8173410404624277,0.43121387283236995,0.08265895953757225,0.02392735467366434,0.31481574464814716,1.2065310787217798,2.2353539331206567,-6.766985512441273,-2.2028675866604797,2024-04-04,0.009913402716105451,0.009397687317943996,572,0.0190281825066562,-0.014211537639897825,-0.033239720146554026,-19.0131199238289
whole,expected_gain,,flat when 0.5 Gamma_t S_t^2 (C2_log_fit_weight - slice_t) exceeds twice the half-spread quoted at t (causal),True,865,200,0.5630057803468208,0.29595375722543354,0.04841040462427745,0.03526530283592524,0.31568654199503615,1.7733392235904586,3.285485867806769,-5.94855306373827,-2.2028675866604797,2024-04-04,0.006355490947812324,0.0060367706659162045,335,0.01189250190285288,-0.015587482465723931,-0.027479984368576814,-9.20579476347323
whole,expected_gain,,flat when 0.5 Gamma_t S_t^2 (C2_log_fit_weight - slice_t) exceeds the two REALISED half-spreads (ask_t - mid_t) + (mid_t+30 - bid_t+30) (NON-CAUSAL),False,865,182,0.5017341040462427,0.261271676300578,0.044653179190751444,0.032984423968490224,0.31825771669864517,1.6452436823452175,3.0481617930377025,-6.217978222920905,-2.2028675866604797,2024-04-04,0.0053901940394585,0.005201904771521834,309,0.02161523416323019,-0.014561966431606427,-0.03617720059483662,-11.178754983804515
whole,reference,,"15:30 exit if s>0, else cash settlement (the standalone's rule; it moves the terminal treatment, not a bar)",True,865,0,,,,0.07595622597024594,0.3680971990935871,3.2756774831074384,6.068885149031019,-4.68068569194271,-2.3155274867929365,2023-11-30,,,0,,,,25.99185374771419
daily_era,reference,,never toggle (the book of record: short every bar to 15:30),True,489,0,0.0,0.0,0.0,0.053293323690799435,0.33663382173958073,2.5131321677178398,3.5008176369177386,-2.4206059081086444,-2.2028675866604797,2024-04-04,0.0,0.0,0,,,,0.0
daily_era,margin_ridge,0.0,flat on the bar when rv_hat_t - slice_t > 0.00 slice_t (ridge),True,489,438,2.488752556237219,1.3967280163599183,0.4841513292433538,-0.00332384090390051,0.2771859168784885,-0.19035721284036203,-0.265169455306126,-4.988290627285061,-2.2028675866604797,2024-04-04,0.03359963111578634,0.028674343027463262,1894,0.0072143821258599476,-0.007403249070976523,-0.01461763119683647,-27.685793486808272
daily_era,margin_ridge,0.25,flat on the bar when rv_hat_t - slice_t > 0.25 slice_t (ridge),True,489,347,2.044989775051125,1.0695296523517381,0.24539877300613497,0.007293497503534918,0.31684564387144654,0.365416680749187,0.5090290026220063,-4.031016292515567,-2.2028675866604797,2024-04-04,0.028295669138448963,0.02682200683144919,960,0.00976870173436843,-0.01366245972976943,-0.02343116146413786,-22.493915005572347
