sample,day_set,block,family,param,rule,causal,n_placebo,sharpe_rule,placebo_mean,placebo_sd,placebo_q05,placebo_q50,placebo_q95,pct_rank,p_value
whole,full,fixed_rule,margin_ridge,0.0,flat on the bar when rv_hat_t - slice_t > 0.00 slice_t (ridge),True,2000,-0.4196498540069276,-0.3561615479888481,0.19844940876231146,-0.6716474531580174,-0.3581565640562082,-0.023081379162611437,0.3725,0.6276861569215393
whole,full,fixed_rule,margin_ridge,0.25,flat on the bar when rv_hat_t - slice_t > 0.25 slice_t (ridge),True,2000,0.24983363293145688,0.5947864666838213,0.16203711302430235,0.32916174828494144,0.595159049776727,0.8662006647427171,0.013,0.9870064967516242
whole,full,fixed_rule,margin_ridge,0.5,flat on the bar when rv_hat_t - slice_t > 0.50 slice_t (ridge),True,2000,1.0864315991066364,1.3648183677895973,0.1244792940097266,1.167468612227588,1.3621572029602267,1.5728918216649588,0.013,0.9870064967516242
whole,full,fixed_rule,margin_ridge,1.0,flat on the bar when rv_hat_t - slice_t > 1.00 slice_t (ridge),True,2000,1.8856362909568025,2.0267482293984314,0.06973738070333818,1.918567014506051,2.0208634989318304,2.1454280378515027,0.0145,0.9855072463768116
whole,full,fixed_rule,margin_comb,0.0,flat on the bar when f_comb_t - slice_t > 0.00 slice_t (C2_log_fit_weight),True,2000,0.09772196245604864,0.07786950283051663,0.20050091405260875,-0.2529480422559495,0.07930831594061913,0.4126925217113309,0.538,0.4622688655672164
whole,full,fixed_rule,margin_comb,0.25,flat on the bar when f_comb_t - slice_t > 0.25 slice_t (C2_log_fit_weight),True,2000,1.0911278415077488,1.235174299754048,0.13286046240444394,1.022513986285389,1.2277981521176091,1.4529250493207313,0.1355,0.8645677161419291
whole,full,fixed_rule,margin_comb,0.5,flat on the bar when f_comb_t - slice_t > 0.50 slice_t (C2_log_fit_weight),True,2000,1.7389914861139237,1.8285964573246174,0.0909139773426537,1.6855922176593505,1.8259582072417548,1.9829525915120387,0.1645,0.8355822088955522
whole,full,fixed_rule,margin_comb,1.0,flat on the bar when f_comb_t - slice_t > 1.00 slice_t (C2_log_fit_weight),True,2000,2.1075895194104257,2.1813057821176436,0.0436583831349243,2.1230450276387947,2.1727268485425246,2.2663063756184045,0.0085,0.991504247876062
whole,full,fixed_rule,expected_gain,,flat when 0.5 Gamma_t S_t^2 (ridge - slice_t) exceeds twice the half-spread quoted at t (causal),True,2000,1.4277126240529758,1.3332846969627334,0.12136957773674384,1.1361933713705177,1.3323984925017434,1.5375564352438953,0.7815,0.21889055472263869
whole,full,fixed_rule,expected_gain,,flat when 0.5 Gamma_t S_t^2 (ridge - slice_t) exceeds the two REALISED half-spreads (ask_t - mid_t) + (mid_t+30 - bid_t+30) (NON-CAUSAL),False,2000,1.20653107872178,1.3514932055350681,0.11272649822244987,1.174693669132043,1.3467534370380654,1.5434812689264021,0.0925,0.9075462268865567
whole,full,fixed_rule,expected_gain,,flat when 0.5 Gamma_t S_t^2 (C2_log_fit_weight - slice_t) exceeds twice the half-spread quoted at t (causal),True,2000,1.7733392235904586,1.6999877841056372,0.08736679383635235,1.5622847405351514,1.6972128006109268,1.8500137684214946,0.8075,0.19290354822588707
whole,full,fixed_rule,expected_gain,,flat when 0.5 Gamma_t S_t^2 (C2_log_fit_weight - slice_t) exceeds the two REALISED half-spreads (ask_t - mid_t) + (mid_t+30 - bid_t+30) (NON-CAUSAL),False,2000,1.6452436823452175,1.7404623727729005,0.07743933953477156,1.6192510969298786,1.7381865557565326,1.8703791939955496,0.098,0.9020489755122438
whole,oos,fixed_rule,margin_ridge,0.0,flat on the bar when rv_hat_t - slice_t > 0.00 slice_t (ridge),True,2000,-0.06674511407468946,-0.09182941404766391,0.20639710209563863,-0.4223778699717638,-0.09179880569559795,0.24458065218471725,0.543,0.4572713643178411
whole,oos,fixed_rule,margin_ridge,0.25,flat on the bar when rv_hat_t - slice_t > 0.25 slice_t (ridge),True,2000,0.4436040350377682,0.7369843413354957,0.1658000724665249,0.46742590491166086,0.7347336628057967,1.0109291686207342,0.035,0.9650174912543729
whole,oos,fixed_rule,margin_ridge,0.5,flat on the bar when rv_hat_t - slice_t > 0.50 slice_t (ridge),True,2000,1.2040440505264012,1.4533342077822273,0.13155530848351046,1.250592857265129,1.447573014843495,1.681305534240198,0.019,0.9810094952523738
whole,oos,fixed_rule,margin_ridge,1.0,flat on the bar when rv_hat_t - slice_t > 1.00 slice_t (ridge),True,2000,1.9158747135468863,2.0616060936482032,0.07405426637067311,1.9483595271313674,2.0569498093669116,2.1922573067906868,0.016,0.984007996001999
whole,oos,fixed_rule,margin_comb,0.0,flat on the bar when f_comb_t - slice_t > 0.00 slice_t (C2_log_fit_weight),True,2000,-0.06674511407468946,-0.07737505174686868,0.2153659145499961,-0.428640946378223,-0.08001818841070386,0.28162695217233386,0.525,0.4752623688155922
whole,oos,fixed_rule,margin_comb,0.25,flat on the bar when f_comb_t - slice_t > 0.25 slice_t (C2_log_fit_weight),True,2000,1.0035488817234077,1.163796341871469,0.1407201671340025,0.937594898044863,1.1630441536799023,1.4028283774105372,0.126,0.8740629685157422
whole,oos,fixed_rule,margin_comb,0.5,flat on the bar when f_comb_t - slice_t > 0.50 slice_t (C2_log_fit_weight),True,2000,1.6993471897005261,1.7972985131576815,0.09712033764227428,1.6466981284104296,1.7921420747763075,1.9621962165059956,0.155,0.8450774612693653
whole,oos,fixed_rule,margin_comb,1.0,flat on the bar when f_comb_t - slice_t > 1.00 slice_t (C2_log_fit_weight),True,2000,2.0953810924284726,2.1720690698386322,0.04626953810127666,2.1101728914713203,2.163394636723389,2.2652988472212185,0.0115,0.9885057471264368
