sample,cell_set,hhmm,forecast,n,QLIKE,bias_mean_y_over_mean_f
whole,own,10:00,ridge,864,0.16072670595907776,0.8139156550758696
whole,own,10:30,ridge,865,0.13359369966928872,0.9369639041609837
whole,own,11:00,ridge,865,0.1490131337448542,0.8936545404596983
whole,own,11:30,ridge,865,0.13182781478165667,0.9119300103132084
whole,own,12:00,ridge,866,0.13832425828786205,0.9126651263162158
whole,own,12:30,ridge,866,0.16334783340726172,0.8923679533810847
whole,own,13:00,ridge,866,0.1684466854193121,0.8350034272595551
whole,own,13:30,ridge,866,0.1807971527200378,1.01433314625195
whole,own,14:00,ridge,866,0.48359738292994064,0.9768343694046306
whole,own,14:30,ridge,866,0.2323516452239391,0.9771827256876257
whole,own,15:00,ridge,866,0.12694833852965567,0.9408670371696495
whole,own,15:30,ridge,866,0.10999130240054672,0.897376310072768
whole,common,10:00,ridge,801,0.16282629349107064,0.9820807192793015
whole,common,10:30,ridge,802,0.136040442438851,0.9727024099815051
whole,common,11:00,ridge,802,0.14767975171562875,0.9691925478413695
whole,common,11:30,ridge,801,0.12996051918156734,0.9927247234931754
whole,common,12:00,ridge,803,0.1380314970399463,0.9632110869709005
whole,common,12:30,ridge,803,0.16395632512202524,0.9468694446046955
whole,common,13:00,ridge,803,0.16647536338101934,0.9649997107096892
whole,common,13:30,ridge,803,0.17175268978910385,0.983496891867416
whole,common,14:00,ridge,801,0.5134025184156855,1.0555757927601603
whole,common,14:30,ridge,802,0.23507782822570625,1.0562207766694591
whole,common,15:00,ridge,799,0.1246872419472013,1.0323923564391728
whole,common,15:30,ridge,798,0.10169303556974835,0.9274410392431616
daily_era,own,10:00,ridge,489,0.1763948653271919,0.9834564214776541
daily_era,own,10:30,ridge,489,0.10370818792253919,0.9973329590608987
daily_era,own,11:00,ridge,489,0.13275960023744376,0.9893799387398303
daily_era,own,11:30,ridge,489,0.11471524654986226,0.997389419137186
daily_era,own,12:00,ridge,489,0.12130763042726495,0.9741870756015223
daily_era,own,12:30,ridge,489,0.16484139149761773,0.9739350320590805
daily_era,own,13:00,ridge,489,0.1822932845494715,0.9784974403425102
daily_era,own,13:30,ridge,489,0.19122869503724096,0.9777499693293626
