block,sample,family,param,rule,causal,n_days,n_days_toggled,toggles_per_day,flat_runs_per_day,frac_bars_flat,mean,sd,Sharpe_ann,t,MaxDD,worst_day,worst_date,cross_cost_per_day_prem,extra_cost_per_day_prem,n_flat_bars,mean_bar_without_toggle,mean_bar_with_toggle,mean_bar_saved,total_saved_prem,Sharpe_book,delta_Sharpe,beats_book,modal_pick,modal_pick_share,null_share,n_candidates,block_key,p_value,sharpe_rule,adopted
walk_forward_selected,whole,margin_ridge,,"margin_ridge: cell chosen on an expanding window, 5-day embargo",True,797,0,0.0,0.0,0.0,0.046402416770106016,0.32725924533395195,2.2508623989667926,4.002928534433372,-6.070172381929883,-2.2028675866604797,2024-04-04,0.0,0.0,0,,,,0.0,2.2508623989667926,0.0,False,never toggle (the book of record: short every bar to 15:30),1.0,1.0,5,walk_forward_selected,,2.2508623989667926,False
walk_forward_selected,daily_era,margin_ridge,,"margin_ridge: cell chosen on an expanding window, 5-day embargo",True,489,0,0.0,0.0,0.0,0.053293323690799435,0.33663382173958073,2.5131321677178398,3.5008176369177386,-2.4206059081086444,-2.2028675866604797,2024-04-04,0.0,0.0,0,,,,0.0,2.5131321677178398,0.0,False,never toggle (the book of record: short every bar to 15:30),1.0,1.0,5,walk_forward_selected,,2.5131321677178393,False
walk_forward_selected,whole,margin_comb,,"margin_comb: cell chosen on an expanding window, 5-day embargo",True,797,5,0.012547051442910916,0.006273525721455458,0.001097867001254705,0.045911125139322585,0.3283910048139888,2.219355909555758,3.9468974658344447,-6.461731811664276,-2.2028675866604797,2024-04-04,0.0003115046890147357,0.0003115046890147357,7,0.020470027512807125,-0.035467033877820624,-0.05593706139062775,-0.3915594297343939,2.2508623989667926,-0.03150648941103462,False,never toggle (the book of record: short every bar to 15:30),0.795483061480552,0.795483061480552,5,walk_forward_selected,0.8115942028985508,2.2193559095557576,False
walk_forward_selected,daily_era,margin_comb,,"margin_comb: cell chosen on an expanding window, 5-day embargo",True,489,0,0.0,0.0,0.0,0.053293323690799435,0.33663382173958073,2.5131321677178398,3.5008176369177386,-2.4206059081086444,-2.2028675866604797,2024-04-04,0.0,0.0,0,,,,0.0,2.5131321677178398,0.0,False,never toggle (the book of record: short every bar to 15:30),1.0,1.0,5,walk_forward_selected,,2.5131321677178393,False
walk_forward_selected,whole,expected_gain,,"expected_gain: cell chosen on an expanding window, 5-day embargo",True,797,3,0.006273525721455458,0.0037641154328732747,0.00047051442910915934,0.0461598031859045,0.32724551963281656,2.239187749943023,3.982166365351781,-6.263535408538493,-2.2028675866604797,2024-04-04,6.144991854244717e-05,5.3528792729413816e-05,3,0.05023352626775615,-0.01422081593511427,-0.06445434220287043,-0.19336302660861115,2.2508623989667926,-0.011674649023769579,False,never toggle (the book of record: short every bar to 15:30),0.9222082810539524,0.9222082810539524,3,walk_forward_selected,0.8255872063968016,2.239187749943023,False
walk_forward_selected,daily_era,expected_gain,,"expected_gain: cell chosen on an expanding window, 5-day embargo",True,489,0,0.0,0.0,0.0,0.053293323690799435,0.33663382173958073,2.5131321677178398,3.5008176369177386,-2.4206059081086444,-2.2028675866604797,2024-04-04,0.0,0.0,0,,,,0.0,2.5131321677178398,0.0,False,never toggle (the book of record: short every bar to 15:30),1.0,1.0,3,walk_forward_selected,,2.5131321677178393,False
walk_forward_selected,whole,all_families,,"all_families: cell chosen on an expanding window, 5-day embargo",True,797,7,0.01631116687578419,0.00878293601003764,0.0014115432873274781,0.04573623637690923,0.32838821244638156,2.210920540464746,3.931896024765285,-6.601118155307718,-2.2028675866604797,2024-04-04,0.000347406351105642,0.00033948522529260856,9,0.02893067209106976,-0.030063302728689893,-0.058993974819759654,-0.5309457733778364,2.2508623989667926,-0.03994185850204657,False,never toggle (the book of record: short every bar to 15:30),0.7791718946047679,0.7791718946047679,11,walk_forward_selected,0.8730634682658671,2.210920540464746,False
walk_forward_selected,daily_era,all_families,,"all_families: cell chosen on an expanding window, 5-day embargo",True,489,0,0.0,0.0,0.0,0.053293323690799435,0.33663382173958073,2.5131321677178398,3.5008176369177386,-2.4206059081086444,-2.2028675866604797,2024-04-04,0.0,0.0,0,,,,0.0,2.5131321677178398,0.0,False,never toggle (the book of record: short every bar to 15:30),1.0,1.0,11,walk_forward_selected,,2.5131321677178393,False
fixed_rule_oos,whole,margin_ridge,0.0,flat on the bar when rv_hat_t - slice_t > 0.00 slice_t (ridge),True,797,659,2.3074027603513176,1.2659974905897113,0.39978042659974905,-0.0011575896257309101,0.275318513938721,-0.06674511407468958,-0.11869935798217894,-10.549912379986308,-2.2028675866604797,2024-04-04,0.03751989392776337,0.033135862021462466,2549,0.0045100208185078275,-0.010360644186389009,-0.014870665004896836,-37.90532509748203,2.2508623989667926,-2.3176075130414824,False,flat on the bar when rv_hat_t - slice_t > 0.00 slice_t (ridge),1.0,,1,fixed_rule,0.4572713643178411,-0.06674511407468946,False
fixed_rule_oos,whole,margin_ridge,0.25,flat on the bar when rv_hat_t - slice_t > 0.25 slice_t (ridge),True,797,477,1.697616060225847,0.8795483061480552,0.19149937264742786,0.008851922543391098,0.31676879141947273,0.443604035037768,0.7889043997791979,-7.9320474249442325,-2.2028675866604797,2024-04-04,0.02775981498558339,0.026765222816663596,1221,0.007040017456028586,-0.017470829307846755,-0.02451084676387534,-29.927743898691787,2.2508623989667926,-1.8072583639290247,False,flat on the bar when rv_hat_t - slice_t > 0.25 slice_t (ridge),1.0,,1,fixed_rule,0.9650174912543729,0.4436040350377682,False
