,baseline (HAR + calendar OLS),block-diagonal ridge,LightGBM,XGBoost,lasso (causally tuned),lasso (fixed 1e-4),elastic net (causally tuned),pct_buy (ridge)
c = 0 x past sd(s),0.9673095454705917,1.3383216004229939,1.4593971219265764,1.4980323951467007,1.4131037944414562,1.509829846463058,1.0224751588133707,39.95381062355658
c = 0.25 x past sd(s),0.2967094631511248,0.1520464708960048,0.5010673768785734,0.5308341955933362,-0.01344615371066544,0.07766613716958402,-0.10930048457021956,5.658198614318707
c = 0.5 x past sd(s),0.20471790613262678,0.08756365439397923,0.22627772001390714,0.31999915558244585,-0.0010192116855529305,0.05505270725268027,-0.01505144816175049,4.849884526558892
c = 1 x past sd(s),0.2400013466081743,0.09684264155499973,0.29132370003638913,0.37057555900735484,0.012712077283932546,0.06433142135767034,-0.021283281579729946,4.734411085450346
rank(s) > 0.50,0.6420525607704834,1.179833666838715,0.8852937737215503,0.9522765115625011,1.0590428905619425,1.10834583981494,0.7933344472324813,53.5796766743649
rank(s) > 0.60,0.6458385880653736,1.0141892203229848,1.2774784456230779,1.162069429111199,0.9879431594096949,1.0937178032086268,0.6519392280166745,42.725173210161664
rank(s) > 0.70,0.8556301082685014,1.2609751964870581,1.4466682733552558,1.112918273696121,1.3549256355803392,1.0511588470924769,1.1325799823500213,31.87066974595843
rank(s) > 0.80,0.3057136079915712,0.3198794635399142,0.7095666899886818,0.805837521820024,0.6673505131877996,0.15837916452785192,0.4971371727770308,19.861431870669747
