forecast,n,untradeable,pct_buy,E_R_given_buy,E_negR_given_sell,Sharpe_crossed
baseline (HAR + calendar OLS),866,0,33.02540415704388,0.0819280568423989,0.06201173826050942,0.49093223601728486
block-diagonal ridge,866,0,39.95381062355658,0.10044262563358049,0.09093948539113125,0.8695876808926679
LightGBM,866,0,33.48729792147806,0.1325323209944572,0.08848916149750344,0.9818045726793189
XGBoost,866,0,32.21709006928407,0.1419622475913469,0.08882938843638022,1.0215325976383653
lasso (causally tuned),866,0,37.06697459584296,0.11535117527955098,0.09094148843835828,0.9346206571000508
lasso (fixed 1e-4),866,0,41.339491916859124,0.11163552409944431,0.10334823142080801,1.0444324681697883
elastic net (causally tuned),866,0,35.45034642032333,0.08181871609716135,0.06735908725581025,0.5449047239483719
