rule,forecast,n,mean_active,te_daily,te_ann,IR_ann,t_active,t_lag,corr_to_bench
sign(s),baseline (HAR + calendar OLS),866.0,0.05411414378042976,1.500875570158883,23.825661044956078,0.5723561754252028,1.2876137446535572,14.0,0.11262361440097804
sign(s),block-diagonal ridge,866.0,0.08026131286193731,1.6659845439782326,26.44668474866252,0.7647783090177713,1.5655519595098029,14.0,-0.09519840730332774
sign(s),LightGBM,866.0,0.08876298634732697,1.6118523468662052,25.5873627597828,0.874192185006419,1.8234157215054159,14.0,-0.02586475971005835
sign(s),XGBoost,866.0,0.09147221034176857,1.5826832732506726,25.12431807121779,0.917477518823992,1.8987487580657507,14.0,0.010707321787425792
sign(s),lasso (causally tuned),866.0,0.08551438167375487,1.5902447840228067,25.244353333451805,0.8536413627688527,1.8238573743094855,14.0,0.0017159571240277607
sign(s),lasso (fixed 1e-4),866.0,0.0922991169228662,1.742979040390677,27.668934487630416,0.8406314841997456,1.7175472960204665,14.0,-0.19991935643797562
sign(s),elastic net (causally tuned),866.0,0.058010036586209075,1.5458676355825456,24.539887941449035,0.5957048073978081,1.1826744223655419,14.0,0.05841988096656275
"sign(s), threshold c = 0.5 x past sd(s)",baseline (HAR + calendar OLS),866.0,6.667312710859004e-05,0.604305596660733,9.593053947892825,0.0017514368336326593,0.0036467492577735273,14.0,0.8563971925588307
"sign(s), threshold c = 0.5 x past sd(s)",block-diagonal ridge,866.0,-0.00825471337133283,0.6100341858090504,9.683992481391092,-0.21480683443044735,-0.4584301356143498,14.0,0.8536716417707448
"sign(s), threshold c = 0.5 x past sd(s)",LightGBM,866.0,0.0015978332128977876,0.6180691046351752,9.811542863502195,0.04103880248519005,0.08882655992881398,14.0,0.8497786079481823
"sign(s), threshold c = 0.5 x past sd(s)",XGBoost,866.0,0.008252707516178815,0.6250784419677157,9.922812644125772,0.2095859680781353,0.4237936549366685,14.0,0.846336440781848
"sign(s), threshold c = 0.5 x past sd(s)",lasso (causally tuned),866.0,-0.014547442802037026,0.3707138973825527,5.884900680178518,-0.6229426434435804,-1.2960891331250655,14.0,0.9459629970473912
"sign(s), threshold c = 0.5 x past sd(s)",lasso (fixed 1e-4),866.0,-0.010564182193503729,0.613777218064583,9.743411276375685,-0.2732281166471713,-0.5754406590459753,14.0,0.8518718221012588
"sign(s), threshold c = 0.5 x past sd(s)",elastic net (causally tuned),866.0,-0.015544276141848466,0.37294085137960853,5.920252478922864,-0.6616538064367324,-1.1392666317533573,14.0,0.9453117998679699
heaviside(s): long only [diagnostic],baseline (HAR + calendar OLS),866.0,0.012582032705261764,1.7214044239507011,27.326448069239724,0.11602943176852398,0.25259111846558785,14.0,-0.666839186004066
heaviside(s): long only [diagnostic],block-diagonal ridge,866.0,0.02565561724601553,1.8323560454343955,29.087750457271085,0.22226591758936795,0.4762971219086601,14.0,-0.7410570418998328
heaviside(s): long only [diagnostic],LightGBM,866.0,0.029906453988710387,1.7959103046614242,28.50919225867423,0.2643507517426061,0.5625815631267924,14.0,-0.7175960467213724
heaviside(s): long only [diagnostic],XGBoost,866.0,0.03126106598593117,1.776426548258839,28.199897214394614,0.2793552248989562,0.5944085156709382,14.0,-0.7048740607778569
heaviside(s): long only [diagnostic],lasso (causally tuned),866.0,0.028282151651924322,1.78131165204506,28.2774458328771,0.25204193682862697,0.549075413165756,14.0,-0.7078697446928814
heaviside(s): long only [diagnostic],lasso (fixed 1e-4),866.0,0.031674519276479976,1.8856289473968553,29.933431558539443,0.2666576614199065,0.5650066038528191,14.0,-0.7757121483485369
heaviside(s): long only [diagnostic],elastic net (causally tuned),866.0,0.014529979108151417,1.751090450495635,27.797699131149066,0.13172150392660217,0.2741979619507495,14.0,-0.6869084473353525
"sign(s), long side doubled",baseline (HAR + calendar OLS),866.0,0.08117121567064464,2.251313355238324,35.73849156743411,0.5723561754252029,1.2876137446535576,14.0,-0.21739172323980854
"sign(s), long side doubled",block-diagonal ridge,866.0,0.12039196929290595,2.498976815967349,39.67002712299378,0.7647783090177711,1.565551959509802,14.0,-0.3963046464496767
