c,forecast,n,untradeable,pct_buy,n_moved,mean_R_moved,E_R_given_buy,E_negR_given_sell,d_contrib_buy,d_contrib_sell,identity_gap,Sharpe_crossed_sign,Sharpe_crossed,dSharpe_crossed,pct_lo,pct_hi,interval,t_diff,t_lag
0.05,baseline (HAR + calendar OLS),866,0,26.32794457274827,58,0.1468735249286027,0.0654068412766102,0.04302216887968107,-0.00983679497212351,-0.009836794972123489,-2.0816681711721685e-17,0.49093223601728486,0.20912165093428398,-0.2818105850830009,-0.7718706669067489,0.16124563676796808,includes zero,-1.2056127951041125,14
0.1,baseline (HAR + calendar OLS),866,0,21.016166281755197,104,0.14916087361896502,0.043509304398646816,0.029903621834390527,-0.017913084129760237,-0.017913084129760212,-2.42861286636753e-17,0.49093223601728486,-0.01910220203751389,-0.5100344380547988,-1.3417874541037125,0.32042260505352776,includes zero,-1.1136166320128669,14
0.2,baseline (HAR + calendar OLS),866,0,15.1270207852194,155,0.003278360801953092,0.17498685750094164,0.04824307791400374,-0.0005867735846451852,-0.0005867735846451644,-2.0816681711721685e-17,0.49093223601728486,0.45623304756496863,-0.03469918845231623,-1.0300643482891418,0.9569678066693182,includes zero,-0.04879648447568332,14
0.05,block-diagonal ridge,866,0,33.8337182448037,53,-0.06598130270617031,0.13054661267114634,0.08863096238536697,0.004038116678322198,0.004038116678322198,0.0,0.8695876808926679,0.9787549784958497,0.10916729760318178,-0.39445930397674345,0.5992155578893349,includes zero,0.4584189575797675,14
0.1,block-diagonal ridge,866,0,29.445727482678986,91,-0.05464773247290569,0.1557885965656991,0.08553433070118276,0.005742429162857297,0.0057424291628572904,6.938893903907228e-18,0.8695876808926679,1.0219135067305785,0.15232582583791054,-0.5641967430628622,0.8256246047307998,includes zero,0.4593643752389186,14
0.2,block-diagonal ridge,866,0,20.207852193995382,171,0.1143856077867741,0.08681834021531701,0.04012821052366117,-0.022586534562977337,-0.02258653456297735,1.3877787807814457e-17,0.8695876808926679,0.21314463732905342,-0.6564430435636145,-1.6365395394511164,0.34701607854724753,includes zero,-1.1656430748514433,14
0.05,LightGBM,866,0,27.9445727482679,48,0.07171028390305237,0.1445961961200251,0.07616612723592223,-0.003974703957674949,-0.003974703957674956,6.938893903907228e-18,0.9818045726793189,0.8629193020011096,-0.11888527067820931,-0.7093568509750288,0.4142390895308714,includes zero,-0.39393110531230846,14
0.1,LightGBM,866,0,22.863741339491916,92,-0.0021631967063622925,0.19511811709786828,0.0765999567657894,0.00022980842608007201,0.00022980842608006508,6.938893903907228e-18,0.9818045726793189,0.976496730084787,-0.005307842594531875,-0.6603738656644618,0.6522612209306047,includes zero,0.007173968304321967,14
0.2,LightGBM,866,0,13.163972286374134,176,0.07308519639454415,0.2243103379206387,0.05067388624617315,-0.014853342454318439,-0.014853342454318443,3.469446951953614e-18,0.9818045726793189,0.5385406277318976,-0.4432639449474213,-1.5019548549791824,0.7073988652639516,includes zero,-0.7113982230866976,14
0.05,XGBoost,866,0,27.829099307159353,38,-0.09263385732740584,0.17895250479845315,0.08906070014495457,0.004064765102126347,0.00406476510212634,6.938893903907228e-18,1.0215325976383653,1.132869204726192,0.11133660708782656,-0.3017885135673862,0.48415384949020807,includes zero,0.5589919879577155,14
0.1,XGBoost,866,0,22.51732101616628,84,-0.019100059847076512,0.2113429338725139,0.08010023254740628,0.0018526616941736962,0.0018526616941736962,0.0,1.0215325976383653,1.0604552723670309,0.03892267472866551,-0.7090124642801644,0.7889105663360995,includes zero,0.12360820746941281,14
0.2,XGBoost,866,0,13.279445727482678,164,0.11884226598343436,0.1749333517974134,0.04347898720488939,-0.022505925659680428,-0.02250592565968044,1.0408340855860843e-17,1.0215325976383653,0.36517708124701526,-0.6563555163913501,-1.7084406084511794,0.3849729880631965,includes zero,-1.131914753969956,14
0.05,lasso (causally tuned),866,0,31.755196304849886,46,-0.1081098038909499,0.15273010270443474,0.09227777018255322,0.005742553093514652,0.005742553093514659,-6.938893903907228e-18,0.9346206571000508,1.0917369125099954,0.15711625540994456,-0.2743134486900944,0.5353900822189899,includes zero,0.7650452085397406,14
0.1,lasso (causally tuned),866,0,25.40415704387991,101,-0.0242914016356382,0.17945981286334237,0.08052096403112186,0.0028330618535790456,0.0028330618535790525,-6.938893903907228e-18,0.9346206571000508,1.0021460966671454,0.06752543956709456,-0.618615929738464,0.7502095178782511,includes zero,0.2117051232143759,14
0.2,lasso (causally tuned),866,0,16.28175519630485,180,0.08762750825676549,0.1507430906277877,0.046607116845086144,-0.01821356984551709,-0.018213569845517093,3.469446951953614e-18,0.9346206571000508,0.40067827593215116,-0.5339423811678996,-1.5905182629990968,0.6164399123297417,includes zero,-0.8933772541223403,14
0.05,lasso (fixed 1e-4),866,0,35.33487297921478,52,-0.021698891063651228,0.13429366000951284,0.09576650695907202,0.0013029357220668142,0.0013029357220668142,0.0,1.0444324681697883,1.0740874706987875,0.02965500252899922,-0.5708789078853748,0.6203258748554232,includes zero,0.1166809978455907,14
0.1,lasso (fixed 1e-4),866,0,29.445727482678986,103,0.055196447854285284,0.13443248430827323,0.07662138696035854,-0.006564935483823774,-0.0065649354838237875,1.3877787807814457e-17,1.0444324681697883,0.8409843231877291,-0.2034481449820592,-1.1536888059657098,0.6874654671092282,includes zero,-0.43311490889533394,14
0.2,lasso (fixed 1e-4),866,0,19.51501154734411,189,0.1605436038388371,0.05693950592935419,0.031790761027590014,-0.03503780730431894,-0.03503780730431898,3.469446951953614e-17,1.0444324681697883,0.03372456084862243,-1.0107079073211658,-2.1702005055761107,0.1883703964394189,includes zero,-1.6443652510732174,14
0.05,elastic net (causally tuned),866,0,30.023094688221708,47,-0.1772055910760661,0.1286423408553986,0.07587853557190267,0.009617393511056695,0.009617393511056692,3.469446951953614e-18,0.5449047239483719,0.8120097708641227,0.2671050469157509,-0.20281356047198518,0.677264147039373,includes zero,1.1604323763743758,14
0.1,elastic net (causally tuned),866,0,24.59584295612009,94,-0.03758863325776994,0.13451491722093378,0.06307360076910919,0.004080059499111267,0.004080059499111277,-1.0408340855860843e-17,0.5449047239483719,0.6496787773431008,0.1047740533947289,-0.6339192463098742,0.8375204265178627,includes zero,0.2786810986676107,14
0.2,elastic net (causally tuned),866,0,16.859122401847575,161,0.04415527435850698,0.12335168952129381,0.042423236950386516,-0.00820900597196263,-0.008209005971962634,3.469446951953614e-18,0.5449047239483719,0.2993745095806714,-0.24553021436770045,-1.1949548874632951,0.7588422078325022,includes zero,-0.44905438437371276,14
