rule,forecast,n,mean,std,min,25%,50%,75%,max,skew,ex_kurt,t_mean,Sharpe_ann,n_buy,pct_buy,worst_day,maxDD_premium,maxDD_usd
always short,baseline (HAR + calendar OLS),866.0,0.014475039184953114,1.1276136351186241,-10.31604850795286,-0.44860321730068753,0.3273560071867437,0.9281034342060902,1.0,-2.3116209895688082,10.891894237059224,0.3777620924688714,0.203779128108568,0.0,0.0,-10.31604850795286,-19.29450247410446,-32921.90940082073
always short,block-diagonal ridge,866.0,0.014475039184953114,1.1276136351186241,-10.31604850795286,-0.44860321730068753,0.3273560071867437,0.9281034342060902,1.0,-2.3116209895688082,10.891894237059224,0.3777620924688714,0.203779128108568,0.0,0.0,-10.31604850795286,-19.29450247410446,-32921.90940082073
always short,LightGBM,866.0,0.014475039184953114,1.1276136351186241,-10.31604850795286,-0.44860321730068753,0.3273560071867437,0.9281034342060902,1.0,-2.3116209895688082,10.891894237059224,0.3777620924688714,0.203779128108568,0.0,0.0,-10.31604850795286,-19.29450247410446,-32921.90940082073
always short,XGBoost,866.0,0.014475039184953114,1.1276136351186241,-10.31604850795286,-0.44860321730068753,0.3273560071867437,0.9281034342060902,1.0,-2.3116209895688082,10.891894237059224,0.3777620924688714,0.203779128108568,0.0,0.0,-10.31604850795286,-19.29450247410446,-32921.90940082073
always short,lasso (causally tuned),866.0,0.014475039184953114,1.1276136351186241,-10.31604850795286,-0.44860321730068753,0.3273560071867437,0.9281034342060902,1.0,-2.3116209895688082,10.891894237059224,0.3777620924688714,0.203779128108568,0.0,0.0,-10.31604850795286,-19.29450247410446,-32921.90940082073
always short,lasso (fixed 1e-4),866.0,0.014475039184953114,1.1276136351186241,-10.31604850795286,-0.44860321730068753,0.3273560071867437,0.9281034342060902,1.0,-2.3116209895688082,10.891894237059224,0.3777620924688714,0.203779128108568,0.0,0.0,-10.31604850795286,-19.29450247410446,-32921.90940082073
always short,elastic net (causally tuned),866.0,0.014475039184953114,1.1276136351186241,-10.31604850795286,-0.44860321730068753,0.3273560071867437,0.9281034342060902,1.0,-2.3116209895688082,10.891894237059224,0.3777620924688714,0.203779128108568,0.0,0.0,-10.31604850795286,-19.29450247410446,-32921.90940082073
sign(s),baseline (HAR + calendar OLS),866.0,0.06858918296538287,1.1256164375007374,-5.422480279928936,-0.6430663056253741,0.1586647240925511,0.8816541730531962,10.31604850795286,0.5794146283451005,10.7074057139679,1.7931810846074554,0.9673095454705917,286.0,33.02540415704388,-5.422480279928936,-16.60742152654813,-27452.519476413727
sign(s),block-diagonal ridge,866.0,0.0947363520468904,1.1237156788965348,-5.422480279928936,-0.7170448966007549,0.12983198821344838,0.8695166602899376,10.31604850795286,0.9170372959055465,10.61222384546339,2.480956577175688,1.3383216004229939,346.0,39.953810623556585,-5.422480279928936,-17.702163982122265,-27310.981446504593
sign(s),LightGBM,866.0,0.10323802553228009,1.1229656573935265,-5.422480279928936,-0.6416329593382405,0.16113961605060073,0.8926562869768659,10.31604850795286,1.0120043366349225,10.578266500830091,2.705404207188048,1.4593971219265764,290.0,33.48729792147806,-5.422480279928936,-17.952168348093153,-15290.986001491547
