rule,forecast,causal_g_ann,causal_terminal,causal_maxDD,causal_worst_day_factor,half_g_ann,half_terminal,half_maxDD,half_worst_day_factor,mean_f,ruin_cap_f,n
heaviside(s): long only [diagnostic],baseline (HAR + calendar OLS),-0.04125018271553127,0.8678324783122162,-0.43422393041793017,0.9457326336993601,-0.009769346574796094,0.9669848631743607,-0.23204151606236867,0.9728663168496801,0.02998157731358797,1.0,866.0
heaviside(s): long only [diagnostic],block-diagonal ridge,0.12692789772660135,1.5468006916529007,-0.5977644116781015,0.9132910832993444,0.09887574666352497,1.4046487733267956,-0.35447914067992614,0.9566455416496722,0.0444219620012318,1.0,866.0
heaviside(s): long only [diagnostic],LightGBM,0.2764966737413257,2.5861829229911364,-0.7205706244594572,0.8919195947844791,0.21274432305345437,2.077359372287932,-0.45047984021062015,0.9459597973922396,0.07191513398314651,1.0,866.0
heaviside(s): long only [diagnostic],XGBoost,0.31016744508602623,2.9034302612487246,-0.6790428332538885,0.8876270266528552,0.2429495570459116,2.3045791558205737,-0.4235069157797773,0.9438135133264276,0.0777531305827484,1.0,866.0
heaviside(s): long only [diagnostic],lasso (causally tuned),0.160398303444648,1.7353515976143947,-0.5509654148962223,0.9178832012833169,0.1143687297989764,1.4814614216660427,-0.2948296810436247,0.9589416006416585,0.04234797718687494,1.0,866.0
heaviside(s): long only [diagnostic],lasso (fixed 1e-4),0.18928791944783516,1.916478595936672,-0.5935644876866071,0.9087318372089486,0.13342855965800662,1.5817444246205834,-0.34311823609406866,0.9543659186044743,0.04405071130833721,1.0,866.0
heaviside(s): long only [diagnostic],elastic net (causally tuned),0.01390006098344668,1.048926929701647,-0.6235309708246544,0.9215418038629104,0.023189575745455004,1.0829525581389994,-0.3739880859945728,0.9607709019314552,0.030525030023321572,1.0,866.0
"sign(s), wings on selling days (25 points)",baseline (HAR + calendar OLS),0.0015204264905483698,1.0052386315979411,-0.489297815655383,0.7455710388766922,0.040478304136311795,1.1492436305484734,-0.27166311019451894,0.872785519438346,0.024728214507570727,0.18393968233821337,866.0
"sign(s), wings on selling days (25 points)",block-diagonal ridge,0.3949818378031585,3.8859140015635614,-0.7316006700799275,0.6116903661561747,0.32325995103433863,3.0370461664592523,-0.4375774781741447,0.8058451830780873,0.050710020154570844,0.18393968233821337,866.0
"sign(s), wings on selling days (25 points)",LightGBM,0.37784387447364765,3.663663024877364,-0.8803910853521497,0.5895383809904182,0.3733926365850274,3.608047470254844,-0.593556306886627,0.7947691904952091,0.06650271130072218,0.18393968233821337,866.0
"sign(s), wings on selling days (25 points)",XGBoost,0.3142340953019819,2.944290768390836,-0.8759460653035966,0.5227445848047898,0.3659668014868379,3.517138798738503,-0.5611347771994181,0.7613722924023949,0.06922887592687983,0.18393968233821337,866.0
"sign(s), wings on selling days (25 points)",lasso (causally tuned),0.49642869497799835,5.506786001707511,-0.7084918326405799,0.6616658278804217,0.31652386521008985,2.9675502324459444,-0.4252246108693801,0.8308329139402109,0.03332620151745388,0.14558540155043734,866.0
"sign(s), wings on selling days (25 points)",lasso (fixed 1e-4),0.6356808595155852,8.886402671973395,-0.7282604611827685,0.6307854009179201,0.4429783310662673,4.5827467727961855,-0.44056435460471377,0.8153927004589601,0.05176909257885538,0.18393968233821337,866.0
"sign(s), wings on selling days (25 points)",elastic net (causally tuned),0.12716672633772313,1.548070728422707,-0.5041863140718073,0.7853408865823788,0.09579613294539019,1.3898615962662506,-0.27877235483293517,0.8926704432911894,0.023281705474883178,0.14558540155043734,866.0
"sign(s), wings on selling days (50 points)",baseline (HAR + calendar OLS),0.11964032513364893,1.5085439692390485,-0.5460594404117323,0.7025185339444526,0.11789043679616586,1.4994995538710547,-0.3079244211792461,0.8512592669722263,0.029989499471075414,0.18393968233821337,866.0
"sign(s), wings on selling days (50 points)",block-diagonal ridge,0.5297608981697766,6.175115155548702,-0.7347279802612179,0.5811764027909394,0.4117917152484759,4.11700310772618,-0.4272055902182774,0.7905882013954697,0.05352357256314369,0.18393968233821337,866.0
"sign(s), wings on selling days (50 points)",LightGBM,0.6396361249462339,9.008013948516664,-0.9112302558835375,0.5300861959586145,0.5608156199012576,6.870571762188008,-0.629641196354245,0.7650430979793073,0.07433403899764215,0.18393968233821337,866.0
"sign(s), wings on selling days (50 points)",XGBoost,0.6032147684741522,7.948254456039641,-0.9089997412752833,0.4572941086287944,0.5846753618445396,7.45765872602024,-0.5946131992403428,0.7286470543143972,0.07937576169641768,0.18393968233821337,866.0
"sign(s), wings on selling days (50 points)",lasso (causally tuned),0.6658620987013887,9.85757688916962,-0.7427327362200289,0.6219000414844271,0.4249556076280591,4.307524246371616,-0.4511615964876826,0.8109500207422136,0.038835962275400426,0.14558540155043734,866.0
"sign(s), wings on selling days (50 points)",lasso (fixed 1e-4),0.8224630911287247,16.88458271452065,-0.7551503993909343,0.5962173805749511,0.5625274268254972,6.911107962273415,-0.46086999466789047,0.7981086902874756,0.05629080645841684,0.18393968233821337,866.0
"sign(s), wings on selling days (50 points)",elastic net (causally tuned),0.2614006608245017,2.4554387091145484,-0.5692432306916473,0.7358664644178564,0.18358619507324986,1.8792925755056846,-0.31940098398925554,0.8679332322089282,0.029940513512999894,0.14558540155043734,866.0
