width,forecast,n,Sharpe_plain,Sharpe_winged,Sharpe_always_short,worst_plain,worst_winged,maxDD_plain,maxDD_winged,wing_cost_per_day,t_wing_cost,t_lag
25,baseline (HAR + calendar OLS),866,0.9673095454705917,0.7249984850842999,0.203779128108568,-5.422480279928936,-5.436564787370249,-16.60742152654813,-17.481402117660707,0.018278931288155307,2.9748441622722415,14
25,block-diagonal ridge,866,1.3383216004229939,1.1586116044782784,0.203779128108568,-5.422480279928936,-5.436564787370249,-17.702163982122265,-14.811211341301103,0.014542001536182575,2.1931408153362306,14
25,LightGBM,866,1.4593971219265764,1.1528970524230768,0.203779128108568,-5.422480279928936,-5.436564787370249,-17.952168348093153,-18.924500251643643,0.022602326206287854,4.722975283573086,14
25,XGBoost,866,1.4980323951467007,1.1744321641290147,0.203779128108568,-5.422480279928936,-5.436564787370249,-13.221938145615525,-14.249733779155733,0.02373660320946549,5.651050256380122,14
25,lasso (causally tuned),866,1.4131037944414562,1.1894969028547022,0.203779128108568,-6.83603367783646,-6.8688205640835145,-16.633056482325678,-15.046609331878713,0.017617573114477963,2.7954404747956816,14
25,lasso (fixed 1e-4),866,1.509829846463058,1.3261377452683876,0.203779128108568,-5.422480279928936,-5.436564787370249,-19.702163982122265,-14.957631987671235,0.014790581251766006,2.240591294954232,14
25,elastic net (causally tuned),866,1.0224751588133707,0.772509352547039,0.203779128108568,-6.83603367783646,-6.8688205640835145,-21.803623165612162,-18.950532324740756,0.01877680631678619,3.1895078613579066,14
50,baseline (HAR + calendar OLS),866,0.9673095454705917,0.8827635681785917,0.203779128108568,-5.422480279928936,-5.436564787370249,-16.60742152654813,-15.720259615301098,0.006312322908253842,2.5068247209397465,14
50,block-diagonal ridge,866,1.3383216004229939,1.2804984990861625,0.203779128108568,-5.422480279928936,-5.436564787370249,-17.702163982122265,-15.62966870123659,0.004633111550885726,1.7664129313792782,14
50,LightGBM,866,1.4593971219265764,1.3532379477116125,0.203779128108568,-5.422480279928936,-5.436564787370249,-17.952168348093153,-18.378585506039585,0.007720953465767489,4.052643793757188,14
50,XGBoost,866,1.4980323951467007,1.393465357744258,0.203779128108568,-5.422480279928936,-5.436564787370249,-13.221938145615525,-13.656298370844581,0.007624916310499832,3.5703001759304573,14
50,lasso (causally tuned),866,1.4131037944414562,1.336908902814484,0.203779128108568,-6.83603367783646,-6.8688205640835145,-16.633056482325678,-15.100324628333937,0.005904258335060433,2.428970578919436,14
50,lasso (fixed 1e-4),866,1.509829846463058,1.4556703891512301,0.203779128108568,-5.422480279928936,-5.436564787370249,-19.702163982122265,-17.612861977758314,0.00445413910256845,1.6965927962246439,14
50,elastic net (causally tuned),866,1.0224751588133707,0.9414208062114185,0.203779128108568,-6.83603367783646,-6.8688205640835145,-21.803623165612162,-20.32980988192447,0.006102640481963505,2.5856856542465447,14
