rule,forecast,n,mean,std,min,t_mean,Sharpe_ann,IR_ann_vs_winged_short
"sign(s), wings on selling days (25 points)",baseline (HAR + calendar OLS),866.0,0.029797915466154134,0.8167501701297565,-1.0,1.0736323679479833,0.5791578144321236,0.5505788102838073
"sign(s), wings on selling days (25 points)",block-diagonal ridge,866.0,0.043501866448288136,0.890147363726016,-1.0,1.438152454449488,0.7757937048145271,0.7151472112201193
"sign(s), wings on selling days (25 points)",LightGBM,866.0,0.052050257920683705,0.8623035567166544,-1.0,1.7763218356910153,0.9582150303954969,0.8669655955290138
"sign(s), wings on selling days (25 points)",XGBoost,866.0,0.05309139541227578,0.8476969877631481,-1.0,1.8430726148183174,0.9942229195996,0.8964997423379294
"sign(s), wings on selling days (25 points)",lasso (causally tuned),866.0,0.04775371674154207,0.8554227130760371,-1.0,1.6428024717233616,0.8861896469137462,0.8072564868497106
"sign(s), wings on selling days (25 points)",lasso (fixed 1e-4),866.0,0.05201298271622312,0.9239040476753086,-1.0,1.6566998602009733,0.8936864226977991,0.8095607870889238
"sign(s), wings on selling days (25 points)",elastic net (causally tuned),866.0,0.03070350367313531,0.8364115462610436,-1.0,1.080256438873319,0.5827310882587065,0.5459677368496422
"sign(s), wings on selling days (50 points)",baseline (HAR + calendar OLS),866.0,0.028464818505396318,0.7675842219938659,-1.0,1.0912928907791233,0.5886845668941052,0.5719460459347764
"sign(s), wings on selling days (50 points)",block-diagonal ridge,866.0,0.041188443306005615,0.8483490457468114,-1.0,1.428761531811072,0.7707278867625238,0.7390315980731018
"sign(s), wings on selling days (50 points)",LightGBM,866.0,0.049842484169443174,0.8188420825944523,-1.0,1.7912593545189728,0.9662728917414373,0.9054522180126826
"sign(s), wings on selling days (50 points)",XGBoost,866.0,0.05143738437875324,0.8038606350074737,-1.0,1.88302922557179,1.0157770232638976,0.947467105256363
"sign(s), wings on selling days (50 points)",lasso (causally tuned),866.0,0.04589429504908715,0.8105450136817695,-1.0,1.6662513370749652,0.8988388497632321,0.8511431249244026
"sign(s), wings on selling days (50 points)",lasso (fixed 1e-4),866.0,0.04833936588588678,0.885599452701024,-1.0,1.6062848216605516,0.8664906484204381,0.8236491170449393
"sign(s), wings on selling days (50 points)",elastic net (causally tuned),866.0,0.03120577407663866,0.7886200644721669,-1.0,1.164464045354787,0.6281558488977507,0.6036445699531912
