base,m_long,m_short,iv tilt,mean,std,Sharpe_ann,t_mean,min,pct_buy
sign(s),1.0,1.0,off,0.0947363520468904,1.1237156788965348,1.3383216004229939,2.480956577175688,-5.422480279928936,39.953810623556585
sign(s),1.0,1.0,on,0.13251944425382228,1.640350142363123,1.2824584861046802,2.3773985378780087,-5.422480279928936,39.953810623556585
sign(s),1.0,0.5,off,0.06743350423892953,0.9137802677647539,1.1714782330740265,2.17166533548032,-2.711240139964468,39.953810623556585
sign(s),1.0,0.5,on,0.10521659644586143,1.5050154808212117,1.1097970148738752,2.057321799566749,-2.711240139964468,39.953810623556585
sign(s),1.5,1.0,off,0.11480168026237474,1.458728277546234,1.2493212097493012,2.3159692493590294,-5.422480279928936,39.953810623556585
sign(s),1.5,1.0,on,0.1714763185727726,2.311712085070399,1.1775264686561338,2.182877446114262,-5.422480279928936,39.953810623556585
sign(s),1.5,0.5,off,0.08749883245441385,1.304316904114859,1.0649259391757466,1.9741406042972154,-2.711240139964468,39.953810623556585
sign(s),1.5,0.5,on,0.14417347076481166,2.218212230313184,1.0317691267337676,1.9126751001313191,-3.0,39.953810623556585
sign(s),2.0,1.0,off,0.13486700847785907,1.8275605355295077,1.1714782330740265,2.17166533548032,-5.422480279928936,39.953810623556585
sign(s),2.0,1.0,on,0.21043319289172285,3.0100309616424235,1.1097970148738752,2.057321799566749,-5.422480279928936,39.953810623556585
sign(s),2.0,0.5,off,0.10756416066989818,1.7071698385222573,1.0002098655712692,1.854171107871791,-2.711240139964468,39.953810623556585
sign(s),2.0,0.5,on,0.18313034508376194,2.9391952726870905,0.9890816478310039,1.8335418174335079,-4.0,39.953810623556585
sign(s),3.0,1.0,off,0.1749976649088277,2.608633808229718,1.0649259391757466,1.9741406042972154,-5.422480279928936,39.953810623556585
sign(s),3.0,1.0,on,0.2883469415296233,4.436424460626368,1.0317691267337676,1.9126751001313191,-6.0,39.953810623556585
sign(s),3.0,0.5,off,0.1476948171008668,2.5261859764774197,0.9281116108330738,1.7205166564760437,-3.0,39.953810623556585
sign(s),3.0,0.5,on,0.2610440937216625,4.3891575397521825,0.9441325543061986,1.7502159941162985,-6.0,39.953810623556585
"sign(s), threshold c = 0.5 x past sd(s)",1.0,1.0,off,0.0062203258136202845,1.1276894705139016,0.08756365439397923,0.16232393187229405,-10.31604850795286,4.849884526558891
"sign(s), threshold c = 0.5 x past sd(s)",1.0,1.0,on,0.006801604440324757,1.1274154821414126,0.09576959417561802,0.17753595584824258,-10.31604850795286,4.849884526558891
"sign(s), threshold c = 0.5 x past sd(s)",1.0,0.5,off,0.0010464845639769351,0.6226707273312577,0.02667931334126659,0.049457632520932306,-5.15802425397643,4.849884526558891
"sign(s), threshold c = 0.5 x past sd(s)",1.0,0.5,on,0.001627763190681413,0.6221792217518731,0.041531344461055025,0.07699006140754003,-5.15802425397643,4.849884526558891
"sign(s), threshold c = 0.5 x past sd(s)",1.5,1.0,off,0.004156647470787074,1.1781428536317042,0.056007412657477766,0.10382553697051948,-10.31604850795286,4.849884526558891
"sign(s), threshold c = 0.5 x past sd(s)",1.5,1.0,on,0.005028565410843793,1.1775565392448981,0.06778952730564607,0.12566700976762024,-10.31604850795286,4.849884526558891
"sign(s), threshold c = 0.5 x past sd(s)",1.5,0.5,off,-0.0010171937788562718,0.7099538698785,-0.0227443659781132,-0.04216309768089835,-5.15802425397643,4.849884526558891
"sign(s), threshold c = 0.5 x past sd(s)",1.5,0.5,on,-0.00014527583879955907,0.7089868473186739,-0.003252785936074032,-0.006029956222552795,-5.15802425397643,4.849884526558891
"sign(s), threshold c = 0.5 x past sd(s)",2.0,1.0,off,0.0020929691279538702,1.2453414546625154,0.02667931334126659,0.049457632520932306,-10.31604850795286,4.849884526558891
"sign(s), threshold c = 0.5 x past sd(s)",2.0,1.0,on,0.003255526381362826,1.2443584435037462,0.041531344461055025,0.07699006140754003,-10.31604850795286,4.849884526558891
"sign(s), threshold c = 0.5 x past sd(s)",2.0,0.5,off,-0.0030808721216894768,0.8166197851617619,-0.059889963015536986,-0.11102293918236332,-5.15802425397643,4.849884526558891
"sign(s), threshold c = 0.5 x past sd(s)",2.0,0.5,on,-0.001918314868280521,0.8151272995160672,-0.037358955447580444,-0.06925536149516948,-5.15802425397643,4.849884526558891
"sign(s), threshold c = 0.5 x past sd(s)",3.0,1.0,off,-0.0020343875577125436,1.419907739757,-0.0227443659781132,-0.04216309768089835,-10.31604850795286,4.849884526558891
"sign(s), threshold c = 0.5 x past sd(s)",3.0,1.0,on,-0.00029055167759911815,1.4179736946373478,-0.003252785936074032,-0.006029956222552795,-10.31604850795286,4.849884526558891
"sign(s), threshold c = 0.5 x past sd(s)",3.0,0.5,off,-0.007208228807355887,1.0639961307673549,-0.10754464381610807,-0.19936433166083556,-5.15802425397643,4.849884526558891
"sign(s), threshold c = 0.5 x past sd(s)",3.0,0.5,on,-0.005464392927242455,1.0614222727409002,-0.08172482407453466,-0.1515000129581404,-5.15802425397643,4.849884526558891
