segment,estimator,train_win,pooled_train_win,bar_end,sample,n,first,QLIKE_subsection,QLIKE_pooled,diff,pct,ci_lo,ci_hi,dm_stat,improves
bar1000,reclasso,500,500,all bars,common,3119,2012-03-23,0.11108776083784326,0.11883572507974381,-0.007747964241900556,-6.519894784755463,-0.01219207599698926,-0.002922077479291547,-3.350208117369542,True
bar1000,reclasso,500,500,all bars,deck period,1116,2020-01-03,0.11676140976860618,0.11761005906672732,-0.0008486492981211371,-0.721578838456026,-0.008306731031709712,0.0081379238903017,-0.20499303671007021,False
bar1000,reclasso,500,500,10:00,common,3119,2012-03-23,0.11108776083784326,0.11883572507974381,-0.007747964241900556,-6.519894784755463,-0.01219207599698926,-0.002922077479291547,-3.350208117369542,True
bar1000,reclasso,500,500,10:00,deck period,1116,2020-01-03,0.11676140976860618,0.11761005906672732,-0.0008486492981211371,-0.721578838456026,-0.008306731031709712,0.0081379238903017,-0.20499303671007021,False
bar1000,reclasso,2000,500,all bars,common,1619,2018-01-19,0.1118409951426634,0.1263561283411069,-0.014515133198443513,-11.48747859641515,-0.021652099837652733,-0.007528626729420701,-4.2303253525551,True
bar1000,reclasso,2000,500,all bars,deck period,1116,2020-01-03,0.10805050271571184,0.11761005906672732,-0.009559556351015477,-8.128179193917214,-0.018051482124911044,-0.0011547232512185465,-2.358836248836103,True
bar1000,reclasso,2000,500,10:00,common,1619,2018-01-19,0.1118409951426634,0.1263561283411069,-0.014515133198443513,-11.48747859641515,-0.021652099837652733,-0.007528626729420701,-4.2303253525551,True
bar1000,reclasso,2000,500,10:00,deck period,1116,2020-01-03,0.10805050271571184,0.11761005906672732,-0.009559556351015477,-8.128179193917214,-0.018051482124911044,-0.0011547232512185465,-2.358836248836103,True
bar1000,reclasso,2000,2000,all bars,common,1619,2018-01-19,0.1118409951426634,0.12352450798424608,-0.011683512841582706,-9.458457299075244,-0.017616861233039644,-0.0054999716604055325,-3.915735584332154,True
bar1000,reclasso,2000,2000,all bars,deck period,1116,2020-01-03,0.10805050271571184,0.1186703028602432,-0.010619800144531337,-8.948995568873004,-0.018104266145327893,-0.0036845726174724973,-2.966350052880031,True
bar1000,reclasso,2000,2000,10:00,common,1619,2018-01-19,0.1118409951426634,0.12352450798424608,-0.011683512841582706,-9.458457299075244,-0.017616861233039644,-0.0054999716604055325,-3.915735584332154,True
bar1000,reclasso,2000,2000,10:00,deck period,1116,2020-01-03,0.10805050271571184,0.1186703028602432,-0.010619800144531337,-8.948995568873004,-0.018104266145327893,-0.0036845726174724973,-2.966350052880031,True
bar1030,reclasso,500,500,all bars,common,3119,2012-03-23,0.14749414111705356,0.1491786694884022,-0.0016845283713486567,-1.12920190073127,-0.004831841177437131,0.001355217132875663,-1.0708145613360094,False
bar1030,reclasso,500,500,all bars,deck period,1116,2020-01-03,0.1571753876169251,0.15732067182236645,-0.00014528420544132663,-0.09234908785882226,-0.004606753391691798,0.0049600121458024705,-0.06629321641477202,False
bar1030,reclasso,500,500,10:30,common,3119,2012-03-23,0.14749414111705356,0.1491786694884022,-0.0016845283713486567,-1.12920190073127,-0.004831841177437131,0.001355217132875663,-1.0708145613360094,False
bar1030,reclasso,500,500,10:30,deck period,1116,2020-01-03,0.1571753876169251,0.15732067182236645,-0.00014528420544132663,-0.09234908785882226,-0.004606753391691798,0.0049600121458024705,-0.06629321641477202,False
bar1030,reclasso,2000,500,all bars,common,1619,2018-01-19,0.15655599539589826,0.16241767002494745,-0.005861674629049196,-3.6090128790474827,-0.010142091656009017,-0.0018033792884921635,-2.6126938106695765,True
bar1030,reclasso,2000,500,all bars,deck period,1116,2020-01-03,0.15174161479002016,0.15732067182236645,-0.0055790570323462916,-3.5462962163330345,-0.011671026902663044,-0.00022973259254660327,-1.9748648742691512,True
bar1030,reclasso,2000,500,10:30,common,1619,2018-01-19,0.15655599539589826,0.16241767002494745,-0.005861674629049196,-3.6090128790474827,-0.010142091656009017,-0.0018033792884921635,-2.6126938106695765,True
bar1030,reclasso,2000,500,10:30,deck period,1116,2020-01-03,0.15174161479002016,0.15732067182236645,-0.0055790570323462916,-3.5462962163330345,-0.011671026902663044,-0.00022973259254660327,-1.9748648742691512,True
bar1030,reclasso,2000,2000,all bars,common,1619,2018-01-19,0.15655599539589826,0.1621231762771057,-0.005567180881207426,-3.433920435713545,-0.008790438866063805,-0.00246729279167166,-3.0516649234057747,True
bar1030,reclasso,2000,2000,all bars,deck period,1116,2020-01-03,0.15174161479002016,0.1584364957759622,-0.0066948809859420375,-4.225592691351217,-0.010478502456393679,-0.0029009272152264154,-3.0305191951749717,True
bar1030,reclasso,2000,2000,10:30,common,1619,2018-01-19,0.15655599539589826,0.1621231762771057,-0.005567180881207426,-3.433920435713545,-0.008790438866063805,-0.00246729279167166,-3.0516649234057747,True
bar1030,reclasso,2000,2000,10:30,deck period,1116,2020-01-03,0.15174161479002016,0.1584364957759622,-0.0066948809859420375,-4.225592691351217,-0.010478502456393679,-0.0029009272152264154,-3.0305191951749717,True
bar1100,reclasso,500,500,all bars,common,3119,2012-03-23,0.12800014036301943,0.13050886711428245,-0.0025087267512630047,-1.9222653653611081,-0.005459536343359433,0.0002818958892776646,-1.7775852023157008,False
bar1100,reclasso,500,500,all bars,deck period,1116,2020-01-03,0.14496400487429126,0.14566840123683059,-0.0007043963625393708,-0.48356153878159835,-0.006984358287786546,0.00586823715290507,-0.23301972135506116,False
bar1100,reclasso,500,500,11:00,common,3119,2012-03-23,0.12800014036301943,0.13050886711428245,-0.0025087267512630047,-1.9222653653611081,-0.005459536343359433,0.0002818958892776646,-1.7775852023157008,False
bar1100,reclasso,500,500,11:00,deck period,1116,2020-01-03,0.14496400487429126,0.14566840123683059,-0.0007043963625393708,-0.48356153878159835,-0.006984358287786546,0.00586823715290507,-0.23301972135506116,False
bar1100,reclasso,2000,500,all bars,common,1619,2018-01-19,0.142617521968723,0.1386075376894307,0.004009984279292289,2.893049213728341,-0.00046062257690382576,0.00858830941546451,1.883270902553891,False
