bucket,estimator,arm,qlike_pct_vs_incumbent_16,d_ci,qlike_pct_mean_13_bars,bars_better,trade_deck_days,trade_pct_buy,trade_Sharpe_mid,trade_Sharpe_crossed,trade_ridge_Sharpe_mid_same_days
live_feasible (incumbent),ridge,bar1600,0.0,,0.0,,550,37.45454545454546,1.9207304855667742,1.5560718263527464,1.4775743986894427
mfiv_only,ridge,bar1600,13.005566624546884,"[+0.0051, +0.0180]",6.897969544200331,1/13,550,34.909090909090914,0.40375529283414663,0.04403025544746424,1.4775743986894427
mfiv_only,ridge,rth @16:00,11.767360059710219,"[+0.0030, +0.0212]",,,550,30.181818181818183,0.9863066849638755,0.6190594980156103,1.4775743986894427
live_feasible_mfiv,ridge,bar1600,4.497917400574436,"[-0.0011, +0.0102]",0.3057992148722112,5/13,550,39.63636363636363,1.9778328102740583,1.6149593160662752,1.4775743986894427
live_feasible_mfiv,ridge,rth @16:00,0.684961565900366,"[-0.0043, +0.0052]",,,550,32.18181818181819,1.2219484869368553,0.8549763531900914,1.4775743986894427
live_feasible_plus_mfiv,ridge,bar1600,0.06310123363200137,"[-0.0010, +0.0012]",0.05298220285451922,5/13,550,37.09090909090909,1.6234950668263364,1.2595595431470357,1.4775743986894427
live_feasible_plus_mfiv,ridge,rth @16:00,1.303756687359603,"[-0.0031, +0.0067]",,,550,30.545454545454547,1.113114126353163,0.7453684601713121,1.4775743986894427
live_feasible (incumbent),enet,bar1600,0.0,,0.0,,550,35.81818181818181,2.0201078915161212,1.6536393230750097,1.4775743986894427
mfiv_only,enet,bar1600,11.078481112970096,"[+0.0042, +0.0160]",6.440386606213839,1/13,550,33.27272727272727,1.1556818849301953,0.7912164352149779,1.4775743986894427
mfiv_only,enet,rth @16:00,5.7982131428720995,"[-0.0091, +0.0200]",,,550,30.0,0.896177697364931,0.529846776305243,1.4775743986894427
live_feasible_mfiv,enet,bar1600,1.8103463279047105,"[-0.0009, +0.0042]",0.6675850074285189,6/13,550,34.909090909090914,2.0197057670414167,1.6522654050736199,1.4775743986894427
live_feasible_mfiv,enet,rth @16:00,-3.902772030357249,"[-0.0175, +0.0053]",,,550,32.0,1.470873101672072,1.1021688169205264,1.4775743986894427
live_feasible_plus_mfiv,enet,bar1600,0.05744324062419981,"[-0.0003, +0.0005]",-0.2836232258612899,5/13,550,34.909090909090914,2.1546012571828683,1.7866320305845964,1.4775743986894427
live_feasible_plus_mfiv,enet,rth @16:00,-4.206464845389846,"[-0.0140, +0.0032]",,,550,30.0,1.6530411609189295,1.2830421664008895,1.4775743986894427
live_feasible (incumbent),lasso,bar1600,0.0,,0.0,,550,34.72727272727273,2.019938738239704,1.6510900980302123,1.4775743986894427
mfiv_only,lasso,bar1600,8.957130464501217,"[+0.0006, +0.0154]",4.831826922373856,4/13,550,33.45454545454545,0.9211896439648259,0.5578548668116291,1.4775743986894427
mfiv_only,lasso,rth @16:00,16.575691504039703,"[+0.0063, +0.0257]",,,550,29.454545454545457,1.0554538060435652,0.6865464629128801,1.4775743986894427
live_feasible_mfiv,lasso,bar1600,0.5275196406704596,"[-0.0009, +0.0018]",-1.02270584367985,10/13,550,34.909090909090914,2.008972945383214,1.6399947044255383,1.4775743986894427
live_feasible_mfiv,lasso,rth @16:00,4.435962954903583,"[-0.0005, +0.0093]",,,550,30.909090909090907,1.4005454289492225,1.0313292958007079,1.4775743986894427
live_feasible_plus_mfiv,lasso,bar1600,-0.004637340160429382,"[-0.0000, +0.0000]",-0.6269915629295687,11/13,550,34.72727272727273,2.019938738239704,1.6510900980302123,1.4775743986894427
live_feasible_plus_mfiv,lasso,rth @16:00,3.7767199962781106,"[-0.0005, +0.0083]",,,550,30.909090909090907,1.27625033653353,0.9081098213275502,1.4775743986894427
