ladder,estimator,train_win,bar,rows,first,qlike_pct_vs_base5,d_ci,qlike_pct_vs_base5_deck,Sharpe_mid,Sharpe_crossed,pct_buy,base5_Sharpe_mid,base5_Sharpe_crossed,base5_pct_buy
base2,enet,2000,bar1430,1416,2018-09-10,0.3174563318953494,"[-0.0039, +0.0049]",0.049801846209640566,,,,,,
base3,enet,2000,bar1430,1416,2018-09-10,6.760902208762798,"[-0.0004, +0.0327]",7.875825328300423,,,,,,
intra,enet,2000,bar1430,1416,2018-09-10,95.28449231285762,"[+0.1687, +0.2401]",83.31839810192885,,,,,,
base2,enet,2000,bar1600,1406,2018-09-24,0.7102141426284403,"[-0.0024, +0.0045]",-0.12752508304154642,1.7535793939049513,1.2857733609541109,35.68129330254042,1.4107677128902967,0.9427859527964674,37.75981524249423
base3,enet,2000,bar1600,1406,2018-09-24,0.21438106453397499,"[-0.0025, +0.0032]",-1.2114587942354094,1.5732924320503476,1.1053789918875792,36.25866050808314,1.4107677128902967,0.9427859527964674,37.75981524249423
intra,enet,2000,bar1600,1406,2018-09-24,122.42359602009066,"[+0.1187, +0.1604]",133.73731062712477,0.360954846826582,-0.10599566180790101,55.8891454965358,1.4107677128902967,0.9427859527964674,37.75981524249423
base2,lasso,500,bar1430,2916,2012-09-19,-0.2506155717766356,"[-0.0037, +0.0026]",0.14211745347862959,,,,,,
base3,lasso,500,bar1430,2916,2012-09-19,-0.6907726421795268,"[-0.0042, +0.0014]",-0.7344187176165806,,,,,,
intra,lasso,500,bar1430,2916,2012-09-19,86.07634726766203,"[+0.1560, +0.1986]",87.14529474244188,,,,,,
base2,lasso,500,bar1600,2906,2012-10-02,-0.13144490264237474,"[-0.0039, +0.0040]",-3.4680908967435697,1.341008452178941,0.8715898734250009,36.027713625866056,1.3795759800094027,0.9077607800679997,36.83602771362587
base3,lasso,500,bar1600,2906,2012-10-02,-1.1867047300805456,"[-0.0057, +0.0028]",-5.603301793264814,1.2669522179207362,0.7964490349597587,34.64203233256351,1.3795759800094027,0.9077607800679997,36.83602771362587
intra,lasso,500,bar1600,2906,2012-10-02,123.78257148531118,"[+0.1314, +0.1676]",124.84447494893445,-0.16806626308757086,-0.6324115353087628,53.695150115473446,1.3795759800094027,0.9077607800679997,36.83602771362587
base2,lasso,2000,bar1430,1416,2018-09-10,1.0213506927425398,"[-0.0045, +0.0093]",0.6625752124740147,,,,,,
base3,lasso,2000,bar1430,1416,2018-09-10,5.427082030110819,"[-0.0004, +0.0264]",6.358444614183556,,,,,,
intra,lasso,2000,bar1430,1416,2018-09-10,97.29456839006865,"[+0.1726, +0.2424]",85.7712182311351,,,,,,
base2,lasso,2000,bar1600,1406,2018-09-24,-0.006590800628736293,"[-0.0024, +0.0028]",-0.8584454230647354,1.790836121247647,1.324563279186583,37.06697459584296,1.8262315571390573,1.3631530115787844,38.91454965357968
base3,lasso,2000,bar1600,1406,2018-09-24,0.15033896881915254,"[-0.0025, +0.0030]",-0.6158524860391368,1.6045946079529123,1.1364740218608418,35.68129330254042,1.8262315571390573,1.3631530115787844,38.91454965357968
intra,lasso,2000,bar1600,1406,2018-09-24,122.13172624956843,"[+0.1219, +0.1633]",135.08228729579415,0.18739308704946187,-0.2813814171776174,55.42725173210161,1.8262315571390573,1.3631530115787844,38.91454965357968
