ladder,estimator,train_win,bar,rows,first,qlike_pct_vs_base5,d_ci,qlike_pct_vs_base5_deck,Sharpe_mid,Sharpe_crossed,pct_buy,base5_Sharpe_mid,base5_Sharpe_crossed,base5_pct_buy
base2,ridge,500,bar1430,2916,2012-09-19,0.9320786883871168,"[-0.0017, +0.0056]",2.77352923840839,,,,,,
base3,ridge,500,bar1430,2916,2012-09-19,1.0225779195037532,"[-0.0017, +0.0060]",1.2357537816539033,,,,,,
intra,ridge,500,bar1430,2916,2012-09-19,89.02875283056648,"[+0.1654, +0.2107]",92.22602808554629,,,,,,
base2,ridge,500,bar1600,2906,2012-10-02,-2.1019151246448264,"[-0.0068, +0.0012]",-3.217302001418698,1.6768598499834495,1.2089796962075332,40.531177829099306,1.2743534425143548,0.8062584075976941,39.607390300230946
base3,ridge,500,bar1600,2906,2012-10-02,-3.763035992573849,"[-0.0097, -0.0001]",-10.21023107865866,1.1397444113286201,0.6673505009671656,36.25866050808314,1.2743534425143548,0.8062584075976941,39.607390300230946
intra,ridge,500,bar1600,2906,2012-10-02,128.57713592802423,"[+0.1388, +0.1801]",125.28396213902954,0.18571387525334765,-0.27948695269224144,54.96535796766744,1.2743534425143548,0.8062584075976941,39.607390300230946
base2,ridge,2000,bar1430,1416,2018-09-10,-0.46795286663466884,"[-0.0067, +0.0043]",-1.0351958355659385,,,,,,
base3,ridge,2000,bar1430,1416,2018-09-10,5.1768410381056285,"[-0.0011, +0.0253]",6.428230688373282,,,,,,
intra,ridge,2000,bar1430,1416,2018-09-10,97.21790856312069,"[+0.1740, +0.2415]",83.5663755819311,,,,,,
base2,ridge,2000,bar1600,1406,2018-09-24,3.772285971816536,"[-0.0020, +0.0144]",3.8493818873703844,1.3430630598848001,0.8717723441510603,37.41339491916859,1.9024666283565088,1.439631199377035,40.184757505773675
base3,ridge,2000,bar1600,1406,2018-09-24,3.308209563017872,"[-0.0022, +0.0129]",3.6854967354039925,1.7055391189591047,1.240766320339825,38.33718244803695,1.9024666283565088,1.439631199377035,40.184757505773675
intra,ridge,2000,bar1600,1406,2018-09-24,117.24237462919432,"[+0.1166, +0.1641]",126.32607380590919,-0.017077938163228838,-0.4836898819754883,53.46420323325635,1.9024666283565088,1.439631199377035,40.184757505773675
base2,enet,500,bar1430,2916,2012-09-19,-0.23040670912124472,"[-0.0042, +0.0028]",0.8171122050475876,,,,,,
base3,enet,500,bar1430,2916,2012-09-19,-0.8360056192020404,"[-0.0054, +0.0016]",-0.18723804744085193,,,,,,
intra,enet,500,bar1430,2916,2012-09-19,85.62449931984565,"[+0.1513, +0.1973]",88.24989507945516,,,,,,
base2,enet,500,bar1600,2906,2012-10-02,-1.1603324509202206,"[-0.0048, +0.0020]",-4.856554683185399,1.4103461743944772,0.9371135559951673,35.91224018475751,1.2449076962531018,0.7756186815297241,38.799076212471135
base3,enet,500,bar1600,2906,2012-10-02,-2.4893669953119035,"[-0.0076, +0.0008]",-8.305778069964608,1.203226101466035,0.7263226062987325,33.14087759815242,1.2449076962531018,0.7756186815297241,38.799076212471135
intra,enet,500,bar1600,2906,2012-10-02,123.35826296391694,"[+0.1280, +0.1648]",119.90345590141138,-0.2955291947551197,-0.7596280656060603,53.92609699769053,1.2449076962531018,0.7756186815297241,38.799076212471135
