,n,mean,std,min,25%,50%,75%,max,skew,ex_kurt,t_mean,Sharpe_ann,n_buy,pct_buy,Sharpe_crossed,n_crossed
baseline (HAR + calendar OLS),864.0,0.0352837232946454,0.3777249485722807,-2.9498430461571283,-0.17420258114679765,0.05570524887111175,0.268803376071139,1.4829521937774295,-1.1214702277124402,7.6366077124718235,2.7457159594284604,1.4828560970446674,307.0,35.532407407407405,0.47641580242108705,864.0
block-diagonal ridge,864.0,0.0393399903200351,0.3773235909921192,-2.9498430461571283,-0.16544031697749106,0.06936354998962124,0.27380847820504206,1.4829521937774295,-1.128852219949068,7.719400438651304,3.0646237363556144,1.6550859811255492,303.0,35.06944444444444,0.6509811008724762,864.0
"block-diagonal ridge, without the FOMC columns",864.0,0.0346793816071555,0.3777809780660978,-2.9498430461571283,-0.17128333073244698,0.055606935156485876,0.2705291859385831,1.4829521937774295,-1.1035537122179493,7.61844065926344,2.6982869270224117,1.4572414919946686,312.0,36.111111111111114,0.4543482056175499,864.0
LightGBM,864.0,0.04838225624974501,0.376269803876512,-2.9498430461571283,-0.15879414852149,0.06936354998962124,0.27850754658963445,1.4829521937774295,-1.1581582272433513,7.926634951760237,3.779580690094987,2.041206866767921,286.0,33.101851851851855,1.0337665499949986,864.0
XGBoost,864.0,0.04455971906929732,0.37674215471455286,-2.9498430461571283,-0.16038676620238912,0.06936354998962124,0.27621346327503554,1.4829521937774295,-1.1617914396245312,7.843587565166384,3.4766029795920015,1.8775802018373264,281.0,32.523148148148145,0.8714122658736841,864.0
lasso (causally tuned),864.0,0.031358326048922885,0.3780714699834672,-2.9498430461571283,-0.1732458342046133,0.04825163347493075,0.2616826491230123,1.4829521937774295,-0.9628021248771318,7.510094317779991,2.438011987872433,1.316676959417594,310.0,35.879629629629626,0.3140376562810116,864.0
lasso (fixed 1e-4),864.0,0.03788519552471561,0.37747260734960963,-2.9498430461571283,-0.16678211903759071,0.06316741933457494,0.2705291859385831,1.4829521937774295,-1.1072557685755455,7.681561567610675,2.9501287044707833,1.5932515967170884,294.0,34.02777777777778,0.589420488254356,864.0
elastic net (causally tuned),864.0,0.0323924263741692,0.3779841734140783,-2.9498430461571283,-0.17232597314929154,0.0505614664567864,0.2666188781535266,1.4829521937774295,-1.0757992429376944,7.566318559016375,2.518991695256989,1.3604109998669485,314.0,36.342592592592595,0.357181285819083,864.0
