era,hour,forecast,n_days,qlike,dm_vs_naive,dm_pooled_vs_perhour,dm_blk2_vs_a0
all,14:00,blk2_M1,5587,0.27584090860389604,-17.75035862466708,,-2.3454197220737996
all,14:00,blk2_M2,5587,0.2730978841438184,-17.47443753131545,,-3.821792292903101
all,14:00,blk2_M2pooled,5587,0.27026504420753134,-17.705615611502008,-1.9537053437868785,-3.2982330165011753
all,14:00,blk2_M3,5586,0.2693034417173322,-17.622921026312603,,-3.995810283743174
all,14:30,M0,5587,0.9556514977738079,,,
all,14:30,a0_M1,5587,0.15535683732973507,-21.283100601414027,,
all,14:30,a0_M2,5587,0.14920411575316414,-21.38579404559014,,
all,14:30,a0_M2pooled,5587,0.15106736449772828,-21.492053112408993,2.2052980603463985,
all,14:30,a0_M3,5586,0.1489430518270461,-21.38676794135044,,
all,14:30,blk2_M1,5587,0.14328029666109626,-21.528746167812283,,-4.911692612258922
all,14:30,blk2_M2,5587,0.13784013181945318,-21.630520504392365,,-6.071679451675801
all,14:30,blk2_M2pooled,5587,0.13976296277772157,-21.751778987621883,2.3064770175253027,-6.113851113020174
all,14:30,blk2_M3,5586,0.13758963350256187,-21.63324624323164,,-6.0527534374271115
all,15:00,M0,5587,0.9889153881387033,,,
all,15:00,a0_M1,5587,0.13852215015031558,-18.914013999095182,,
all,15:00,a0_M2,5587,0.13267149457518407,-18.98634581685389,,
all,15:00,a0_M2pooled,5587,0.1336094585279843,-19.07759429842923,1.305910379660073,
all,15:00,a0_M3,5586,0.13220392322095748,-18.99212278367371,,
all,15:00,blk2_M1,5587,0.13079989174440443,-19.09811211593275,,-3.694792390633149
all,15:00,blk2_M2,5587,0.12382396712511232,-19.186347130701563,,-6.2747651909129445
all,15:00,blk2_M2pooled,5587,0.12467678980454938,-19.27541152617073,1.3408218237556007,-6.99811532087028
all,15:00,blk2_M3,5586,0.12352135065899583,-19.188298234485284,,-5.958117845619737
post2016,10:00,M0,2089,0.768514856906226,,,
post2016,10:00,a0_M1,2089,0.18056730041880267,-12.201081610162698,,
post2016,10:00,a0_M2,2089,0.17974739830490932,-12.188454521525227,,
post2016,10:00,a0_M2pooled,2089,0.1860269697162325,-11.960115841510122,3.3703056496446315,
post2016,10:00,a0_M3,2089,0.16393280983122782,-12.600508609827063,,
post2016,10:00,blk2_M1,2089,0.17204109541821974,-12.464535311114492,,-1.9839502519693688
post2016,10:00,blk2_M2,2089,0.17000018289395957,-12.478632354397343,,-2.65673419610754
post2016,10:00,blk2_M2pooled,2089,0.1761229594075394,-12.269815135085699,3.2425000927879384,-2.8618552159286597
post2016,10:00,blk2_M3,2089,0.15701242706171126,-12.78053144871496,,-3.3048141581546764
post2016,10:30,M0,2089,0.7939557399571496,,,
post2016,10:30,a0_M1,2089,0.200638255453247,-11.97291471559663,,
post2016,10:30,a0_M2,2089,0.19707199796164715,-12.018437903461052,,
post2016,10:30,a0_M2pooled,2089,0.19800043777158371,-11.929456910585484,0.7551206940389855,
post2016,10:30,a0_M3,2089,0.18206667223784015,-12.414571819432489,,
post2016,10:30,blk2_M1,2089,0.18843792864439546,-12.330574812719457,,-2.3490510606460346
post2016,10:30,blk2_M2,2089,0.185323722282851,-12.348353100030986,,-2.7484703244996855
post2016,10:30,blk2_M2pooled,2089,0.18676631513546818,-12.26291875711391,1.3583419883645154,-2.777381424177965
post2016,10:30,blk2_M3,2089,0.17413464517525148,-12.621730935820944,,-2.698788194943032
post2016,11:00,M0,2089,0.8261404667816068,,,
post2016,11:00,a0_M1,2089,0.2226291393112914,-11.634427423807512,,
post2016,11:00,a0_M2,2089,0.2166526236977486,-11.691897859513382,,
post2016,11:00,a0_M2pooled,2089,0.21611899826279143,-11.699825234473288,-1.2998370694616828,
post2016,11:00,a0_M3,2089,0.20206081321978586,-12.093167524343139,,
post2016,11:00,blk2_M1,2089,0.21048190802529557,-12.042497983238333,,-2.202349730654228
post2016,11:00,blk2_M2,2089,0.20464477288609814,-12.063726580996535,,-3.005730980760146
post2016,11:00,blk2_M2pooled,2089,0.20436150088893137,-12.072358090399781,-0.6144259500965094,-2.805424067369067
post2016,11:00,blk2_M3,2089,0.1933073617569701,-12.357728546879232,,-2.945875749398478
post2016,11:30,M0,2089,0.8545642288994008,,,
post2016,11:30,a0_M1,2089,0.23377442344768687,-11.499722617713434,,
post2016,11:30,a0_M2,2089,0.23076311825013893,-11.447652485941074,,
post2016,11:30,a0_M2pooled,2089,0.23003716922126768,-11.471739360594093,-3.307263444627954,
post2016,11:30,a0_M3,2089,0.21762135135371294,-11.841526131498687,,
post2016,11:30,blk2_M1,2089,0.21654873834898616,-12.082156092357572,,-2.6384725519432144
post2016,11:30,blk2_M2,2089,0.2154235059572225,-11.96305649699715,,-3.035620969925445
post2016,11:30,blk2_M2pooled,2089,0.21537674891423686,-11.958644376550842,-0.2565909859310256,-2.995910684858129
post2016,11:30,blk2_M3,2089,0.20563542739981133,-12.231364168512393,,-3.0351215146759296
post2016,12:00,M0,2089,0.885005801936676,,,
post2016,12:00,a0_M1,2089,0.27089828180387643,-10.976467447126787,,
post2016,12:00,a0_M2,2089,0.2666938404417168,-10.930723979365176,,
post2016,12:00,a0_M2pooled,2089,0.26582734321770085,-10.952197674383005,-3.390082242022295,
post2016,12:00,a0_M3,2089,0.25277755153600034,-11.32231329285021,,
post2016,12:00,blk2_M1,2089,0.24867716246017776,-11.653310715677595,,-3.49300042971494
post2016,12:00,blk2_M2,2089,0.2477247567813162,-11.480579211963631,,-4.028980618223994
post2016,12:00,blk2_M2pooled,2089,0.247488710288486,-11.4849514760861,-1.1079282113268394,-3.9847890397825
post2016,12:00,blk2_M3,2089,0.23716170725325458,-11.766675321045135,,-3.976105072625743
post2016,12:30,M0,2089,0.9123602728713718,,,
post2016,12:30,a0_M1,2089,0.29980442899560755,-10.52522954842543,,
post2016,12:30,a0_M2,2089,0.2960513330490698,-10.423643398122941,,
post2016,12:30,a0_M2pooled,2089,0.29640797976834715,-10.431678961527254,0.8311099917367708,
post2016,12:30,a0_M3,2089,0.2805691821940669,-10.88468840130741,,
post2016,12:30,blk2_M1,2089,0.2708588419299403,-11.500180475311806,,-2.8419868042463614
post2016,12:30,blk2_M2,2089,0.2713727972674419,-11.288053665733637,,-3.1516405805157923
post2016,12:30,blk2_M2pooled,2089,0.27153631199564726,-11.290375305251024,0.7064175518273295,-3.191168032760742
post2016,12:30,blk2_M3,2089,0.2602890410488309,-11.588112078550143,,-3.060496816748897
post2016,13:00,M0,2089,0.9365075431533071,,,
post2016,13:00,a0_M1,2089,0.3193535224299463,-10.355343515412882,,
post2016,13:00,a0_M2,2089,0.317546137393884,-10.185739029554561,,
post2016,13:00,a0_M2pooled,2089,0.3151260528435296,-10.305242398125511,-2.203234781368157,
post2016,13:00,a0_M3,2089,0.3041205402218445,-10.60543989216893,,
post2016,13:00,blk2_M1,2089,0.29482201409980385,-11.345219635789059,,-2.306050880365899
post2016,13:00,blk2_M2,2089,0.29669366295468336,-10.987716918356849,,-2.7536215425413135
post2016,13:00,blk2_M2pooled,2089,0.2935392919887758,-11.141130563446348,-2.2296020427324117,-2.696450321165511
post2016,13:00,blk2_M3,2089,0.2862243347577622,-11.283936175068115,,-2.74302119242367
post2016,13:30,M0,2089,0.9600433771855735,,,
post2016,13:30,a0_M1,2089,0.34322372349917185,-10.54263889546204,,
post2016,13:30,a0_M2,2089,0.34253988594322654,-10.559195699811946,,
post2016,13:30,a0_M2pooled,2089,0.342944833014501,-10.558371719277195,0.3521456862435165,
post2016,13:30,a0_M3,2089,0.33496994713179923,-10.848366172512364,,
post2016,13:30,blk2_M1,2089,0.31112799663616697,-12.09945320340688,,-2.4615858412299225
post2016,13:30,blk2_M2,2089,0.3144242503302811,-11.761152006032093,,-3.10119308096342
post2016,13:30,blk2_M2pooled,2089,0.3146162219629253,-11.754908656917491,0.4589997975831433,-3.240164787072925
post2016,13:30,blk2_M3,2089,0.3085784658842315,-11.960275473816072,,-3.211113950255302
post2016,14:00,M0,2089,0.9910528053116879,,,
post2016,14:00,a0_M1,2089,0.37724575334155414,-11.657824250035196,,
post2016,14:00,a0_M2,2089,0.3831425564905173,-10.977079308702505,,
post2016,14:00,a0_M2pooled,2089,0.3758783137570959,-11.380631661570705,-1.7583709571824395,
post2016,14:00,a0_M3,2089,0.37380952036475573,-11.280882921568866,,
post2016,14:00,blk2_M1,2089,0.3596132271853094,-12.474174574628224,,-1.7746401843507287
post2016,14:00,blk2_M2,2089,0.36469662700182115,-11.699118315228075,,-2.9420248985673707
post2016,14:00,blk2_M2pooled,2089,0.35760180970362165,-12.114476584242443,-2.0289417074736886,-2.559887258107336
post2016,14:00,blk2_M3,2089,0.35704361695376324,-11.926654123298789,,-2.989967471487105
post2016,14:30,M0,2089,1.013153496612658,,,
post2016,14:30,a0_M1,2089,0.19478670016316596,-16.4491996794515,,
post2016,14:30,a0_M2,2089,0.1906435738067039,-16.408960379293614,,
post2016,14:30,a0_M2pooled,2089,0.18904039377787987,-16.51488246768251,-1.4602898307957919,
post2016,14:30,a0_M3,2089,0.19063010508753486,-16.415619392271854,,
post2016,14:30,blk2_M1,2089,0.18042689831222344,-16.810434182429937,,-3.06080888714876
post2016,14:30,blk2_M2,2089,0.17739421365184097,-16.75852114692868,,-3.670616095011062
post2016,14:30,blk2_M2pooled,2089,0.17581481947460825,-16.858483632436368,-2.0312311986473763,-3.652430285254089
post2016,14:30,blk2_M3,2089,0.1773322283172896,-16.76671968338943,,-3.641362547766211
post2016,15:00,M0,2089,1.006811574558172,,,
post2016,15:00,a0_M1,2089,0.14786859835800847,-18.50168872337982,,
post2016,15:00,a0_M2,2089,0.14149650184644685,-18.74689808866276,,
post2016,15:00,a0_M2pooled,2089,0.14103905294040597,-18.85523463603686,-0.6460116514224312,
post2016,15:00,a0_M3,2089,0.14180428051634258,-18.722080595446883,,
post2016,15:00,blk2_M1,2089,0.13937046107557527,-18.73163677099455,,-2.550457390397121
post2016,15:00,blk2_M2,2089,0.13295940871098694,-18.968610273239232,,-3.6404780857469032
post2016,15:00,blk2_M2pooled,2089,0.13188925634095103,-19.08333350955579,-1.5561153190056758,-4.080052622558364
post2016,15:00,blk2_M3,2089,0.1334456466774502,-18.94671294142727,,-3.414727708993231
