era,hour,forecast,n_days,qlike,dm_vs_naive,dm_pooled_vs_perhour,dm_blk2_vs_a0
all,10:00,M0,5587,0.7023522509613431,,,
all,10:00,a0_M1,5587,0.1340058184420306,-18.86370797702723,,
all,10:00,a0_M2,5587,0.1329776938676958,-18.83832280853134,,
all,10:00,a0_M2pooled,5587,0.13477760179573708,-18.657861927757615,2.3183437505817834,
all,10:00,a0_M3,5586,0.12081161062427505,-19.259065514606988,,
all,10:00,blk2_M1,5587,0.1271892039246247,-19.089727021299364,,-3.8247302168012665
all,10:00,blk2_M2,5587,0.12571534494211478,-19.095353990106158,,-4.872586907807174
all,10:00,blk2_M2pooled,5587,0.12804390370111376,-18.91510774383835,2.9703577756604598,-4.778423334503033
all,10:00,blk2_M3,5586,0.11570897167247425,-19.426811338327212,,-5.879461553108953
all,10:30,M0,5587,0.7301556316357288,,,
all,10:30,a0_M1,5587,0.14196186435113736,-19.113303569597804,,
all,10:30,a0_M2,5587,0.14082920353991865,-19.131141017560875,,
all,10:30,a0_M2pooled,5587,0.1413653118868739,-19.035071287007757,1.0061773702751198,
all,10:30,a0_M3,5586,0.1324014603310761,-19.456134553345063,,
all,10:30,blk2_M1,5587,0.1351713833345698,-19.369946881831815,,-3.1479662996478095
all,10:30,blk2_M2,5587,0.1337822905631001,-19.390756045631868,,-3.9744300484130473
all,10:30,blk2_M2pooled,5587,0.13457885965188343,-19.303645026720623,1.7008219735181695,-4.071549846553649
all,10:30,blk2_M3,5586,0.1266646178962062,-19.647698986702963,,-4.616212388598968
all,11:00,M0,5587,0.758885130313275,,,
all,11:00,a0_M1,5587,0.15297141963516997,-19.098435865628776,,
all,11:00,a0_M2,5587,0.15070285545099896,-19.139324026649977,,
all,11:00,a0_M2pooled,5587,0.15085362633334637,-19.134351590721625,0.6379832673198931,
all,11:00,a0_M3,5586,0.14398164298690228,-19.430285220773168,,
all,11:00,blk2_M1,5587,0.1461850359377427,-19.39350329560926,,-2.9500369113723033
all,11:00,blk2_M2,5587,0.14357944611880394,-19.430876108668595,,-4.184031517947995
all,11:00,blk2_M2pooled,5587,0.1437435341867526,-19.42807744466852,0.7164004752876313,-4.096895136502763
all,11:00,blk2_M3,5586,0.1378425866912656,-19.66058831579583,,-4.729636200242208
all,11:30,M0,5587,0.7860303153528048,,,
all,11:30,a0_M1,5587,0.16448075135509305,-18.914044934926963,,
all,11:30,a0_M2,5587,0.1632077515817346,-18.87122750100645,,
all,11:30,a0_M2pooled,5587,0.1627416158447255,-18.87704205369656,-3.0411498650925775,
all,11:30,a0_M3,5586,0.15718097166137698,-19.149881754395334,,
all,11:30,blk2_M1,5587,0.1555085541117678,-19.33825917733986,,-3.1166247047965694
all,11:30,blk2_M2,5587,0.15481650136062794,-19.26679468040176,,-3.741111819221929
all,11:30,blk2_M2pooled,5587,0.1547346158154746,-19.248586910233982,-0.5556794995772291,-3.7117210972407766
all,11:30,blk2_M3,5586,0.14979254199557615,-19.473458287366316,,-4.122009295904553
all,12:00,M0,5587,0.8120504562072702,,,
all,12:00,a0_M1,5587,0.1843677685567309,-18.566512407416518,,
all,12:00,a0_M2,5587,0.1829563933577236,-18.497687147098524,,
all,12:00,a0_M2pooled,5587,0.18225593587530975,-18.51546015704168,-4.0435543887125975,
all,12:00,a0_M3,5586,0.17707831459056483,-18.763834596757718,,
all,12:00,blk2_M1,5587,0.17402510333976534,-19.061544039637866,,-3.5141333955790883
all,12:00,blk2_M2,5587,0.173229596886729,-18.94064431627799,,-4.409433961008234
all,12:00,blk2_M2pooled,5587,0.17292693001512052,-18.936285727229528,-2.3936276178168856,-4.312688663274651
all,12:00,blk2_M3,5586,0.16821175039005282,-19.149136312769233,,-4.714851897523336
all,12:30,M0,5587,0.8381829593391986,,,
all,12:30,a0_M1,5587,0.20238103491354353,-18.187989229957047,,
all,12:30,a0_M2,5587,0.20046582399299034,-18.0879424161783,,
all,12:30,a0_M2pooled,5587,0.200099907228599,-18.07485830527879,-1.3703056875021105,
all,12:30,a0_M3,5586,0.1944119226343616,-18.382141415931752,,
all,12:30,blk2_M1,5587,0.18859138940400683,-18.88880651255001,,-3.323336636310353
all,12:30,blk2_M2,5587,0.18789249184389595,-18.74254128010457,,-3.939378605225222
all,12:30,blk2_M2pooled,5587,0.1875683387833705,-18.72950308133094,-1.8233064559702632,-3.925128664527294
all,12:30,blk2_M3,5586,0.18317421499347689,-18.93600298187131,,-4.105168508208782
all,13:00,M0,5587,0.8615149795487406,,,
all,13:00,a0_M1,5587,0.21907775660627113,-17.980665772633568,,
all,13:00,a0_M2,5587,0.21821750862425823,-17.815847419090282,,
all,13:00,a0_M2pooled,5587,0.2166457188322592,-17.925822371433405,-2.830086655719573,
all,13:00,a0_M3,5586,0.2129300152934554,-18.083574641351113,,
all,13:00,blk2_M1,5587,0.21048178457314232,-18.621567693653446,,-1.9912524821505806
all,13:00,blk2_M2,5587,0.20952945020475153,-18.375437221570103,,-2.840807317358362
all,13:00,blk2_M2pooled,5587,0.20775488195336883,-18.497611299676585,-2.702194013096122,-2.7302985734563068
all,13:00,blk2_M3,5586,0.20477795158872822,-18.568099663047548,,-3.0824133879939435
all,13:30,M0,5587,0.8913810313950074,,,
all,13:30,a0_M1,5587,0.2409644509158066,-17.585987136870624,,
all,13:30,a0_M2,5587,0.24096206187155747,-17.53217209481939,,
all,13:30,a0_M2pooled,5587,0.24101572385325085,-17.50231847991751,0.1044322854871842,
all,13:30,a0_M3,5586,0.23798497939890362,-17.70180903956273,,
all,13:30,blk2_M1,5587,0.22649614852619898,-18.506602491766717,,-2.766566300819776
all,13:30,blk2_M2,5587,0.22760247814907864,-18.26862963535158,,-3.622153823575807
all,13:30,blk2_M2pooled,5587,0.22732172087530636,-18.246357650907044,-0.9947751626087458,-3.8174614712669164
all,13:30,blk2_M3,5586,0.22497259883325701,-18.38720749548195,,-3.8924458400667525
all,14:00,M0,5587,0.9247661943109239,,,
all,14:00,a0_M1,5587,0.28608882974357003,-17.409356712580095,,
all,14:00,a0_M2,5587,0.2834956476059962,-17.09182001898348,,
all,14:00,a0_M2pooled,5587,0.2807252893066765,-17.352795032594866,-1.518358123200848,
all,14:00,a0_M3,5586,0.2791984689027028,-17.270289666679176,,
