hour,model,const,b_onestep,d_sofar
10:00,a0,1.5208606023580662,0.787102086854471,0.1774672236710197
10:00,blk2,1.315223432117099,0.7612955072450972,0.1871080616152998
10:30,a0,1.9013064730219864,0.7845389955567078,0.21626386675517345
10:30,blk2,1.8016907967880056,0.7796895131958436,0.21309686253588844
11:00,a0,1.7466153133736564,0.6422248212152336,0.36909267747624586
11:00,blk2,1.6806633837545852,0.6598404979806562,0.3429809047815717
11:30,a0,1.801595457860257,0.6806989429594446,0.3367129768946965
11:30,blk2,1.7690871552176641,0.7261629161880457,0.2799348781545477
12:00,a0,1.6396618727416794,0.6674050351624435,0.34377634557424375
12:00,blk2,1.637093248600809,0.7049074530712779,0.2972412612256252
12:30,a0,1.408527158641415,0.632359760306854,0.3720804558642495
12:30,blk2,1.491666098051461,0.6992897520226888,0.2958724245095197
13:00,a0,1.2567020381992917,0.5989998347421183,0.4173357729718905
13:00,blk2,1.2935695176565067,0.6311280558987855,0.379104317133108
13:30,a0,0.997000861458406,0.6427049125405201,0.3549286089676663
13:30,blk2,1.037280216626423,0.6709710516972603,0.32076933960209963
14:00,a0,0.3768614192320005,0.46232683112080464,0.5572029139518115
14:00,blk2,0.543001376364869,0.5531424125723612,0.4601168305078026
14:30,a0,0.21584778889835218,0.5079014071112721,0.5122305012187731
14:30,blk2,0.20688851070920117,0.5402395165919772,0.4694902553458139
15:00,a0,-0.23231630926587576,0.5876327544334181,0.4117696250015236
15:00,blk2,-0.3246948141517291,0.5709110311215685,0.42133044202503805
15:30,a0,-0.23720630220206754,0.7148681726740567,0.3297295763236806
15:30,blk2,-0.27666049987915864,0.739413819834275,0.29886641239158884
